Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,33.5,16.2,4.8,13259,215.4,1894,597.9,15.7,313.3,296.4,8.7,35.5,6.2,23.2,5.4,5.8,8.9,5.9,185.3,34.4,89.8,286.6,29.7,554.8,2.2,1.6,2.6,7.6,9.8,38.1,114,44.8,17.7,39.2
"Energy extraction",37.2,0,8.3,170.3,76.1,7.6,4.1,37,11234.1,758.9,83.9,67.4,165.3,6.7,15.2,6.1,6.5,25.5,5.3,11.1,1448.2,13.1,55.5,56.3,54.3,1.3,12.4,0.8,11,19.8,14.7,22.3,17.3,14.6,67.9
"Mining (non-energy)",51,99.1,0,33.3,23.9,5.6,3.3,37.1,129.3,757.5,17.5,1071.4,1268.9,33.7,27.7,11.3,13,3.3,6,84.6,33.4,682,24.2,26,1,0.1,0.4,0.3,1.3,19,5.2,35.6,1.7,0.3,3.5
"Mining support",185.5,2232.7,108.3,0,14.1,0,1.5,5.7,10.1,5.9,19,4.2,1.3,0.1,0,0,2.7,0.1,0,3.2,30.2,59.2,0.1,3.8,0,0,0,0,0.1,0,2.1,9.8,2.4,0.1,0
"Food, beverages, tobacco",2768.9,4.6,1.9,1.4,0,56.7,11.1,55.4,22.1,322.4,27.5,10.5,2.5,2.4,13.6,2,2.7,2.5,2,21.1,17.7,28.3,392.6,40.4,3024.2,4.9,3.8,4.5,26.6,11.8,41,336.4,119,127.6,326.7
"Textiles & apparel",42.8,74.2,8.1,9.7,18,0,10.1,20.1,5.4,29.5,83,9.7,3.6,6.7,63.1,7.3,7.8,40.1,23.6,118.3,15.4,27.4,108.5,58.6,42.1,12.3,13,4.2,58.3,4,43.2,131.8,19.2,58.2,84
"Wood",15.6,5.2,1.7,0.5,2.9,1.1,0,14.4,0.7,5.3,6.9,4.4,0.6,2.6,8.4,1.6,1.6,5.2,2.9,103.6,3.1,70,6.5,2.6,1.8,0.5,0.5,0.4,0.7,6.9,2.1,1.9,1.3,0.2,3.3
"Paper & printing",67.3,22.3,15.1,2.1,372.9,47.1,70.7,0,13.7,142.2,170.9,67.5,9.2,19.2,236.4,32.4,23.1,36.5,2.7,100.1,28.1,29.7,231.4,66,68.9,116.7,61.5,46.5,228.5,18.6,95.7,146.7,95.8,25.9,60.6
"Coke & refined petroleum",985.2,1121.5,316.8,116.6,284.6,76.3,65.9,98.5,0,1697.2,206.8,315.8,427.5,62.4,280,60,55.4,74,19.4,133.3,597.5,511.5,631.2,3348.5,116.6,14.3,113.5,49,257.9,83.8,156.1,446,101.2,52.1,141.9
"Chemicals & pharmaceutical",338.6,167.7,39.4,11.5,175.8,160.3,58.2,149.4,231.9,0,1631.3,102.9,114.3,50,424.1,71.5,31.3,75.6,23.8,124.2,39.9,91.6,62.4,33.9,34.6,6.7,3.4,2.6,13.3,14.6,33.7,51.4,23.9,137.7,52.3
