Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,1.6,0.2,1,4705.7,113.7,593,43.5,0,44.9,0,0,11.9,0.1,0,0.4,1.4,0.3,1.4,46.6,3.5,20.7,167.5,11.1,156.8,0,0,0,0,0,74.6,0.1,1.3,0,0.1
"Energy extraction",0,0,0,40.4,24.6,0,0,0.5,1146.7,101.7,0,1.2,88.9,0,0,0.1,0,0,2.3,1,2807.2,0.2,2.5,2,12.7,0.5,1.5,0,0,6.3,13.4,0,18.2,16.8,22
"Mining (non-energy)",0.1,3.9,0,3.4,3.1,1.5,0.1,0.6,0.1,43,0.6,190.5,88.8,1.2,0,3.5,2.3,0.4,1,0,2.6,47,13.8,3.1,0,0,0,0,0,9.1,2.2,0,0,0.1,1.7
"Mining support",61.4,208.6,21,0,10.2,0,1.5,2.4,2.5,2.1,3.6,3.8,1.3,0.1,0,0,1.6,0,0,1.4,37.9,126.9,0,3.8,0,0,0,0,0,0,3.8,3.8,1.6,0.1,0.1
"Food, beverages, tobacco",1253,0.1,0.2,0.4,0,83,4,8.7,2.1,63.2,3.9,3.8,1.5,1.7,0.4,1,0.8,2,4.1,5.2,10,59.5,883.9,53.6,1903.3,4.4,1.5,1.9,26.5,7.4,89.3,93.5,37.8,166.2,412.5
"Textiles & apparel",35.1,17.9,0.8,5,11.5,0,7.9,8.1,2.4,9.8,6.5,21.7,4.3,4.6,1.8,7.1,5.3,89.4,22.4,75.4,20.1,53.2,378,72.2,18.7,7.2,3.1,3.7,4.4,2.9,60.6,10.4,32.7,165.1,85.1
"Wood",18.2,0.5,2,1.5,14,2.9,0,22.8,1,9.8,2.7,14.4,2.8,1.9,2,3,5.7,10,16.5,446.3,2.5,731.4,189.9,18.4,5.6,2.1,0.8,5.9,4.4,129.4,23.5,27.6,22.8,2.2,26.2
"Paper & printing",8.2,2.7,1.2,0.7,207,48.3,9.3,0,2.1,36.4,4.2,28.5,6.9,5,6.7,5.9,7,14.2,3,29.8,26.5,35.7,126.1,50.5,26,198.9,20.5,22.8,112.6,15.7,217.7,88.9,194.4,60,100.5
"Coke & refined petroleum",64,7.1,6.6,13,42.2,15.1,5.8,9.3,0,107.6,7.5,18.1,98.6,3.6,2.3,1.4,8.6,15.3,5.7,16.4,25.5,9,38.4,93.1,13,2.6,6.3,5.1,42.7,11.3,54.9,8.4,8.2,29.4,35.2
"Chemicals & pharmaceutical",296.7,13,5.1,5.2,63.2,126.2,43.8,52,43.1,0,233.4,70.4,103.5,29,14.2,27.9,12.9,37.9,21,44.2,34.5,138.5,31.1,20.3,6.4,6,0,0,1.2,37.9,15.3,8.4,9.9,89.8,5.3
"Rubber & plastic",70.9,36.5,5.2,5.7,210.2,78.9,5,26.8,4.5,54.4,0,59.1,35.2,9.3,29.5,21.3,56.9,174.7,33.5,59.7,22.3,258.1,152.4,423.1,17.5,3.5,9.8,7.8,5.8,29,53,46,27.3,36.8,28.1
"Other mineral (non-metallic)",21.6,32.4,12.3,6.5,122,11.4,15,4.9,10.3,27.6,10,0,70.2,18.8,24.5,32.3,30.7,88.4,18.5,31.2,37.3,2308.2,185.2,234.9,14.7,0,2.8,0.9,21.3,99.5,21.9,99.4,109.7,24.7,2.6
