Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.3,0,0.1,3141.7,144.5,0.1,26.5,0,108.1,43.5,0,0.1,0,0,0,0,0.1,0,1.4,0,19.1,500.3,4.6,155.6,0,0.1,0,0.1,1.5,55.4,112,117.4,21.5,1.7
"Energy extraction",1,0,0.2,172,530,0.3,0.2,36.3,7943.7,7993.1,0.5,1.6,603.1,0.7,0,0.2,0.4,0.2,17.1,20.5,4042.9,10.6,5.2,31.3,460.9,2,67.6,0.2,2.2,102.1,380.7,19.2,2.6,699.1,41.3
"Mining (non-energy)",0.7,0.1,0,0.4,1.7,0.1,0,5.4,0,96,0.2,556.5,404.8,3.7,0,0.5,0,0.2,0.2,1.3,1,434.1,0.7,1,0.5,0,0,0.1,0,2.1,2.4,0.2,0.2,0.1,0
"Mining support",1.3,451.7,4.3,0,0.2,0,0,0.2,0,0.1,0.2,0.3,0,0,0,0,0.1,0,0,0,0.4,14.4,0,0.1,0,0,0,0,0,0,0.1,0.2,0.2,0,0
"Food, beverages, tobacco",730.6,4.1,0.7,0,0,61.7,1.5,14.6,0.5,74.7,3.4,8.1,0.4,1.5,0,0.5,0.7,0.3,0.4,2.5,2.6,62.4,61.6,13.4,875.7,0.2,0.8,0.2,1.9,1.7,58.6,104.6,127.7,122.7,18.3
"Textiles & apparel",1.7,5.5,0,0.3,4.1,0,0.6,7.5,0,12.8,2,2,1.4,0,0,0.1,0.3,0.6,3.1,2.4,1.6,29.6,4.7,5.6,8.3,0.2,1.3,0,0,0.4,32.3,21.9,8.8,73.7,7.1
"Wood",5.8,0.2,3.1,0.1,2.6,7.5,0,53.4,0,6.7,1.8,16.3,0.3,1.3,0,0.5,0.5,0.3,1.1,39.2,0.4,357.9,3.9,9,1.8,0.1,0.3,0,0,11.1,9.5,1.2,0.3,0.9,7.8
"Paper & printing",8.4,91.2,9.8,0.1,87.2,14.9,4.4,0,1.2,67.7,11.5,32.3,3.2,9.1,0.4,3.4,6,3.1,0.9,9,15.4,149.6,208.3,36.1,29,63.8,51.6,6.3,33.2,13.6,310.1,181.3,483.6,89.2,15.7
"Coke & refined petroleum",78.2,79.2,40.5,4.6,75.2,7.8,9.8,27.2,0,692.7,11.4,83.2,108.2,1.3,0,0.4,2.1,0.4,3.4,10.8,73.9,116.8,39.6,670.7,37.6,0.9,23.4,0.1,0.8,22.6,165.8,108.8,216.1,97.5,10.2
"Chemicals & pharmaceutical",352.2,1325.6,60.5,0.9,52.2,86.5,33.2,180,21.2,0,571.1,321.2,59.5,76.5,2.4,39.1,28.4,20.5,6.5,51.8,30.7,861.1,80.8,21.8,10.3,1.3,1.3,0.3,1.4,14.9,94.6,29.1,78.9,152.9,24.8
"Rubber & plastic",52.1,33.4,12.1,0.4,79.1,190.9,10.7,59.3,0,69.8,0,61.9,8.7,7.3,2.1,16.8,17.5,38,4.4,44.2,4.1,669.6,69.2,81.4,10.7,0.3,7.9,0.1,0.2,5.1,46.6,22.1,22.7,26.1,18.3
"Other mineral (non-metallic)",1.7,0.9,1.4,0.1,10,0.1,0.4,0.3,0,8.3,0.6,0,4,0.7,0.4,0.3,0.9,0.8,0.6,1.1,0.4,1107.7,6.8,1.6,2.2,0,0.6,0,0,4,5.7,1.7,2.5,4.2,1.3
"Metal (basic)",1.1,302.1,7.4,0.5,6.2,0.4,0.8,18.7,0.2,17.6,7.5,37.6,0,387.5,2.6,139.4,140.7,36.7,9.1,68.5,6.6,1251.3,23.6,1.6,0.1,0,1.9,0,0.1,0.6,3,1.1,1.1,1.9,0.3
"Metal (fabricated)",1.6,2.2,0.5,0.1,6.7,0.3,0.2,0.8,0,4.4,0.2,1.6,5.9,0,0.2,0.1,0.9,0.2,1.4,3,0.9,30.2,0.7,0.4,0.9,0,0.4,0,0,1.1,4.1,0.5,0.4,1.1,0.3
"Computer, electronics",0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0,0.3,0.3,0,0,0.2,0,2.4,0.4,0.1,0,0,0.9,0.1,0,0,0.5,0.5,0.5,0.7,0
"Electrical equip.",0,0,0.1,0,0.5,0,0,0.2,0,1.2,0.2,0.8,1,0.1,0.6,0,1.7,0.5,0.6,2,1,64,0.4,0.4,0.5,0,3.2,0,0,0.7,2.7,0.8,1.7,1.4,0.2
"Machinery & equip.",0.8,1.4,0.6,0.1,0.4,0.5,0.2,1,0,0.6,0.3,3.5,0.6,0.2,0,0.1,0,0.1,0.3,0.7,1.2,8.9,0.7,0.4,0.1,0,0.1,0,0,0.1,1,3.8,0.6,0.3,0.3
"Motor vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.1,0,0,0,0,0,0,0.2,0.1,0,0,0
"Other transport equip",0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.9,0.2,0.8,0,0,0,0,0,0,0.6,1.9,0,0,0
"Other manufacturing",4.6,119.5,1.9,0.1,2.5,0.5,0.5,2.4,0.2,2.6,0.9,6.2,3.4,2.2,0.1,1,2.6,0.7,0.3,0,2,31.7,2.7,8.2,0.9,0.1,2.1,0.1,0.2,3.4,7,3.3,2.3,12.1,0.3
"Utilities",46.6,167,32.2,3.1,178.8,30.3,13.4,178.7,0.8,401.8,32.1,200.5,186.7,6.9,2.1,2.7,6.1,4.4,5.9,14.5,0,108.1,271.1,58,144.8,2.2,63,0.5,3,129.9,182.8,345.9,310.2,369.4,21.8
"Construction",10.4,1.8,4.9,0.3,2.7,1.9,0.6,12.2,0.1,8.8,1,18.7,2.8,0.8,0.1,0.1,0.8,0.3,0.3,3.5,11.7,0,71.3,48.3,6.4,0.2,13,1,4.7,95.7,52.7,86.5,199.1,38.5,3.5
"Wholesale & retail",490.5,674.1,57.2,4.5,990.6,247.4,53.2,329.8,12.2,624.8,231.1,303.7,247.7,203.2,4.2,78.7,83.3,51.1,13,111.8,152.6,2338.3,0,485.6,257.9,48.4,356.6,1.6,7.7,48.7,1096.5,293.5,213.5,390.3,49.8
"Transportation, storage",31,66.9,9.1,1,96.6,24.1,4.9,38.3,1.4,97.6,20.6,47.6,34.2,16.3,0.3,5.8,7,3.4,2.8,10.1,8,132.8,71.9,0,19.8,2.7,23.8,0.6,14.5,6.4,215.7,329.7,38.2,47.8,10.3
"Accomodation and food services",6.8,211.6,4.7,0.4,9.8,5,2.2,8.2,0.2,11.4,5.3,19.6,3.5,9.8,0.2,2.4,5.9,2.2,1.1,5.2,6.9,213.5,61,77,0,0.8,6,3.2,9.6,12,202,82.3,164.1,155.4,8.1
"Publishing, broadcasting",0,0.9,0,0,0.3,0,0,0.5,0,0.2,0,0.2,0,0.1,0,0,0.1,0,0,0.1,0.1,1.2,1.3,0.3,0.1,0,0.4,0.1,0.1,0,2,0.9,3.7,0.4,0.1
"Telecoms",45.8,613.1,32.8,1,37.7,27.5,7.9,33.7,2.5,46,21.4,85.4,9.7,40.9,1.7,12.5,30.2,10.5,2.9,22.6,40.3,674.2,373.5,203,47.7,9.6,0,27.5,81.1,33.5,536.1,413.1,344.7,210.2,27.6
"IT and information services",1.3,3.9,0.3,0,5.2,6.8,1.1,8.5,0.3,8.1,0.1,11.7,1.6,0.3,0.4,0.2,1.1,0.5,0.2,1.7,4.9,11,9.7,45.4,3.9,1.4,29.2,0,4.7,3.4,53.1,153,34.2,23.4,2.1
"Finance & insurance",178.2,104.5,27.4,1.5,105.2,137.6,22.9,153.4,7.6,146.2,52.8,198.6,81.6,16,2.8,5.8,21.9,13.6,7.4,32.2,70.6,2024.1,823.3,375.4,61.5,4,84.8,7.3,0,669,433,706.9,442,215.4,63.8
"Realestate",10.2,478.5,4.1,0.1,14.9,13,2.7,13.9,0.7,11.7,9.1,23.7,2.2,15,0.4,3.9,6.8,5.1,0.9,9.9,11.1,409.6,403.4,67,66.3,1.5,40.4,4.2,17.2,0,174.7,102.4,230.2,106.5,16.7
"Other business services",56.8,2187.5,58.3,3.7,201.1,36,17.1,92.3,5.9,209.9,40.1,226.4,27,61.1,3,24.3,41.9,21.2,8.3,51.3,83.7,2511.7,744,600.4,132.5,13.7,206.1,19.3,69.3,95.4,0,378.3,504.2,324.2,41.3
"Public admin,  defence",3.7,28.2,1.1,0,0.4,9.8,1.6,5,0.4,0.8,3.4,11.4,0,0.9,0,0.2,0.6,0.7,0,0.7,4.1,14.7,28.1,5,0.3,0,0.8,0.1,0.3,0.9,5.8,0,80.1,2.5,1.8
"Education",1.7,12.9,0.5,0,0.3,4.5,0.7,2.4,0.2,0.6,1.6,5.2,0.1,0.4,0,0.1,0.3,0.3,0,0.4,1.9,6.7,12.9,2.3,0.1,0,0.8,0.1,0.1,0.2,5.3,14.3,0,4.1,0.8
"Healthcare, socialwork",43.5,177.7,5.1,0,67.5,5.9,7.2,31.4,1.4,69,20.1,61.7,11.8,29.9,0.8,10.4,17.9,8.8,0.8,24.6,37.4,453.3,210.1,215.5,26,3.8,47.8,8.3,96.7,12.6,359.8,390.4,63.5,0,51.1
"Arts, entertainment",33.7,42.9,4.2,0.3,12.4,4.7,7,46.6,1.8,13.9,8.4,78.4,7.1,5.7,0.1,1.1,3.8,4.1,1,15.5,15.4,12.5,205.1,83.1,35.1,1.7,20.6,4.3,34,5.3,201.7,35.6,115.7,187.8,0
