Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0.1,0.2,5831.7,16.3,868.9,411.9,0,2.3,36.2,0.4,0,0,0,0.1,0.4,0.1,0.1,5.5,0.1,3.8,1.6,0.3,108.1,0.2,0,0.1,0.1,0,16.7,11.5,1.3,7,5.7
"Energy extraction",0.2,0,9.3,0.8,5.6,0.6,0.5,1,229.5,9.5,0.1,3.9,4.6,0.8,0,0.1,0.7,0.1,0.1,0.3,98.3,15.5,6.5,2,0.4,0.4,0.1,0.7,0.3,1.1,9.3,0.6,0.1,0.1,0.9
"Mining (non-energy)",56.6,0.3,0,2.1,24.9,2.5,2.7,16.4,0.5,379.8,10,395.1,2287.3,118.8,1.9,23.2,32.7,6.6,1.7,27.5,4.7,253,2.3,0.5,0.2,0.2,0,0.2,0.2,0.3,4,0.9,0.1,0.9,1.6
"Mining support",559.9,49.2,826.1,0,39.4,0,4.4,20,19.7,6.4,9.5,5.1,1.1,0.3,0,0,2.5,0,0,0.9,118.4,257.5,0.1,8.5,0,0,0,0,0.2,0,12.6,9.6,3.2,0.1,0.1
"Food, beverages, tobacco",1138.5,0.1,19.2,0.3,0,6.3,6,17.2,2.4,78.2,10.5,4.5,2.8,2.6,0.4,0.4,1.5,0.6,0.3,2.9,9.5,28.5,174.6,23.7,835.4,10.5,15.8,1.7,2.1,2.5,24.1,40.7,9.7,37.6,44.1
"Textiles & apparel",8.2,0.1,3.8,0.2,9,0,0.9,10.7,0.3,7.1,4.4,1.3,0.8,1.2,0.2,0.4,0.6,3,0.5,17.1,1.6,61.4,32.7,5.1,3.1,4.2,7,0.7,2.9,1.3,8.7,7.1,2,3.1,3.8
"Wood",5.9,0.2,14.6,0.1,11.4,1.2,0,29.2,1.4,2.8,1,3.7,1.2,0.9,0.1,0.2,0.5,0.5,0.2,10.5,24.8,108.6,10.1,2.9,1.4,1.5,1.9,0.3,1,1.4,3.5,1.7,1.2,1.2,1.6
"Paper & printing",23.8,0.3,60.3,0.4,193.6,8.7,45.2,0,8.7,47.8,15.5,11.3,3.9,5.8,0.7,1.5,6,2,0.4,12,87.3,80.3,171.2,34.9,16.5,292.6,20,9.6,59.5,15.2,87.8,38.2,35,17.9,27.8
"Coke & refined petroleum",454.8,5.3,308,5.9,228.2,11,19.4,120.7,0,188.8,13.5,91.5,24.4,19.6,0.6,1.8,14,2.1,0.9,12.1,309.2,384.6,161.5,1921.7,41.3,10.8,13.2,1.4,6.7,4.1,120,61.7,18.5,49.8,17.5
"Chemicals & pharmaceutical",466.5,1.8,283.9,1.9,221.5,33.7,53.4,160.2,58.1,0,344.6,82.3,14.7,27.7,1.5,4.7,19.8,4.6,1.5,15.6,53.2,232.5,74.2,124.8,16.6,15.8,14.1,1.6,1.5,2.8,41,39.8,14.6,209.7,15.1
"Rubber & plastic",64.5,0.4,45.6,1.4,310.6,12,6.8,44.7,4.7,74.1,0,5.3,1.4,14.6,2.1,6.7,12.7,15.9,1.9,20.1,14.7,262.6,157.6,100.2,5.5,12.1,9.7,2,7.9,1.8,31.6,8.4,5.3,8.3,11.7
"Other mineral (non-metallic)",17.4,0.1,24.9,1.5,41.9,1.8,7.5,11.5,0.8,33.2,16.7,0,3.5,15.7,2,3.9,14.5,7,1.2,10.9,17.4,2046.2,42.5,10.6,7.7,3,2.9,0.4,1.2,0.6,8.5,3.1,7.7,2.7,6.1
"Metal (basic)",47.2,0.6,73.4,4.2,39.4,4.3,8.2,24.4,12.2,58.3,44.8,15.4,0,407.5,7.1,13.5,91.8,22.9,6.9,38.7,35.9,782.3,46,10.1,3.4,8,11.9,4,2.9,3.6,20.7,5,2.4,6.7,3.2
"Metal (fabricated)",27.5,1.7,157.9,3.4,83.1,6.9,11.8,32.7,1.4,20.2,11.5,14.4,12.8,0,2.6,9.7,22.9,21.3,5.2,59,62.6,952.7,62.5,27.8,10,15.5,21.7,2.4,14.6,4.5,51.3,13,5.7,11.4,7.3
"Computer, electronics",2.3,0.2,8,0.3,3.8,0.4,0.8,2.7,0.1,0.9,0.6,0.5,0.4,1.4,0,2.8,0.6,2,0.4,7.5,8.7,6.9,14.2,2.9,1.4,4,2.7,5.5,5.2,1,8.6,4.5,2.1,3.2,2.1
"Electrical equip.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0
"Machinery & equip.",16.9,2,90,1.9,30.3,1.9,7.7,19.1,1.5,9.9,6.8,6,1.7,6.1,0.6,1.7,0,3.8,1.2,22.3,39.8,43.5,46.9,12.5,6.1,11.4,17.4,4.3,14.1,4,39.6,15.5,5.3,8.7,4.2
"Motor vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0
"Other transport equip",1.7,0,0.3,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0,0.7,0,0,0.1,0,0.9,1.8,19.1,0,0,0,0,0,0.1,2.5,10.4,0,0,0.3
"Other manufacturing",21.9,4.1,200.5,2.8,66.1,10.9,18.2,39.5,0.8,12.2,10.8,8.8,1.3,6.6,1.1,3,6.3,3.8,1.2,0,101.8,38,51.8,17.6,13.8,29.2,45.4,3.5,41.2,5.3,68.1,30,14.6,27.5,7.4
"Utilities",341.8,0.9,2628.3,11.6,683.3,54.7,144.1,546.9,244.9,416.6,118.8,217.5,186.8,102.3,3.5,9,46,15.2,3.6,45,0,279.6,526.8,336.5,200.4,60.7,85.4,23.5,137.9,227.7,223.7,319.9,288.1,194.8,125.8
"Construction",12,0.5,7.7,2,16.3,1.4,2.3,7,3.5,4.8,2.3,5.5,1.1,3,0.3,0.8,2,1.1,0.2,12,159.2,0,81.3,57.2,14.2,5.6,8.1,1.4,25.3,900.3,30,149.7,37.4,23.9,21.7
"Wholesale & retail",868.1,9.5,738.4,16.5,1783.3,224,183.3,387.8,62.2,329.8,144.8,108.9,111.2,90.5,28.6,19.3,60.2,36.9,17.2,180.6,390.5,898.3,0,1618.4,370.1,600,1030.2,90.1,151.2,117.7,853.8,209,81.5,251.3,135
"Transportation, storage",351.6,5.5,424.2,10,965.5,49.6,303.1,310.9,80.8,190.6,73,144.5,70.1,63.8,5.3,6.9,28.3,13.9,3,35.3,179.3,483.9,1880.1,0,71.5,101,31.7,21.1,130,20.4,293.7,164.1,54.3,61.3,66.2
"Accomodation and food services",30.9,0.4,33.5,2.2,20.2,2.8,1.7,8.2,1.1,6.4,2,2.5,0.5,1.6,0.4,0.8,1.3,1.5,0.9,4.9,49.2,39.1,61.9,175.7,0,15.1,3.4,3.9,37.3,4.3,163.5,62,96.7,50.4,51.2
"Publishing, broadcasting",20.9,0.8,30,0.4,110,4.4,6.7,60.2,9.3,21.2,9.4,8,1.4,8.5,0.8,1,6,1.6,0.4,5.5,27.7,88.6,216.5,110.2,21.9,0,94,44.9,94.6,19.3,156.8,50.2,60.6,31,51.5
"Telecoms",18.2,0.9,21,1,34.4,5,3.9,11.3,1.7,9.6,4.6,4.5,0.9,5.4,0.8,1.1,4,1.6,0.6,8.5,43.3,32.7,107.7,69.5,17.6,390,0,27,57.9,14.2,93,67,19.6,25.9,40.6
"IT and information services",5.9,0.8,37.8,0.5,73.1,9.6,10.5,26.3,7.6,37.9,3.6,7.2,4.3,21.9,1,1.4,17,2,0.4,11,55.2,16.8,132.6,83.7,12.7,48.2,37.7,0,106.8,29.8,113.8,48.1,12.1,16.2,22.4
"Finance & insurance",302.6,7.7,122.4,3.9,232.6,32.4,45.6,70.1,47,51.8,33.1,19,13.5,35.9,2.3,5.2,21.6,8.8,3.3,28.9,228,624.3,733.9,275.1,84.3,45.8,40.3,52.6,0,660.2,595.4,74.1,100,129.2,72.2
"Realestate",63.1,1.2,23.9,0.9,141.8,35.5,8.8,31.5,2.8,30.2,16.4,17.5,2.6,23.7,1.2,2.5,12.5,5.8,1.2,22.3,83.7,435.9,1001.5,255.6,306.7,67.4,59,40.9,168.6,0,342.7,92.2,165.3,77.8,101.1
"Other business services",202.7,62.6,1190.1,17.5,1239.4,80.6,232.7,310.3,193.9,397.4,78,169.1,36.1,204.9,11,14.9,137.1,23.7,8.5,115.7,521.8,2497,1888.4,1272.7,257.9,335.9,335.3,212.3,1026.9,392,0,525,207.4,228.4,222.8
"Public admin,  defence",6.8,0.2,8.9,0.4,11.4,1.1,4.1,11.2,1.8,4.4,1.5,1.6,4.4,2.1,0.1,0.2,0.7,0.4,0.1,1.2,10.4,15.1,40.1,56.6,3.8,4.2,0.9,0.8,2.8,5,11.5,0,1.8,16.7,5.4
"Education",2.9,0.4,7.3,0.1,8.1,1,1.5,2.2,0.6,2.2,0.5,0.9,0.4,1,0.1,0.1,0.7,0.3,0.1,0.8,2.7,12.9,15.5,5.9,2.2,2.2,0.7,1.4,2.2,2.1,12.5,1.9,0,3.9,3.4
"Healthcare, socialwork",91.7,0.1,14.8,0,53.3,3.6,7.6,13,0.2,13.7,5.1,5,3.7,6.4,0.1,0.3,3.5,0.4,0.1,1.7,1.1,55.9,44.3,17.2,10.1,9.9,0.4,0.5,1.3,1.3,11.4,1,1,0,21
"Arts, entertainment",46.5,1.7,183.6,2.5,76.7,7,14,24.6,7.1,20.1,8.3,9.5,3.9,10,0.6,1.5,5.5,2.9,1.5,11.6,28,142.6,119.8,85.6,36.4,44,13.4,10.6,28.5,5.8,88.7,29,17.4,79.2,0
