Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,1766.8,615.9,23.9,219923.5,24427.7,21884.6,5475.2,288.3,13562.8,5817.2,291.8,1058.3,235.7,159.7,304.5,446.6,115.6,86.9,2155.3,975.2,4671.2,6825.3,783.4,13008.8,65,9,10.1,102.7,287.3,3174.3,3057,1565.1,818.8,1148.1
"Energy extraction",1216.9,0,729.8,630,648.4,569.2,147.7,769.7,73972,12115.2,762.4,6996.4,66635.5,283.7,130.3,231.6,1412.2,373.4,98.9,208.9,61916.5,877.4,580.2,881.5,330,10.1,31.1,11.7,132.9,280,433.6,590.4,718.5,318.4,408.8
"Mining (non-energy)",349.2,424.5,0,46.9,65.4,87.3,28.5,199.5,2272.7,5998.6,104.5,15903,81878.7,1683.5,176.8,607.6,744.5,38.9,62.4,610.3,790.2,13449.3,131.4,145.7,15.8,0.3,0.7,1.8,5.9,158.2,84.1,219.2,16,2.5,37.8
"Mining support",1474.1,4709.9,1550.9,0,74.5,0,18.9,57.9,77,90.6,178.5,115.8,41.6,4,0,0.3,160.5,1.1,0.6,33,509.4,2201.4,0.8,43.3,0.1,0,0,0,1.1,0,46.3,116.1,42.2,0.5,0.7
"Food, beverages, tobacco",49990.4,45.2,31.6,5.9,0,6145.7,186.2,781.2,225.1,10872,465.6,399.6,127.1,130.1,159.5,174.1,271.6,94.8,161,319.7,341.2,304.8,5062.3,733.7,46329.5,79.1,29.3,89.7,448.6,335.7,2479.1,6574.7,3073,3413.9,3169.4
"Textiles & apparel",1699.6,803.9,636.5,63.3,545.9,0,712.2,1195.8,187.9,4995.1,5407.1,1469.4,1470,1319.8,2022.9,1673.6,2608,3987.4,1675.4,7985.1,587.2,5368.3,3132,1399,951.6,186.3,90.6,139.5,711.9,199,3026.6,3896.6,1012.7,2974.9,1581.7
"Wood",645.2,970.7,499.6,15.2,230.4,571.3,0,1268.3,66.7,981.9,723.2,1401.2,207.5,822.7,717.5,755.9,1164.8,961.7,675.4,12094.1,681.8,29310.4,637.4,264.3,143.8,39.5,21.5,56.1,46.1,1338.5,691.8,250.6,261.2,70.4,357.4
"Paper & printing",977.4,453.2,526.4,12.5,4854.2,3794.5,1087.1,0,324.3,6862.9,3444.7,3975.6,712,1186.7,3534.1,2749.4,3135.4,1332.3,328.8,2125.1,755,2739.2,6193,1674.6,1149.6,4589.8,821.3,1744.1,4241.9,1043.5,8761.3,5804.6,5846.7,1471,2531.8
"Coke & refined petroleum",13420.5,5632.4,7300.3,402.3,2007.6,3237.1,1035.8,1259.1,0,30111.3,2318,10653.8,17721.2,2030.3,2164.3,2820.4,4038.5,1425.7,1077.6,1533,14475.7,23254.6,7032.7,48613.4,1021.5,139.9,438.8,694.6,1784.5,1807.7,5118.7,6480.9,2180.8,1301,1416.3
"Chemicals & pharmaceutical",17180.5,3678.2,3125.3,127.1,3240.5,25619.6,3081,6213.3,6757.1,0,59168.2,11374.2,15558.6,5385.1,10893.3,11229.7,7920.6,4878.5,2535.6,5138.3,2365.4,14465.9,2290.4,1188.1,686.5,222.8,56.6,120.5,281,1016.1,4105.6,2356.5,1631.6,13428.6,1973.5
