Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.6,0.5,0,429.4,26.1,6.7,0.3,0.3,3.9,0.6,0,0.6,0.1,0.2,0.2,0.6,0.1,0,3.7,1.2,1.4,18.7,9.1,30.9,1.9,0.1,0.1,0.3,0.4,2.7,3.6,1.6,2.3,7.2
"Energy extraction",0,0,0.1,0.1,0.3,0.4,0.2,0.2,60.2,1.5,0.1,0.2,6.6,0,0,0.1,1,0.2,0,0.2,18.4,0.3,0.8,0.7,0.1,0,0,0,0.1,0.1,0.3,0.1,0.2,0.2,0.3
"Mining (non-energy)",2.1,6.3,0,1.1,4.3,7.8,4.8,7,7.5,89.4,1.3,97.2,126.8,4,2.8,4.9,40.7,1.9,1.6,60.2,12.6,610,18.3,5.7,0,0.1,0.1,0.1,0.2,10.4,4.9,7.7,0.6,0.2,3.1
"Mining support",2.9,7,6.2,0,0.5,0,0.4,0.2,0.7,0.1,0.3,0.1,0.1,0,0,0,2,0,0,0.5,2.6,9.9,0,0.5,0,0,0,0,0,0,0.3,0.4,0.1,0,0
"Food, beverages, tobacco",360.8,1.9,2.3,0.2,0,566.4,64.8,39.1,30,244.6,10.1,3.7,3.6,3.8,7.7,7.2,42.8,8.5,4.2,63.8,46.1,93.6,1086.2,92.3,2566.4,22.8,3.7,7.8,45.8,22.6,188.5,315.6,154.5,345.1,502.5
"Textiles & apparel",17.4,15,10.5,1,220.4,0,101.4,10.9,28.2,31.9,20.7,5.5,19.9,12.4,44.1,35,151.2,101.1,18.8,415.8,47.9,142.2,935.8,205,88.4,56.3,25.3,25.1,50.8,11.3,298.9,81.8,23.7,101.2,110.4
"Wood",1.8,13,2.6,0.1,4.7,16.5,0,17.1,2.1,5.4,4.2,3.2,1.2,6.9,8.6,9.4,50.7,26.2,6.5,639.7,12.9,505.9,42,5.8,2.4,3.2,0.7,1.2,1.4,31.9,21,3,3.2,0.9,13.7
"Paper & printing",0.4,0.7,0.7,0,9.7,9.5,5.4,0,1.6,2.9,1.3,0.5,0.7,0.8,3.9,2.5,11,3,0.2,6.9,3.2,5.8,58.6,8.5,2.8,81.3,4.8,4.8,18.7,2.4,29.6,9.5,9.6,3.6,11.7
"Coke & refined petroleum",26.4,37.4,49.4,2.1,30.6,80.1,59.7,10.8,0,117.9,9.5,16.7,87.9,11.8,20.8,25,125.7,26.9,4.4,51.5,187.6,266.7,319.9,1198.4,11.6,8.3,11,10,44,22.5,208.7,56.3,19,20.3,35.9
"Chemicals & pharmaceutical",9.5,15.2,10.2,0.4,26.1,397.2,93.8,28.8,83.8,0,136,9.5,39.5,15.9,55.8,52.3,119.9,47.5,7.3,94.7,19.3,79.8,64.5,14.5,3,8.8,0.5,0.9,3.4,8.4,51.2,19.7,9.8,262,30.1
