Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.2,0.3,0.2,3784.5,23.7,92.9,5,9.2,16,30.6,5.8,9.3,6.6,13,8.6,5.7,21,0.8,12.9,95.9,25.1,266.8,22.6,186.7,1.8,1.9,1.3,3.5,15.1,30.9,9.8,3.9,15.5,7.7
"Energy extraction",2.1,0,0.1,0.2,2.8,0.2,0.2,0.2,31.3,3.5,0.7,2.4,10.7,1.2,1.2,0.9,0.8,2.6,0.1,0.4,29.8,2.5,5.7,1.5,1.1,0.2,0.3,0.3,0.5,2.4,1.5,1.3,0.6,1.1,0.8
"Mining (non-energy)",6.7,0.1,0,0.5,3.2,0.1,0.2,1.7,0.2,31,1,94.3,68.7,3.5,1.5,1.9,1.4,3,0.1,0.2,4.5,91.2,2.1,2.8,0.4,0.1,0.2,0.1,0.1,5.7,2,0.4,0.2,0.4,0.3
"Mining support",30.6,8.6,10.4,0,5.1,0,0.3,1.3,2.2,1.2,3.6,1.6,0.6,0.1,0,0,1.3,0.1,0,0.5,18,31,0.1,1,0,0,0,0,0,0,1.5,3.5,0.9,0.1,0
"Food, beverages, tobacco",483,0.2,0.6,0.2,0,12.1,4.6,8.9,15.2,61.7,30.3,9.6,8.3,11.8,18.7,16.9,8.2,29.6,1.3,6.9,15.1,25.6,145.6,18.2,928.4,4.7,2.3,2.6,9.5,12.3,42.1,57.6,16.4,45.6,120.8
"Textiles & apparel",2.3,0,0,0.1,2.7,0,2.3,1.4,0.6,2.5,7.3,1.2,0.6,1.7,7.2,2.5,1.5,37.7,0.7,18.1,1.4,3,16.1,2.2,1.4,0.8,0.3,0.4,0.5,0.9,3.4,6.4,1.5,5.5,4.2
"Wood",19.2,0,0.1,0.2,12.3,1.9,0,3,1.3,8.8,9.3,20,2.6,18.7,9,12,8.8,25.5,0.9,91.2,14.7,205,44.4,8.1,5.8,0.4,1.8,0.2,0.5,55.4,18.4,0.7,0.4,1,4.1
"Paper & printing",14.4,0.2,1.3,0.1,108.5,7,12.1,0,1.3,24.4,25.5,10.2,3.2,7.3,23.7,28.4,5,13.6,1.1,11.6,9.1,8.2,302.3,24.8,21.1,301.4,3.7,5.9,108.7,20.9,96,99.9,24.1,11,25.7
"Coke & refined petroleum",393.5,6.1,17.2,6.6,131.1,16.1,14,19.1,0,630.8,61.5,91.3,95.9,33.3,56.2,43.6,25,73.4,6.2,23.9,310.6,285.7,512.3,1192.8,56.5,9.6,15.8,15.9,56.3,71.7,173.9,77.7,30.2,53.6,51.8
"Chemicals & pharmaceutical",320.6,1.6,4.2,1,64.4,30.2,17.3,23.2,80.6,0,346.1,73.5,47.2,22.5,44.4,97.9,16.5,73.2,3.4,21.2,43.3,72.1,114,34.9,14.5,4.6,2.6,3.2,7.2,25.2,56.2,13.3,12.3,98.8,28.5
"Rubber & plastic",34.1,0.7,2,0.7,115.7,16,23.9,29.3,3.9,53.6,0,21.1,13.2,28.1,288,124.7,29.7,314.3,8,59.8,29.3,173.3,73.6,41.9,15.7,4.2,2.1,0.8,11.3,16.9,33.5,4.1,1.8,12.3,3.1
"Other mineral (non-metallic)",27.4,0.1,6.4,0.9,68,2.3,9.5,1.6,2.7,16.5,15.4,0,22.6,10.3,30.9,52.5,16.3,145.9,2.2,10.9,34.5,1194.3,69.1,17.3,13.4,0.6,5,0.7,1.4,54,35.8,4.9,1.5,7.9,2.4
"Metal (basic)",7.7,0.3,0.6,0.3,12.2,1.1,1.8,6,3.1,12.2,13.4,6.4,0,153.8,98.8,202.1,77.4,203.1,7.7,29.2,11.7,63.4,24.9,6.6,2.3,0.7,2,1.3,1.9,4.8,5.3,4,1.7,2.6,2.7
"Metal (fabricated)",16.9,2.8,3.5,1.9,105.8,6.3,23,9.3,9.5,22.1,90.5,18.2,92.2,0,135.8,163.8,305.7,573.5,19.4,81.9,61.8,485.9,87.1,39.7,13.6,1.9,13.7,4.4,4.6,38.7,35.1,16.4,12.5,11.2,11.6
"Computer, electronics",5.7,0.5,1.1,0.5,20.5,1.7,1.2,2.8,5.8,7,9.2,3.1,14.3,7.2,0,36.1,18.1,108.3,2.8,17.7,23,26.7,51.5,33.5,7.7,3.9,14,17.8,19.6,13.2,24.7,17.5,7.6,10.2,6.1
"Electrical equip.",25,0.7,1.1,0.5,44.9,5,4.4,7.3,23.2,21.9,17.6,10.3,19,29.6,195.4,0,55.8,189.9,4.3,18.9,45.9,101.3,197.4,37.1,17.6,3.5,10.7,4.7,5.5,19.1,28.1,6.4,2.7,6.8,5.5
"Machinery & equip.",16.1,1.5,2.3,0.9,16.1,1.6,1.7,4.9,7.7,9.6,8.3,6.3,14.5,23.1,31.1,28.7,0,311.6,2.4,9.1,28.3,41.7,36.1,33.3,3,0.7,4.3,2.1,2.2,14.9,13.8,3.4,1.1,1.7,2.4
"Motor vehicles",14.6,0.6,1.3,0.5,13.7,2.1,1.9,3.4,2.9,7.1,16.7,21.1,7.9,26,134.1,47.6,52,0,5.2,10.6,21,95,103.1,56.4,2.7,0.6,5.7,2.9,4.9,9.8,26.4,4.4,1.9,3.4,5.4
