Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0,0,78.1,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.1,7.9,0.1,0.1,0.1,0.3,9.2,0,0,0,0.1,0.1,3.2,0.2,0.2,0.4,1.7
"Energy extraction",0,0,0,0.1,0.1,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,29.2,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0.9
"Mining (non-energy)",0,0,0,0.1,0.1,0,0,0,0,0.8,0,9.6,0.6,0.2,1.3,0,0,0,0,0.1,0.5,9.2,0.1,0.1,0,0,0,0,0.3,0.2,0.1,0.1,0,0,0.1
"Mining support",0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",22.2,0,0,0,0,0.2,0,0.3,0,8.9,0.3,0.2,0,0.1,1,0,0,0,0,0.5,1.1,0.7,2.1,1.5,47.6,0.1,0,0.1,1.9,0.1,1.4,2.6,1.4,4.2,19.7
"Textiles & apparel",0,0,0,0,0.1,0,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0.3,0,0,0,0,0.1,0,0,0,0,0,0.2,0.2,0,0.4,0.6
"Wood",0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.6,0,0.1,0.1,0.1,5.2,0,2,0.2,0,0.1,0,0,0,0.1,0.4,0.1,0,0,0,0
"Paper & printing",0.3,0,0,0,3.1,0.3,0.1,0,0,1.6,0.7,0.6,0,0.6,5.8,0.1,0.1,0.2,0,3.5,1.1,1.9,4.1,3.3,1.3,3.5,1.1,0.6,12,0.3,8.4,1.6,1.3,1.1,2.4
"Coke & refined petroleum",0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.9,0,0,0,0,0,5.5,0.3,0.1,1.2,0,0,0,0,0,0,0.1,0,0,0,0
"Chemicals & pharmaceutical",0.4,0,0,0,0.3,1.2,0,0.1,0.1,0,0.8,0,0,0.1,2.9,0,0,0,0,0.6,0.1,0.5,0.7,0.1,1,0,0,0,0.1,0,0.3,0,0,7.5,0.5
"Rubber & plastic",0.5,0,0,0,1.5,0.3,0.3,0.5,0,2.6,0,0.6,0,0.9,1.7,0.5,0.3,0.3,0.2,5.6,0.1,12.5,1.6,2,0.4,0.1,0.5,0.1,0.9,0.1,0.6,0.4,0.5,0.3,1
"Other mineral (non-metallic)",0.1,0,0.2,0,0.3,0,0,0,0,0.1,0.2,0,0,0.4,87.4,0,0,0,0,0.2,2.1,23.8,0.7,0.6,0.9,0,0,0,0.6,1.5,0.9,0.2,0.1,0.1,0.2
"Metal (basic)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metal (fabricated)",0.4,0,0,0,0.5,0,0.1,0.1,0.1,0.3,0.5,0.7,0.1,0,62.2,0.1,0.4,0.1,0.2,3.8,0.4,10.8,0.5,2.6,0.1,0,0.1,0,0.3,0.1,0.4,0.6,0.1,0.1,0.1
"Computer, electronics",0,0,0,0,0,0,0,0.1,0,0,0,0.7,0,0.1,0,0.4,0.4,0,0.1,0.1,0.7,1.9,0.1,3.9,0.1,0,3.7,2.3,0.2,0,0.6,0.1,0.1,0.2,0.1
"Electrical equip.",0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0.3,0,0.1,0,0,0.2,0.2,0.8,1.4,0.2,1.8,0,0.1,0.1,0,0,0.1,0,0,0,0
"Machinery & equip.",0,0.1,0,0,0,0,0,0.4,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.5,0.1,0.5,0,0.4,0,0,0,0,0,0,0.1,0,0,0,0
"Motor vehicles",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.1,0.1,0.2,0.3,1,0,0,0,0,0.1,0,0.1,0,0,0,0
"Other transport equip",3,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0.1,0.2,0,0,0.1,0,1.8,0.4,21.4,0,0,0,0,0,0,2.5,8.5,0,0,0
"Other manufacturing",2.1,0.3,0.2,0.1,0.7,0.7,0.4,0.3,0,3.7,0.5,1,0.1,0.3,2,0,0.1,0.1,0.2,0,1.6,2.5,1,2,1.1,0.3,0.3,0.2,1.6,0.3,1.3,0.3,0.3,2.4,0.6
"Utilities",4,0.1,1.8,0.3,4,1.5,0.2,1.9,0,8.8,5.7,4.6,1.1,2.2,164.3,0.3,0.5,0.1,0.3,9.2,0,7.5,8.9,16,5,2.8,3.3,5.1,11,1.7,12.7,17.5,2.7,15.1,7.4
"Construction",6.4,0.3,0.3,0.4,1.1,0.3,0,1.4,0,1.9,0.6,2.1,0.2,0.7,6.7,0.6,0.1,0.1,0.2,8.4,13.6,0,16.8,15.8,3.7,0.4,0.4,0.7,64.6,27.9,15,21.1,5.1,3.9,5.5
"Wholesale & retail",17.1,0.4,0.5,0.6,46.6,6.9,0.5,10.2,0.5,15,5,3.3,0.3,3,54.2,1.7,1.2,0.6,2.2,11.4,31.7,17.3,0,49.6,203.5,2,2.3,2.8,14.8,0.9,17.8,5.1,1.9,8.4,14.9
"Transportation, storage",1.2,0.1,0.2,0.1,2.3,0.2,0,0.8,0,1.8,0.7,0.7,0,0.8,3.1,0.2,0.2,0,0.5,1.7,3.3,5.5,8.9,0,1.2,0.4,1.7,0.8,19.9,0.9,4.9,3.1,0.6,0.7,3.3
"Accomodation and food services",0.5,0.1,0.1,0.1,0.9,0.3,0,0.6,0,1.5,0.5,0.6,0,0.6,5.7,0.1,0.1,0,0.1,1.5,5.2,3.1,3.1,14.4,0,0.5,0.5,2.1,21.4,0.5,20.5,3.2,2.2,5.9,10.4
"Publishing, broadcasting",0.1,0,0,0,0.5,0.1,0,2,0,0.1,0,0,0,0,0.3,0,0,0,0,0.1,1.6,0.1,1.9,0.8,0.4,0,4.9,2.6,6.4,0,15.7,0.6,1.5,0.3,1.1
"Telecoms",0.7,0.1,0.2,0.1,0.7,0.5,0,0.6,0,0.8,0.4,0.6,0,0.5,0.5,0.1,0.1,0,0.1,1.1,2.5,2.7,3.7,12,1,1.2,0,7,43.4,0.3,7.3,4,1.4,2.8,18
"IT and information services",0,0,0,0,0.2,0,0,0.3,0,0.8,0.1,0,0,0,0,0,0,0,0,0.2,0,0.9,1,0.8,0.4,0.3,0.6,0,46.1,0.2,3.3,3.2,0.6,0.7,31.9
"Finance & insurance",10.5,0.1,0.1,0.6,8.4,6.2,0.6,6.7,0.1,19.6,7.5,9.9,0.8,9.4,4.5,1.7,1.4,0.2,1.3,16.8,3,55.1,61.9,69.7,8.1,7,9.2,13.6,0,37,69.7,17.8,10.8,15.6,205.6
"Realestate",0.8,0.4,0.2,0,1,1.2,0.1,0.7,0,1.1,1,0.5,0,1,2.2,0.2,0.1,0.1,0.1,1.8,1.9,26,15.5,13.7,7.2,1.2,1.6,1.5,14.2,0,7.5,2.6,1.6,1.6,3.5
"Other business services",1.2,1.8,1,0.3,3.4,1.4,0,0.8,0.1,2.6,1.1,0.6,0.1,0.3,1.3,0.3,0.1,0,0.6,13.2,7.5,9.7,6.1,7.1,4.6,0.9,1.1,2.3,46.5,0.7,0,9.9,2.9,5.1,42.6
