Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,7.8,8.7,0.9,8393.3,49.5,649.5,159.5,5.6,35.8,26.1,1.8,1.9,3.4,0.5,0.8,2,0.2,1,10.9,26.3,85.9,154.7,14.7,244.4,7.9,1.9,1.9,6.1,25.5,62.5,39.6,31.2,43.2,50.9
"Energy extraction",57.5,0,14.8,13.8,11.7,0.7,1.6,5.9,99.3,8.6,1.5,10.6,31.8,1,0.1,0.2,1.7,0.1,0.1,0.5,381.3,49.8,6.8,10.5,1,0.6,0.9,0.9,2.5,15.4,6.5,7,6.8,8,4.9
"Mining (non-energy)",36.4,17.5,0,2.5,3.6,0.4,3.2,10.7,714.9,64.5,3.2,145.1,1326.2,193,1.6,13.2,15.9,0.2,0.9,13.4,203.6,433.5,17.8,11.3,5.3,0.1,0.2,0.2,1.3,8.5,5.1,6.5,1,0.4,4.5
"Mining support",88.6,53,23.7,0,8,0.2,0.8,2.2,5.9,1.5,1.8,2.4,3.3,0.9,0.1,0.2,0.9,0.1,0.1,0.4,19.2,53.8,4.8,3.6,0.7,1.3,1.6,3.1,4,4.9,8.4,4.9,2.7,1.5,2.3
"Food, beverages, tobacco",1157.1,5.8,8.7,1.4,0,30.2,15.9,43.6,30.8,86,50.8,12.5,5.5,15.7,3.6,6.2,9.3,1.5,4.9,5.8,28.4,101,476.5,42.8,542.8,10.8,4.8,5.8,16.3,25.4,62.9,67.1,48.2,119.8,91.7
"Textiles & apparel",31.2,1.9,3.2,0.8,13.9,0,5.5,12,2.1,6.5,14.6,2.5,0.4,3.7,0.9,1.4,2.4,1.3,3.2,14.1,7.3,29.7,44.9,15.1,12.2,6.6,1.4,1.1,6.1,4.6,28.8,21,8.6,33.8,24
"Wood",45.8,9.4,12.4,1,21.9,2.9,0,45.7,3.4,6.7,7.6,9.7,0.8,15.6,1.5,2.9,6.1,1.4,5.9,81.5,28.1,701.6,37.5,8.2,6.8,6.1,1.4,1.3,2.2,125.1,28.6,6.4,9,4.6,16
"Paper & printing",59.1,3,5.4,0.7,187.7,9.9,20.5,0,12.3,33.2,30.3,11.3,1.7,10.1,3.7,5,7.1,1.1,2.5,7.5,24.9,49.3,121.6,28.3,25.7,114.8,15.2,15.7,51.1,32.6,143,45.4,70.2,34.3,80.2
"Coke & refined petroleum",572.3,45.5,106,16.7,159.5,13.3,29.2,36.2,0,152.1,22,54.6,27.3,27.6,4.1,8.7,15.5,1.7,10.2,10.6,408.4,444.4,277.4,1196.1,37.4,18.5,19.4,13.1,57.6,112.2,203.3,113.8,58.3,65.7,91.3
"Chemicals & pharmaceutical",261.4,12.2,26.5,2.5,80.4,38.9,30.6,62.4,90.4,0,175.1,22.8,21.7,26,5.8,11.1,10,1.9,7.2,10.5,34.8,106.3,39.5,29.4,9.5,9.3,1.8,1.5,4.7,27.6,44.2,12.1,14.9,47.8,26.7
"Rubber & plastic",82.2,13.4,20.1,3,216,20.4,21.7,44.7,20.4,57,0,16.9,5.9,34.6,13.7,24.7,34.2,8.6,16.9,20.1,25,353,108.2,53.1,15.6,10.2,9.3,3,8.3,29.6,55.1,16,12.6,25.2,21.2
"Other mineral (non-metallic)",22.5,2.9,13.1,1.6,56,2.2,13.1,3.3,3.4,8.8,9.3,0,5.7,16.8,5.5,6.3,8,1.6,3.8,4.1,12.8,1154.7,26.7,7.1,7,1.5,1.7,0.8,2.6,38.8,16.3,7.6,7.8,6.8,11
"Metal (basic)",4.6,5.7,14.5,5.6,12.8,0.4,2.4,12.5,2.3,4.8,8,9.8,0,385.6,12.9,81.7,129.3,9.8,41.3,36.3,30.3,556.1,9.4,2.7,0.1,0.2,1.4,0,0.3,2.5,3.6,1.2,0.9,0.9,1.2
"Metal (fabricated)",85.5,31.3,34.8,8.3,177.5,9.2,44.8,22.7,21.6,19.4,31.2,21.2,59.9,0,19.9,70.1,170.8,15.1,46.7,41.9,68.7,1023.5,79.8,33,12.9,5,6,4.1,7.5,62.4,71.4,39.4,16.2,13.2,22.5
"Computer, electronics",1.4,0.5,0.8,0.2,1.2,0.2,0.4,1.5,0.6,0.5,0.9,0.4,0.1,1.9,0,6,5.5,0.6,1.8,1.8,4.6,15.3,12,4.3,1.3,4.7,22.8,7.7,5,1.9,17.1,9.7,5.4,9.5,6.3
"Electrical equip.",6.6,2.3,2.9,0.5,7.4,1.9,1.6,1.9,1.9,1.8,2.2,1.4,1.6,7.7,13.2,0,19.8,2.5,6.3,3.6,36.9,141.4,20.6,9.6,2.8,3.4,11.9,3.1,3,12,17.6,7.2,5.1,6.9,8.5
"Machinery & equip.",43.5,14.6,19.3,4.9,27.2,6.5,6.7,9.8,7.8,4.7,7.8,6.3,4.6,23.5,10.2,11.1,0,4.7,13.4,6.3,25.2,144.4,33.7,20.6,3,3.8,7.8,3.6,5.3,19,33.2,24.7,7.3,7.3,9.4
"Motor vehicles",4.7,0.5,0.9,0.3,2.3,0.3,0.9,0.6,0.6,0.5,1,0.6,0.1,1.6,0.3,1.3,3.9,0,1.8,0.7,2.8,6.7,17.5,15.5,0.5,0.5,0.6,0.3,0.8,1.8,7.8,3.4,0.8,1.2,2.2
