Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,8,9.9,0.4,13168.7,130,1333.3,232.8,4.7,180.9,150.3,10.6,19.9,13.7,3.3,3.3,8.7,9.9,2.5,95.5,55.9,165.2,665.4,37.8,245.6,3.1,2,1.1,3.1,17.7,93.4,72,49.7,40.2,37.1
"Energy extraction",118.3,0,26.8,8.6,72.2,8.3,15.2,41.7,818.5,134.5,13.3,273.3,1699.4,20.4,4.2,4.6,35.3,11.2,0.9,20.9,3769.3,75.6,99.7,50.3,7.4,4.5,4.3,1.7,20,35.5,26.9,39.9,65.1,31.7,23.3
"Mining (non-energy)",44.1,16,0,2.5,21.2,2.8,6.1,19.6,175.6,240,22.4,807.4,1173.8,462.7,16.9,75.3,148.5,131.3,25.9,121.6,81.5,1311.5,63.3,41.6,1.2,1.1,1.7,0.6,2.3,31.3,15.4,15.3,4.3,3.7,6
"Mining support",29.1,23.4,22.3,0,4.6,0,0.8,1.6,4.2,1.2,4,1.9,0.2,0.1,0,0,1.5,0,0,1,19.7,50.4,0.1,1.3,0,0,0,0,0,0,2.3,2.2,1.3,0,0
"Food, beverages, tobacco",3948,14.8,11.7,0.6,0,65.6,41.4,70.5,70.1,310,91.6,51.6,39.1,51.9,27.6,30.9,34.3,49.2,13.9,74.4,168.1,217,1360.7,160.6,2518.6,46.8,30.7,17.6,82.5,85.1,298.9,309.9,227.1,375.9,579.5
"Textiles & apparel",22.3,10.4,7,0.4,57,0,41.2,49.8,12.3,47.8,127.7,25.8,7.5,27.8,18.4,19.9,21.5,162.7,13.8,344.3,27.1,113.9,355,51.9,14.7,13.7,5.8,2.2,13.8,10.3,52.4,50.4,19.1,60,58.5
"Wood",87,53.5,19.6,0.6,69.2,11.8,0,155.8,16.5,50.4,63.2,77.3,10,85,20.1,30.7,39.7,97.2,23.6,1102.3,91.7,2048.8,233.8,67.7,11.4,23.4,8.6,6.1,13,202.3,88.4,21.4,32.9,25,45.5
"Paper & printing",75.1,15.8,15.7,0.4,618.7,43.2,85.1,0,38,144.2,167.2,127.1,17.8,76.9,53.4,64.2,62.1,91.1,8.2,154.2,140.2,162.3,1090.7,169.1,43.2,849.8,109.5,67.4,344.6,100.3,733.4,196.7,315.4,118.6,159.5
"Coke & refined petroleum",1146.7,159.6,214.7,10.3,393.9,66.2,118.7,113.6,0,1089.5,306,426.9,361.4,176.9,59.3,98.6,107.2,151.7,32.5,222.1,1286.4,1280,1613.3,4940.4,58.5,51,82.8,38,192,214.2,486.7,277.2,160.8,179.7,139.8
"Chemicals & pharmaceutical",697.9,57.7,47.1,1.7,373.6,133.1,132.1,260.5,388.5,0,1317.9,242.6,188.5,186.6,99.5,141.8,92.5,185.9,32.2,209.1,164,545.3,468.6,125.4,44,47,22.1,12.3,34.5,71.2,193.2,53.1,63.1,336.6,82.4
"Rubber & plastic",157.3,87.5,52.5,2.7,725.1,116.4,111.2,170.1,72.2,264.9,0,196.4,84.9,306.5,255.6,380,356.4,1064,79.7,511.4,136.1,1770,1040.5,568.3,37,37.5,65.2,14.7,40.5,94.4,233.2,64.7,50.8,95.8,68.7
"Other mineral (non-metallic)",115.8,21.5,77.4,2.2,294.9,19.1,102.4,20.9,63.5,115.6,145.5,0,273.2,210.9,156.1,130.8,108.8,246.4,28,154,111,7609.5,372.3,118.4,24.3,10.9,20,6.1,20.9,153.3,112.3,46.1,50.8,51.2,34.5
"Metal (basic)",58.5,20.2,21.3,4.9,58.8,6.4,24.6,20.7,75.7,50.8,81,108.5,0,2150.2,89.3,346.2,770.2,735.2,135.5,441.9,177.1,2104.5,180.6,169.5,5.5,5.8,9.3,3.7,11.5,30.6,50.2,24.6,18.5,16.5,16.6
"Metal (fabricated)",198.1,93.1,60.7,5,457.3,32.4,170.9,55.4,108,120,231.7,179.6,436.8,0,221.7,423.9,1082.4,1118.2,167.1,763.9,254.7,3302.2,577,243.9,23.9,20.5,37.9,16.8,29.6,177.7,230.6,125.3,58.1,48.1,42.4
"Computer, electronics",17.9,5.5,7.3,0.2,28.5,4.1,9,15.3,10.8,12.5,19,12.1,11,33.7,0,102.3,60.9,76.1,10.7,73.7,39.1,135.4,135.4,43.4,4.4,26.3,96.5,25.8,31.3,18.3,79.9,33.6,31.6,41.1,34.4
"Electrical equip.",42.7,22.4,14.5,0.8,59.7,7.5,17.7,14.7,22.3,26.1,39.5,41.3,51.1,122.5,263.6,0,285.1,363.3,44.4,233.4,248.6,905.5,275,134.1,9.4,15.5,104,16.9,22,68.8,107.5,39.1,30.2,28.1,56.7
"Machinery & equip.",145.4,77.3,45.8,3.1,107.3,15.9,39.4,34.8,47.5,39.6,73,77.8,89.6,209.1,64.6,96.8,0,292.3,46.8,211.3,131.5,510.7,254.1,174.5,9,14.4,34.4,11.5,24.3,84.7,98.8,65,26.8,27,20.6
"Motor vehicles",62.4,19.9,15.6,1.5,52.1,11,21.7,14.4,16.7,22.5,87.7,37.4,20.4,92.5,45.3,105.8,169.7,0,29.5,138.4,79.5,265.7,740.3,551.6,5.9,10.8,23.1,9.2,23.4,32.6,125.5,58.8,20.1,21.5,22.9
"Other transport equip",15.1,7.5,2.3,0.2,14.4,1.5,5,3.5,5.1,4.6,5.8,6.1,10.1,23.6,6.6,9.1,34.4,23.8,0,22,15.4,52.5,63.2,97,1.5,2.1,5,1.6,4.2,15.2,30.9,121,3.5,4.9,6.6
"Other manufacturing",408.7,77.2,57.2,5.1,304.4,66.6,140.2,111.3,128.9,116.2,122.7,172,312.1,268.9,153.8,182.5,308.9,374.4,151.6,0,478,958.5,660.3,680.8,37.2,65.8,181.2,38.1,140.2,520.9,379.6,223.7,181.7,525,129.5
"Utilities",783.1,450.8,434.6,10.5,949.7,178.1,299.1,591,768.6,853.4,596.8,951.2,2048.9,716.5,187,228.1,347.6,421.5,60.3,406.3,0,928.6,2452.7,1255.8,229.3,165.5,324.9,87.8,435,1725.2,965,829.8,997.8,749,477.3
"Construction",640.2,164.4,357.9,9.8,249.9,47.1,136,109.5,217.6,188.9,164.9,300.6,162.1,365.2,114.9,143.7,207.3,225,31.8,519.7,1559.4,0,2418.7,1781.2,107.1,117.9,552.6,74.4,661.6,6394.2,1789,1562,791.9,498.2,397.2
"Wholesale & retail",3966.2,360.6,340.2,20.9,9254.2,1113.7,981.2,980.5,1663.3,2002.4,1755.5,1265.5,1075.8,1562.8,999.4,1087.2,1175.2,3823.6,377.9,1990.6,2068.5,6794.3,0,6043.9,1261.6,840.3,955.2,441.4,1174.1,1073.2,3653.7,1020.5,743.8,1208.8,988.4
"Transportation, storage",632.3,321.2,293.4,14.4,1455.3,168.5,393,373.4,701.2,521.7,428.4,718.5,459.9,466.2,201.3,240.3,320.4,645.9,58.5,477.9,745.7,1625.3,6553.2,0,112.7,251.1,293,84.4,720.7,216.4,1137.3,429.5,379.9,257.4,274.5
"Accomodation and food services",67.3,10.1,6.3,1.7,90.5,12,19.8,20.4,12.5,27.8,28.9,27.1,16.6,44,13.9,17.1,29.9,37.2,12.2,49.6,105.5,178.9,607.3,312.4,0,52.2,33.2,47.2,216.6,274.6,834.4,164.6,195,380.4,144.3
"Publishing, broadcasting",39.2,9.3,6.3,0.5,232.6,13.2,17.4,111.1,37.6,65.2,36.9,32.6,9.6,40.1,23.9,28.9,35.4,50.2,8.8,53.4,83,131.6,1036.3,177.8,31.2,0,370,135.1,287.1,109.5,1535.6,149.2,259.4,75.4,253.3
