Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0,0,7.8,0,0.3,0.2,0,0.3,0,0,0,0,0.7,0,0.1,0,0,0.2,0,0.4,0.2,0.3,1.2,0.1,0,0,0.1,0,0.2,0.1,0,0,0
"Energy extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mining (non-energy)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mining support",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",10.9,0,0,0,0,0.3,0,4.3,0.4,188.2,0.2,0.1,0.5,0.3,6.3,0.2,0.8,0.1,0.4,4.4,0.5,15.6,16.7,8.9,667,3.5,1,0.9,2.7,4.9,5.4,99,0.3,31.5,7.5
"Textiles & apparel",0,0,0,0,0.2,0,0,0.2,0.1,0.6,0.1,0,0.1,0,7.4,0,0.5,0.5,0.1,7.6,0.2,1.6,6.1,0.7,0.3,1,0.2,0.2,0.3,0.2,0.9,2.9,0.1,0.4,0.6
"Wood",0,0,0,0,0.1,0,0,0,0,0.6,0.1,0.1,0,0.3,1.4,0,0.5,0.1,0.4,5,0.1,10.2,0.8,0.1,0.1,0.1,0,0,0.1,0.5,0.3,0.2,0.1,0,0
"Paper & printing",0,0,0,0,13.4,0.1,0.1,0,5.6,47.8,5,2.7,1.3,6.7,122.3,4.4,20.2,2.2,4.1,9.1,7.1,27.1,121.4,25.5,11.1,578.2,21.6,18.5,84.8,19.9,108.6,119.7,41,5.8,35.6
"Coke & refined petroleum",3.1,0,0,0,38.4,0,3.4,17.9,0,984,15.8,43.1,57.2,35.1,225.5,19.7,86.6,7,23.1,34.5,141.1,430.4,196.3,1275.6,28.9,13.1,11.7,10.4,48.2,45.8,103.4,166.4,18.2,9.8,29.6
"Chemicals & pharmaceutical",2,0,0,0,128.3,5.3,3.9,48.8,70.8,0,167.5,19,37.7,37.1,489.3,32.6,69.8,10.3,32,70,17.6,124.5,171.7,48.8,13.6,45.8,9.1,9,15.6,12.3,126.7,580.2,6.8,1307.8,38.5
"Rubber & plastic",0.1,0,0,0,28.2,2.4,0.9,10.6,3.7,70.8,0,4.8,3.4,17.1,402.7,26.4,89.3,18.9,19.7,33.4,3.8,152.2,51.9,15.9,6.6,6.9,3.7,2.1,4.4,4.3,16,9.7,1.6,1.7,4.1
"Other mineral (non-metallic)",0,0,0,0,0.2,0,1,0.1,0.3,22.5,0.1,0,4.2,12.6,257.1,9,26.9,4.5,8.7,8.8,2.5,759,18.3,1.5,3.9,1.2,1,0.7,0.6,0.4,6.7,6.7,1.6,0.3,1.3
"Metal (basic)",0,0,0,0,1.4,0,0.1,1.5,0.7,6.2,0.9,0.8,0,28.3,60.6,10,45.5,2.8,7.1,7.4,6.3,34.7,5.8,2.6,0.6,1,0.7,1.3,2,3.1,3.5,6.1,0.5,0.4,0.9
"Metal (fabricated)",0,0,0,0,23.8,0.2,2,4.3,6.6,38.1,9.2,5.8,21.7,0,429.3,35,341,23.8,56,38.2,13.2,371,35.2,9.3,5,3,2.1,1.1,1.8,10.7,20.4,24.9,2.3,1.1,2.9
"Computer, electronics",0.1,0,0,0,9.8,0.5,0.1,8.8,14,53.2,6.2,3.7,7.6,20.9,0,80.7,196.8,17.4,36.2,30.2,22.6,155.7,464.3,78.2,23.6,71.2,96.1,54.1,44.7,20.2,147.5,91.3,11.1,14.1,31.9
"Electrical equip.",0,0,0,0,0.9,0,0,0.9,0.7,3.6,0.5,0.3,1.6,2.2,104.3,0,15.3,1.4,2.5,1.5,3.7,18.8,18,3.8,1.2,3.3,1.8,1.3,1.9,2.1,5,3.8,0.5,0.4,1.3
"Machinery & equip.",0.1,0,0,0,9.3,1.3,0.6,5.3,8.9,33.1,5.6,4.4,6.5,22.4,248.7,13.9,0,13.8,55.5,12.9,10.2,133.8,182.7,50.3,10.6,25.2,10.7,9.7,13.6,11.8,49.1,40.2,2.9,2.4,8.7
"Motor vehicles",0,0,0,0,0.8,0,0,0.1,0.3,1.4,0.2,0.3,0.9,0.9,17.3,0.3,6.3,0,1.4,0.7,0.6,3.3,6.5,4,1,0.7,1,1,2.4,1.2,4.4,4.3,0.4,0.3,0.9
"Other transport equip",0,0,0,0,3.3,0.1,0,1,0.9,8.1,0.4,0.4,0.8,2.6,30.6,0.9,38.5,0.5,0,1.5,1.9,36.9,28.4,716.5,2.6,5.7,3,3.3,7.9,3.7,52.4,243.6,0.8,0.5,2.4
"Other manufacturing",0,0,0,0,1.2,0.1,0.2,1.9,0.6,15.8,0.7,0.4,1.2,2.5,73.3,2.5,12.8,0.3,6.1,0,1.3,32.2,20.1,8,2.6,3,1.8,1.7,5.3,4.3,11.2,14,3.9,9.5,5.2
"Utilities",4.2,0,0,0,150,27.9,10.2,130,138.1,1033.6,77.1,110.7,271.6,167.9,1255,63.3,364.3,27.8,67.6,87.6,0,273.4,286,254.4,170.8,49.4,54.4,27.4,122.6,450.7,191.4,579.4,144.9,63.2,149.9
"Construction",0.1,0,0,0,14.8,4.4,0.1,16.6,24.8,119.1,11.8,15.8,15.4,42.6,375.6,18.5,96.3,7.3,16.3,30.2,144.3,0,178.7,188.6,43.3,22.8,53.6,14.2,107.9,1023.5,290.8,603.3,61.7,23.6,55
"Wholesale & retail",5.3,0,0,0,406.5,27.4,4,72.7,489.1,1546.1,56.2,41.6,54.9,87.8,2026.7,51.6,299.5,37.7,285.8,177.6,394.6,2087.5,0,2360.5,931.4,2075.7,735.7,717.6,615.2,379.6,2307.5,627.9,85.1,255.4,493.2
"Transportation, storage",3.2,0,0,0,192.8,31,11.8,89.3,373.4,909.9,59.7,77.1,76.5,138.8,1992.8,74.8,427.3,40.5,149.5,127.4,112.3,520.4,1562.2,0,97.2,193.5,91.7,69.6,327.8,105.2,627.3,583.6,69.3,45.6,90.9
"Accomodation and food services",0.1,0,0,0,15.9,3.3,1.2,11.1,3.6,46.7,6.5,5,4.7,19.9,141.3,7.8,54.2,4.4,23.6,16.5,22.7,111.2,154.9,214.2,0,30.9,10.8,27,110.3,120.5,252.8,188.4,45.6,45.6,61.6
"Publishing, broadcasting",0.2,0,0,0,76.6,0.6,0.1,100.6,24.3,129.6,9.4,7.6,2.1,22.6,610.2,14.9,81.4,7.2,12.5,28.6,24.5,99.9,404,114.1,43.2,0,72.5,122.4,231.4,48.8,384,261.1,115.1,18.8,95.2
"Telecoms",1,0,0,0,28,12.1,1.9,21.8,17.4,99.8,13.1,10.3,6.8,40.1,706.8,20.4,136.6,9.8,27.2,34.8,44.7,164.4,309.1,215.8,48.2,179.4,0,117.1,416.7,102,328.3,421.4,43.1,26.2,77.1
