Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,2.1,0.8,0,25747.7,1397.1,348.8,139.9,0.2,81.7,146,23.5,69.9,69.9,3.6,19.3,27.1,9.2,8.5,45.4,47.3,149.1,2105.4,238.2,1852.4,19,3.9,14.8,17.9,23.2,626.5,28.9,14.1,140.6,125.1
"Energy extraction",7.2,0,0.2,0.8,133,19.2,5.8,12.1,3547.4,592.3,11.5,16.7,211.5,20,20.9,15.1,83.7,34.8,19,24.6,2529.8,154.2,61.1,37.5,101.1,10.9,25.6,15.3,13.8,49.7,115.1,8.5,7.4,81.9,95.2
"Mining (non-energy)",2.4,0.3,0,0,4.9,2.3,0.5,1.8,0.5,22.1,2.3,100.7,36.1,4.7,0.6,2.3,3.8,2.4,1,5,4.7,169.5,8.3,1.9,1.3,0.2,0.2,0.2,0.2,2.3,3.1,0.5,0.2,0.7,0.6
"Mining support",5.1,10.9,0.8,0,1.4,0,0.2,0.6,0.3,0.4,1.1,0.8,0.2,0.1,0,0,1.1,0,0,0.3,5.6,22.1,0,0.5,0,0,0,0,0,0,0.6,0.9,0.3,0,0
"Food, beverages, tobacco",5788.1,9.1,1.3,0.1,0,1394.8,50.6,179.5,27.3,1045.7,114.2,93.7,54.5,88.5,41.4,52.6,120.3,83.8,43.8,137.8,249.4,459.7,2362,425.7,18100.9,106.1,68.5,101.7,102,81.6,1144.1,975.7,396.8,1598.5,2077.6
"Textiles & apparel",122.9,11.2,1.1,0.1,377.1,0,108.2,195.4,13,292.2,413.5,107.9,71.5,145.9,73.8,117.2,225.5,355.8,128.8,1125.1,190.8,588.3,1203.6,254.8,233.7,99,51,66.4,61.1,28,477.2,269.2,24.9,477.4,307.6
"Wood",76.7,8.6,2.7,0.1,227.5,224.3,0,104.3,3.3,64.9,177.8,147.5,49.2,397,25.8,93.2,233.1,187.3,139.5,3575.1,81.3,4790.8,446,216.6,134.7,27.2,22.7,18.3,12.6,171.4,357.9,25.7,4.6,109.2,191.2
"Paper & printing",60,6,4.7,0,1551.2,753,42.7,0,9.6,734.9,225.2,281.4,75.1,378.4,85.8,355.1,426.6,333.6,55.1,694.8,863.2,1353.3,1257.8,982.9,445.9,2639.8,283.5,339.4,945,122.1,6492.5,734.5,68.6,238.1,1192.1
"Coke & refined petroleum",845.6,111.9,41,1.1,605.4,515.8,84.1,78.3,0,505.5,80.5,1299.7,1538.5,206.5,14,47.6,119.7,41.7,159.5,171.6,1761.6,2069.1,6140.3,6633.1,374.1,59.5,152.9,180,214.3,210.5,1461.9,417.2,100.8,377.8,386.8
"Chemicals & pharmaceutical",985.9,59.2,14,0.3,738.5,2896.1,526.3,831.3,124.9,0,4573.2,812.7,1130.6,780,315.7,774.4,509.8,488.7,284.3,666,1430.2,1119.3,1774.9,230.6,174,197.9,104.8,127.1,55.8,80.5,1033.6,144.5,27.3,1764.2,418.8
"Rubber & plastic",210,34.6,8.4,0.3,1694.3,1239.2,163.9,419.5,31.3,865.7,0,263.2,363.9,561.6,294.4,933.7,1672.2,1955.6,486.8,953.9,733.9,3925,968.6,1002.9,321.2,75,54.8,110.2,101.6,73.2,1495,126.7,31.9,152,186
"Other mineral (non-metallic)",253.4,27.3,15.4,0.2,672.8,262.8,53.3,57,18.1,855.3,213.6,0,506.5,703.3,111.4,435.4,403.6,551.3,161.2,426.3,879.8,19059.1,1355.4,201.7,213.1,66.5,45.2,134.2,32.8,110.6,798.9,118.3,45.9,192.6,157.9
"Metal (basic)",61.2,38.9,3.4,0.5,160.8,95.9,30.8,149.7,97.6,177,179.3,350.6,0,8209.6,276,2595.8,5439.2,1537.2,867.1,1599.1,558,6599.6,625.8,304.1,42.3,18.4,38.1,30.5,24.9,47.7,229.5,64.4,23.6,85.6,86.1
