Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0,0,61.4,3.1,22.9,7.7,0.1,0,2.2,0.2,3.2,0.1,0,0,0.1,0,0,0.3,0.1,1.4,0.2,0.4,8.1,0,0,0,0.1,0.3,0.5,0.2,0,0,0.1
"Energy extraction",0,0,0,0,0,0,0,0,18.8,0.3,0.1,0.1,0.6,0,0,0,0,0,0,0,3.4,0,0.1,0.1,0.1,0,0,0,0,0.8,0.1,0,0,0,0.1
"Mining (non-energy)",0,0,0,0,0,0,0,0.1,0.2,0.5,0,2.6,7.3,0.1,0,0,0.1,0,0,0,0.1,3.4,0.1,0.1,0,0,0,0,0,3.1,0,0,0,0,0
"Mining support",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",1.8,0,0,0,0,0.4,0,0.3,0.1,0.3,0.3,0.1,0.3,0.1,0,0,0.2,0.1,0,0.1,0.3,2,16.5,2.3,35.3,0.3,1.1,1.4,1,1.7,3.5,0.9,0.4,0.9,3.6
"Textiles & apparel",1,0,0.1,0,0.8,0,0.7,2.1,0.6,1.5,9.2,1.4,1.2,0.8,0.2,0.1,1.6,2.9,0.1,1.8,1.7,7.4,23.8,5.4,3.1,0.4,1.1,1.3,4,7.6,14.1,3.7,1.2,6.2,3.4
"Wood",0.2,0,0,0,0.2,0.2,0,1,0.2,0,0.6,0.7,1.5,0.4,0,0,0.5,0.3,0,1,0.6,14.1,0.9,0.5,0.3,0,0.1,0.1,0.1,0,0.9,0.4,0.6,0.1,0.1
"Paper & printing",0,0,0.3,0,8,5.2,0,0,4.3,0.7,7.9,4.8,4.4,2.2,0.9,0.3,4.3,1.6,0.1,1.1,3.5,1.8,10.2,11.5,7.4,6.9,0.8,36.2,81.7,0,59.1,1.5,0,0,0
"Coke & refined petroleum",3.1,0.1,0.5,0.1,1.1,0.9,0.3,0.6,0,5.2,1.3,3.4,17.2,0.7,0.1,0.1,1.1,0.3,0,0.4,10.7,11.4,10.5,73.3,1.3,0.1,1.2,1.4,2.1,0,11.4,2.1,0.9,1.1,1
"Chemicals & pharmaceutical",6,0,0.2,0,1.5,9.3,1.3,4.1,12.1,0,41.7,4.5,18,2.2,0.6,0.4,2.4,1.3,0.1,0.6,2.2,7.9,3.4,1.8,0.6,0.3,0.1,0.3,0.5,0,4.3,0.5,0.7,4.2,1.5
"Rubber & plastic",0,0,0.2,0,5.3,2.9,0.7,2.3,1.3,2.6,0,2.9,6.7,2.6,1.4,0.8,8.6,6.6,0.1,1.3,1.6,30.9,14.3,8.7,2.1,0.2,0,1,1,0,7,0.8,0,0,0.4
"Other mineral (non-metallic)",0.9,0,0.6,0,2.2,1,0,0.3,0.6,1.5,4,0,15.3,2.9,1.3,0.4,3.9,2.4,0.1,0.7,2,233.9,5.9,1.8,1.9,0,0,0.4,0,0,4.2,0.9,0,1,0.2
"Metal (basic)",0.1,0.1,0.1,0.1,0.4,0.1,0.2,1.1,0.5,0.7,2.9,3.4,0,57.7,2.1,4.3,55.5,12.1,0.7,3.6,4.1,85.3,1.7,0.6,0,0,0.5,0,0.1,7.6,1.5,0.1,0.1,0.1,0.1
"Metal (fabricated)",0.7,0.1,0.2,0,2.1,0.9,1,0.6,1.7,0.9,3.5,2.1,25.9,0,0.9,0.7,20.8,5.2,0.2,2.4,2.7,47.3,4.9,2.1,0.9,0.1,0.5,0.8,0,0,6.4,1.3,0.4,0,0.5
"Computer, electronics",0,0,0,0,0.1,0.1,0,0.2,0.2,0.1,0.5,0.2,0.3,0.4,0,0.5,3.2,1.1,0,0.8,0.8,3.1,3.6,1.3,0.4,0.3,12.6,7.6,3,0,5.5,1.3,0.6,2.2,0.7
"Electrical equip.",0,0,0,0,0.1,0.1,0,0.1,0.2,0.1,0.3,0.2,1.9,0.5,1,0,4.2,1.5,0,0.7,2.4,10.3,1,1,0.2,0,2.1,0.9,0,0,1.7,0.3,0,0,0.1
"Machinery & equip.",7.6,0.7,2.1,0.5,3.3,6.1,0,4.9,8.4,2.6,9.8,9.7,55.4,11.2,2.5,1.7,0,20.4,1.2,10.1,13.6,76.4,22.4,16.5,1.2,0.6,4.5,4.9,4.2,0,37.4,0,0,1.8,1.4
"Motor vehicles",0,0,0.1,0,0.1,0.3,0,0.2,0.4,0,1.3,0.7,0.8,0.8,0.2,0.3,6.5,0,0.1,1,1.5,3.4,16.5,18.5,0.4,0,0,0.7,0,0,12.1,0,0,0,0
"Other transport equip",0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,1.6,0.1,0,0,0,1,0.9,27.8,0,0,0,0.1,0,1.5,6.8,7,0,0,0.1
"Other manufacturing",0,0,0,0,0.1,0.2,0,0.1,0.2,0,0.2,0.2,2,0.1,0.1,0,0.5,0.1,0,0,0.1,1.2,0.2,1.5,0.1,0,0,0.2,0.2,0,0.9,0.1,0.2,0.8,0
"Utilities",11.6,0.7,2.3,0.2,15.3,18.2,5.3,22.5,29.4,20.2,28.5,33.9,303.3,13.7,2.1,1,17.8,5.5,0.2,3,0,29.7,84.5,32.8,24.8,3.6,7,3.9,16.5,46.7,49.7,23.9,5.3,17.1,16.6
"Construction",13.3,0.8,3.7,0.5,5.2,8,0.6,7.5,21.8,0.7,14.3,19.6,51.3,13.1,2.4,1.2,18.6,5,0.2,11.6,186.3,0,64.7,361.8,22.7,6,22.4,15.7,40.1,0.1,98.1,330,3.7,16.2,29.9
"Wholesale & retail",35.7,0.7,3.6,0.6,111.8,134.8,9.3,57.9,40.3,38.2,78.9,44,122.9,22.3,13.5,4.8,66.5,56.1,1.7,15.3,58,281.5,0,264.8,126.7,36,143.9,160.1,72.3,10.5,591.9,32,12.4,30.8,37.5
"Transportation, storage",1.1,0.3,1.4,0.1,6.6,5.3,0.2,5.4,12.1,0.6,7.6,10.4,27.8,4.4,1.1,0.5,8.4,3,0.1,2,16.3,21.2,67.4,0,5.7,4.4,17.8,11.7,61.1,0.5,61.9,30.5,0.4,3.8,2.9
"Accomodation and food services",0.2,0,0,0,0.3,0.3,0.3,0.2,0.1,0.1,0.3,0.2,0.7,0.2,0,0,0.4,0.1,0,0.1,1.7,12.3,15.6,8.8,0,0.5,3.7,8.8,5.7,25.2,17.2,2.1,1.8,3.7,1.5
"Publishing, broadcasting",0.1,0,0,0,0.7,0.4,0.2,0.6,0.5,0.3,0.5,0.4,1,0.3,0.2,0,0.7,0.2,0,0.2,1,7.9,24.4,4.4,1,0,13.7,13.8,4.1,0,20.7,1.3,1.1,0.8,14.3
