Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,156.5,32.6,6.5,29348.2,181,1079,268.2,184.7,536.7,204.1,24.3,77.2,19.7,5.5,7.7,10.7,9.1,9.6,73.8,295.3,404.1,2134.2,156.1,1201.2,12.9,7.8,5.5,18.5,82.4,605.6,946,132.5,196,134.3
"Energy extraction",282.9,0,121,113.6,104.2,6.4,14.4,29.9,18142.4,353.8,37.8,143.1,754.8,29.9,10.3,11.7,22.9,19.3,19.9,20.9,4881,385.8,414.1,1336.9,29,8.9,26.3,9.5,42.4,101.1,169.6,279.2,37.1,61.2,43.4
"Mining (non-energy)",75.9,128.2,0,21.8,32.6,2.4,5.9,26,800.5,429.6,16,1274.8,5215.7,118.5,7.1,23.4,29.2,14.7,17.7,38.7,242.7,1619.5,104.7,104.4,3.5,1.8,4.3,1.5,5.5,75.7,46.7,115.9,6.9,16.6,9
"Mining support",362.9,5043.2,268.2,0,28.3,0.3,3.6,9.8,112.7,11.3,16.2,17,17.4,2.3,2.1,1.2,8.2,1.6,1.5,3.7,373.1,367.2,14.8,24.3,0.9,0.5,2,0.8,2,7.6,22.2,76.1,7.8,2.2,1.3
"Food, beverages, tobacco",7687.9,58.8,11.4,4.2,0,69.7,28.6,84.2,289.7,456.9,39.8,47,80.1,29.9,17.7,13.6,20.5,15.8,22.4,27.5,235.6,243.5,2405.2,225.2,2849.4,17.7,19.7,10.3,34.6,80.2,308.1,1706.9,255.8,684.2,224.7
"Textiles & apparel",98.5,72.7,14.4,5.1,65.9,0,21.9,48,53.2,76.7,108.6,37.4,24.4,25.2,11.3,12.6,15.7,77.6,40.9,141.9,77.5,171.4,482.3,130.5,38.9,11.8,8.9,4,34.7,19.3,119.4,364.7,30.8,153.7,65.6
"Wood",101.5,105.5,25.7,3.7,46.2,3.8,0,85.9,36.8,36,24.6,63.9,19.2,42.2,6.8,10.8,15.8,31.9,36.4,350.9,197,1790.8,199.6,79.9,12,7,5.2,3.2,6.3,276.8,100.9,61.9,17.5,12.2,32
"Paper & printing",112.2,63.6,28.1,3,600.1,20.2,84.8,0,131.9,164.8,96.9,138.8,62.2,50.5,27.6,32,34.9,37,20.1,67.6,227.4,164.1,1197.9,284.6,66.4,468.8,92,51.9,258.5,112.1,778.8,819.3,225.3,154,142.1
"Coke & refined petroleum",1844.6,1963.4,535.6,125.7,527.9,48.8,103.7,135.7,0,1759.6,258.7,640.3,1747.9,177.9,52.5,74.5,93.4,85.6,119.5,131,5364.6,1912.8,2597.3,12610.2,117.2,39.1,118.9,47.2,217.3,362.3,856.2,1796.4,178.6,301.9,174.8
"Chemicals & pharmaceutical",1106.5,473.7,115,19.9,289.2,119.1,123.3,262,2173.8,0,1315.9,334.2,783.5,178.1,69.6,104.5,68.7,104.8,106.2,116.3,430.2,547.7,406.5,200.4,27,26.6,10.6,5.4,23.7,137.4,491.8,259.2,60,502.3,98.7
"Rubber & plastic",161.3,352.5,82.5,19.2,785.1,39.6,60.1,122,218.5,268.8,0,174.9,247.3,170.6,124.6,180.5,185,429.3,184.4,187.3,208.7,1665.1,1088.7,942.8,50.8,15.3,61.3,11.1,36.1,108.8,280.1,245.5,34.3,110.5,55.6
"Other mineral (non-metallic)",161.6,263,186.5,24.8,615.6,13.8,92.5,23,122,162.7,110,0,514.6,192,115.3,91.1,88,152.2,87.4,85.2,316.8,11789.7,556.2,257.5,48.2,6.8,24.8,6.1,25.2,352.9,246.8,285.2,55.8,80.6,44.8
"Metal (basic)",129,968.4,159.4,104,262,12.1,39.8,147.9,334.4,293.7,192.8,372,0,6199.8,399.4,1907.1,2072,1325.6,1280.7,969.3,1111,6978.6,534.3,294.2,15.5,8.2,49.8,7,26.4,90,149.8,201.8,28.9,79,55.8
"Metal (fabricated)",296.3,1368.1,146.4,54.1,889.3,22.9,156.1,62.7,517,188.3,187.7,267.1,1837.6,0,159.4,296.8,891.3,673.1,537.4,445.7,774.3,4938.8,848.4,502.2,47.5,13.8,37.9,18,39.6,261.8,483.7,793.1,59.2,58.8,65.3
"Computer, electronics",37.6,155.4,23.1,10.9,43.7,4.5,10.4,31.3,101.5,38.1,36,37.8,50.4,73.3,0,277.5,194.2,187.5,134.9,164.2,363.5,477.2,698.5,272.4,27.1,53.7,841.9,179.4,153.4,55.8,888.8,937,98.5,348.2,152.3
"Electrical equip.",49.2,218.9,30.8,9,56.8,4.2,11.6,13.6,92.2,39.2,31.3,42.6,239.4,108.7,270.9,0,267.3,276,177.3,147.9,1115.3,1577.9,442.4,316.2,18,12.1,177.5,26.7,27.7,117.9,308.4,259.5,35,49,67.1
"Machinery & equip.",448.4,1962.9,310.6,123.4,187.1,23.9,58.6,92.2,491.8,105.1,100.4,216.3,689.3,298.2,105.7,164.6,0,501.6,484.9,282.9,796.6,1572.3,728.9,573,16.4,15.5,61.8,21.1,46.6,104.9,392.3,1224.1,53.1,55.6,56
"Motor vehicles",36.3,55.8,14.4,5.6,12.3,1.5,6.4,4.1,25.8,9.9,14,17.2,35.7,29.7,7,24.6,55.5,0,50.7,31.3,63.1,91.6,566.2,712.8,4.2,3.1,10.3,3,12.3,19.9,80.8,158.1,6.8,10.5,11.7
"Other transport equip",58.4,127.1,12.3,3.9,33.1,2.9,5.5,7.1,52.4,19.3,10.8,14.7,63,31.8,15.9,16.6,65.2,27,0,16.6,106.4,149.5,158.7,565.6,5.1,2.7,10.2,3.7,9.1,23.7,127.1,1697.9,8.7,17.7,14
"Other manufacturing",132.8,220.4,28,12.3,103.7,18.2,36.7,36.4,124.6,49.4,27,70.8,306.7,66.7,39.6,39.2,65.5,84.3,71,0,413.3,591.1,445.9,392.4,31.5,20.7,61.6,15.6,82,286.6,330.4,575.6,144.9,659.7,99.6
"Utilities",1630.8,5893.4,1403.9,164.3,1717.3,178.4,371.5,937.9,4363,1963.8,692.5,1979,7834.2,718.5,194,223.2,380.1,364.8,290.7,314.7,0,1326,5365.4,4427.7,702.1,169.3,672.7,136.2,759.3,3740,2683.2,6570.4,1607.7,1740,848.4
"Construction",363,860.5,294.5,46.4,179.6,14,48.1,51.4,438.7,120.7,57.2,236.4,339.1,135.8,60.9,46.8,83.4,64.7,55,113.9,2070.9,0,1591.1,1680.3,86.6,36.2,283.5,40.4,302.1,4796.3,1122.3,3530.6,313.4,319.3,203.9
"Wholesale & retail",8266.5,2811.8,540.2,161.7,16246.5,1085.9,840.5,1149,9590,2581.7,1236.5,1539.8,4731.7,1719.8,1429.6,1011.5,1229.3,1538.1,1275,1238.2,6209,8324.9,0,6023.5,2551,504,1195.3,393.6,895.9,1405.7,4019.7,5715.1,801.2,2499.1,1044.5
"Transportation, storage",581,1764.1,392.5,143.3,867,51.1,189.1,238,2191.5,527.6,199.5,660.9,1539.3,344.8,271.5,167.2,296.5,280.6,260.3,220,2003.8,1738.5,7833.9,0,100.8,195.7,537.9,117.7,725.6,345.7,1493.6,2399.6,239.5,341.9,262.5
"Accomodation and food services",37.7,58.4,7,6.1,56,3.4,7.4,9.8,27.3,19.3,10.7,17.6,36.7,17.4,5.2,5.6,10.4,9.1,15.5,12.2,132.7,110.9,375,294.1,0,16.8,20.5,26.8,112.1,135.9,368.3,419,85.9,186.7,64.3
