Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.2,0.8,0,4823.2,24.3,312.7,51.6,10.8,108,27.2,1.3,2.6,3.4,0.6,3.4,4.9,0,0.1,9.9,26,47,469.3,20.5,333,1.1,0.3,0.1,7.1,9.6,88.4,104.5,8.8,27.8,21.7
"Energy extraction",0.3,0,0,0.1,0.9,0,0.1,0.4,284.7,5,0.3,0.6,0.7,0.2,0.1,0.2,0.3,0,0,0.1,117.7,0.4,2.9,2.7,1.2,0,0.2,0,0.4,0.6,1.3,0.7,0.1,0.6,1
"Mining (non-energy)",6.9,0.3,0,0.2,5.6,0.3,1.1,6.9,34.3,97.2,1.3,229.9,131.7,14.8,4.8,6.9,13.1,0.1,0.1,10.5,33.5,443.3,25.9,12.9,0.2,0,0.1,0.3,0.7,23.1,8.1,23.4,0.3,0.2,2.6
"Mining support",1.4,1.1,1.6,0,0.5,0,0.1,0.2,0.8,0.2,0.2,0.1,0,0,0,0,0.5,0,0,0.1,6.2,6,0,0.5,0,0,0,0,0,0,0.7,1,0.1,0,0
"Food, beverages, tobacco",1196.8,0.4,1.9,0.1,0,25.2,22.8,40.8,49.2,880.6,16,13.5,6.9,23.1,90.6,37.3,47.9,1.5,9.2,32.8,113.5,119.4,1585.4,227.8,3329.8,24.2,16.3,41.3,97.6,41.3,236.1,655.6,57.7,392.3,249.3
"Textiles & apparel",3,0.1,0.3,0,8.7,0,4.8,8.5,2.9,57.1,13.5,2.7,0.5,5.7,16.4,8.2,8.8,1.6,3,35.2,5.5,19,79.7,14.3,16.6,1.9,1,2.6,9.6,1.7,23.1,30,1.8,13.2,11.5
"Wood",32.8,1.1,5.4,0.2,36.1,3,0,98.2,17.1,60.6,22.8,43.2,3.3,80.8,77.8,58.7,84.5,5.8,9.2,614.3,221.8,2065.2,324,68.5,23.7,13.7,1.4,20.6,22,446,162.6,56.1,9.6,12,62.4
"Paper & printing",7.4,0.2,2.5,0,116.3,4.5,16.5,0,19,136.5,17.3,18.3,2.4,20.5,75.4,34.7,39.9,1.4,4.3,15.5,61.9,38.1,662.4,116.1,54.6,630.5,74.6,144.1,538.8,46.8,550.6,305.4,52.7,41.9,117.3
"Coke & refined petroleum",128.2,4,29.6,0.9,74.7,5.6,24,25.1,0,262.9,19.4,73.1,70.9,46.5,64.9,52.1,69.7,2.2,15.7,36.4,1015.3,361.7,726.2,2602,56.6,11.8,32.3,53.9,208.9,72.8,300.1,314.7,17.8,45.4,59.9
"Chemicals & pharmaceutical",266.4,1.8,6.4,0.1,253.7,35.2,29.3,55.2,201.1,0,226.5,34.2,39.8,50.1,143.7,85.7,56.5,3.7,10.4,31.1,84.2,94.3,501.2,110.2,20.9,15.9,3.3,7.9,27.8,34.8,1022.8,924.8,42.3,3077.9,109.8
"Rubber & plastic",7.2,0.5,2.7,0.1,85.4,4.4,13,21.8,14.3,87.4,0,14.3,7.1,40.7,193.2,126,125.5,9.4,18.8,40.4,29.2,224.9,214.7,92.7,17.3,4.3,12.8,9.7,21.2,19.5,61.2,29,2.3,11.7,12.1
"Other mineral (non-metallic)",13.3,0.6,13.4,0.2,73.5,2.1,27.7,3.9,10.9,93.6,19.1,0,22.1,66.2,277.8,96,86.5,5.3,8.9,29.3,65.5,2555.2,180.6,48.5,28.2,3.1,1.4,2.1,10,104.7,80,52.6,6.5,13.5,18.2
"Metal (basic)",0.7,0.3,0.3,0.1,3.2,0.2,0.9,3.4,1.9,5.5,2.6,4.8,0,233.5,73.1,148.2,212.4,4.7,19.3,29.7,21.3,169.1,18.2,7.5,0.9,0.4,1,0.8,1.9,1.6,4.5,3.1,0.3,1.5,1.3
"Metal (fabricated)",50.9,7.6,16.6,0.9,272.3,8.9,109.1,36.3,112.6,157.4,75.2,73.7,179.3,0,850.6,681.4,2075.2,51.9,126.2,362,358.5,2392.4,595.3,238.9,57.9,14,24.9,53,79.6,155.2,406.2,311.1,14.4,26.1,50.3
"Computer, electronics",7,0.6,1.7,0.1,32.2,3.1,7.6,17.5,17.8,73.4,12.3,8.5,4.9,45.2,0,455.5,297,9.7,26.9,100,125.3,179.7,421.9,124.8,22.9,36.3,15.7,378.8,42.6,24.7,437.4,269.4,17.8,17.9,68.3
"Electrical equip.",4.6,0.8,2.3,0.1,16.1,1.3,5.2,4.3,13.3,34.4,9.9,8.2,16.7,55.6,1047.7,0,453,15.8,38.6,91.1,424.3,560.5,239.3,94.5,3.1,7.6,97.2,59.8,43.8,53.4,161.1,73.7,6.7,17,33.7
"Machinery & equip.",19.5,2.5,8.4,0.5,22.2,2.7,9,12.3,24.9,42.3,9.4,14.4,15.1,49.1,106.2,68.9,0,8,27.2,51.1,77.9,164.5,143.2,63.5,4.4,4.6,9.5,15.2,23.1,16.4,74.7,114.2,3.3,9.9,11.2
"Motor vehicles",0.7,0,0.3,0,0.7,0,0.8,0,1,0.8,0,0.9,0.2,3.3,5.9,10.3,24.4,0,4.5,3.7,3.9,4.5,62.1,33.9,0.1,0.4,0,1.2,0.3,1.1,8.7,9.3,0.2,0.1,1.3
"Other transport equip",0.2,0.2,0.2,0,2.3,0.1,0.7,0.9,2.5,6.8,0.5,0.8,1.9,4.5,5.3,1.6,14.5,0.1,0,4.1,9.7,7.7,13.2,57.3,1,0.5,2,0.5,1.8,7.3,10.8,59.8,0.2,1.2,1.8
"Other manufacturing",4.3,5.4,11.7,0.8,133.4,10.5,46.3,68.7,107.5,156.6,27.9,56.9,114.8,136.5,156.9,55.6,424.5,5.4,17.5,0,679.5,444,497.6,722.4,86.5,37.9,132,35.5,205.6,560.1,385.5,423.7,43,203.6,117.4
"Utilities",221.2,23.1,90.1,2.2,593.5,59,191.2,427.1,728.3,1051.8,215,431.8,682.5,474.2,738.7,362.7,639.5,21,63.4,180.9,0,491.9,2614.3,1480.1,788.1,115,368.8,328,1254.8,1559.4,1683.3,2250.8,300.1,543.5,585
"Construction",70.7,4.4,22.8,0.8,45.9,5.1,33.5,33,89.7,115.9,20.9,45.4,27.4,87.9,152.1,77,121.9,3.4,9.8,96.8,1132.7,0,1140,788,160.2,33.2,240.2,114.6,764.4,3838,1246.5,1784.9,95.1,157.8,198.6
