Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.1,0,0,3789.3,35.9,5.6,0.8,0.6,17.2,2.7,0.4,0.1,1.5,0.3,0.2,1,0.1,0.2,8.4,68.2,21.6,10.2,7.2,197.3,6.9,0.4,0.5,1.5,1.5,48.7,25,16.1,28.7,23.5
"Energy extraction",2.1,0,0.1,8.9,19,0,0,0.5,2098.7,78.4,0,3.1,17,0,0,0,0.1,0,1,0.2,923.6,8,0.3,3.6,9,0.9,1.2,0.4,0.5,12.9,8.9,1.7,1.7,16.5,12.8
"Mining (non-energy)",3.3,0.3,0,0.5,2.4,0.1,0.3,0.9,0.1,17.9,0.4,32.3,13.4,1.3,0.1,0.1,2.5,0,0.3,0.1,26.5,103.9,0.1,0.1,0.3,0,0,0,0,3,0.9,2.6,0.5,0.3,0.2
"Mining support",37.6,72.7,6.7,0,5.8,0,0.5,1.2,3.2,1.1,2.2,0.9,0.1,0.1,0,0,3.6,0,0,1,27.3,62.6,0.1,15.2,0,0,0,0,0,0,2.2,4.6,1.7,0.1,0
"Food, beverages, tobacco",942.9,0.9,0.2,0.2,0,7.6,3,8.4,6.9,95,9.7,2.7,0.8,3.4,1.8,1.9,7.9,0.6,1.5,9.1,21.3,30.8,85.5,58.6,966.6,8,2.4,4.5,14.5,12.4,61.5,137.1,67.1,177.6,180.7
"Textiles & apparel",3.9,0.2,0,0.1,7.9,0,0.7,0.9,0.2,1.8,1.2,0.3,0.2,1.3,1,0.5,3.7,0.3,0.7,17.7,1.6,6.8,5.1,5.2,3,0.6,0.5,0.3,0.9,3.6,2.4,4.5,1.5,5.1,2.7
"Wood",5.8,0.6,0.4,0.2,11.4,1,0,3.4,0.2,3.2,4.6,5.9,0.5,11.9,6.6,2.9,13.4,4.1,5,115.7,33.6,858.9,5.1,4.4,4.8,0.7,0.6,0.4,0.6,1.8,11.8,2,1.5,1.8,8.6
"Paper & printing",11.9,1.2,1.2,0.2,151.5,12.1,9.8,0,0.8,27.6,23,14.6,1.4,16.6,13.1,9.2,20.3,2,1.4,16.6,23.6,11,95.7,22.2,24.6,116.6,27.2,26.5,55.3,25.9,243.5,67.2,46.7,21.9,47.7
"Coke & refined petroleum",109.6,0.8,4.7,2.8,31,5,4.7,3.2,0,10.9,4.9,25.7,11.9,20.6,1.2,1.6,10.2,1.3,1.5,7.1,70.4,176.3,43,1879.6,9.2,1.8,2.1,1.7,4.4,11.3,30,34.5,9.9,6.5,10.4
"Chemicals & pharmaceutical",105.7,5.5,1.7,1,78.5,35.5,9.5,22.4,41.5,0,121.5,18.4,10.6,24,15.6,18.1,82.8,5.5,6.5,67.1,18.7,71.2,27.8,33.9,20.9,20.9,11.6,10.4,19.1,23.2,81.6,79.4,42.2,83.1,33
"Rubber & plastic",16,4,1.2,0.9,102.8,10.1,11.9,22.8,13.6,32.2,0,13.1,3.6,32.4,35.2,17.7,62,8.3,7.8,45.7,12.7,320.5,158.3,21.5,10.6,6.1,4,3.7,4.5,7.3,31.8,38.1,20.5,80.6,20.4
"Other mineral (non-metallic)",7.1,2.8,3.3,1,37.2,2.8,54.8,1.7,10.2,10.7,12.2,0,5.9,18,15.3,8.2,90.8,5.4,4.9,8.2,12.7,1215.7,13.5,18.6,9,2.2,3.7,2.1,4.6,24.7,8,11.4,3.8,8.6,4.1
"Metal (basic)",2.8,1,0.1,0.2,7.8,0.5,2.4,5.1,0.8,2.6,4.8,2.7,0,47.1,5.2,12.5,51.4,2.6,2.8,10.7,7.7,70.3,7.3,3.9,1.4,0.9,1,0.6,1.5,4,3.2,4.4,2.3,4.4,1.9
"Metal (fabricated)",62.3,20.8,2.7,3.1,102.6,7.8,78.5,10.7,14.8,39.9,61.4,50.9,30.4,0,78.5,104.7,638.9,29.1,37.4,100,56.9,1449.8,68.6,89.2,13.3,5.9,17.7,9.1,24.9,119.9,32,85.4,23.7,22.5,20.5
"Computer, electronics",8.6,0.9,0.1,0.1,11.1,0.5,1.1,0.9,1.2,2.8,2,1.1,1,7.2,0,11,45,0.8,1.4,4.5,15.4,41.2,10.6,25.1,3.5,2.6,9,5.3,10.1,45.4,15.7,31.3,10.4,16,8.3
"Electrical equip.",7.7,2.5,0.1,0.1,5.7,0.3,1.8,1.3,2.3,3.6,4.1,1.9,2.6,22.7,44.5,0,244.6,3.5,4.9,10,27.4,131.2,16.4,27.9,2.3,8.2,10.7,2.3,6.8,48.8,10.4,22.3,5.6,8.4,11
"Machinery & equip.",56.9,21.7,4.4,4.2,63.1,7.6,31.9,13.5,22.4,37.7,23.9,36.9,15.2,204,76.6,121.4,0,48.1,24.9,50.1,106.7,929.3,76.6,151.6,14.6,24.6,46.9,19.6,49.4,243.9,78.8,99.6,39.4,54.5,38.4
"Motor vehicles",2.8,0.4,0,0.1,3.9,0.2,1,0.3,0.4,1,0.8,0.7,0.5,6.9,1.2,1.3,13.5,0,0.8,1.6,4,16.7,76.6,12.6,1.1,0.4,1.8,0.4,1.6,11.9,3.2,5.3,1.2,2,1.2
"Other transport equip",3.1,0.3,0,0,1.6,0.5,0.4,0.2,0.4,0.6,0.3,0.3,0.3,1.5,0.8,0.5,3.5,0.2,0,1,4.8,6.2,1.8,168.5,0.4,0.3,1.8,0.4,2.1,19.1,2.9,14.2,0.8,1.6,1.2
"Other manufacturing",66.3,5.7,0.7,1,31,6,15.8,4,10.1,27.3,6.2,7,7.5,15.4,30.2,7.2,36.9,3.6,6.8,0,137.6,126.8,28.5,237.9,7.5,6.4,48.6,17.2,55.3,549.4,49,102.7,22.8,98.3,32.7
"Utilities",271.7,10.4,10.3,7.4,357.3,70.8,45.2,207.8,54.1,139.1,164.2,137.6,135.5,415.6,28.4,35.2,175.4,23.2,16.9,63.2,0,121.3,308.8,170.4,120.3,47.7,48.4,60.3,136.1,186.6,307.5,283.4,451.9,522.2,203.4
"Construction",381.4,44.5,7.4,8.1,123.2,16.2,42.4,21.2,59.3,74.5,28.6,36.1,44.4,49.6,113.2,26.9,109.4,13.2,21.5,61.4,824.5,0,130.5,1375.4,37.9,21.1,291.5,45.7,332.6,3371.4,164.1,546.3,88.5,189,154.7
"Wholesale & retail",856.1,25.3,21.1,18.7,2492.8,138.1,177.1,209.7,133.5,615.8,210.8,117.3,49.6,353.6,276.8,194.9,1156.4,80.6,65.3,1174.9,241.5,2371.1,0,1264.1,952.9,1137.5,69.4,68.4,212.4,85.7,774.2,362.7,175,335.4,242.6
"Transportation, storage",95.4,40.3,13.6,6,332.7,30.8,72.1,108.2,59.2,115,49.2,100.9,20.6,83.9,42.9,46.6,155.5,23.2,10.1,117.4,300,383,698.8,0,78.5,204.6,89.7,106.7,284.3,73.2,767.5,437.2,334.7,406.4,218.8
"Accomodation and food services",14.5,2.2,0.6,1.7,21.2,3.8,4.3,6.3,2.8,15.1,5.6,4.6,2,14.5,4.8,4.8,27,2,3.7,12.4,56.7,78.6,96.2,323.5,0,26,10.5,29.1,97.4,118.4,357.2,131,99.4,298.4,102.9
"Publishing, broadcasting",4.5,1.4,0.2,0.1,28.8,1.7,2.5,34.9,2.3,18.6,2.7,4,0.5,9.5,16.9,6.7,24.9,1.9,1,12.3,34.1,13.9,139.5,77.7,9.5,0,177.2,88.6,165.3,25.2,748.2,142.2,109.4,54,143.9
"Telecoms",12.1,5.4,2.2,2.1,51.5,14.8,6.9,8.4,9.3,34.5,6.1,7.2,3.7,12.5,19,9.4,42,2.6,5.2,14.8,115.6,45.8,202.6,449,36.4,47.5,0,170.4,337,37.3,1199.6,369.2,270.9,245.1,156.7
"IT and information services",28.7,8.6,0.9,0.7,54.9,7.7,6.4,23.5,10.8,75.8,5.6,7.8,3.9,17.4,39.1,33.6,86.5,4.6,2.2,32.7,172.4,90.4,283.2,452.2,21.3,208.4,241,0,797.5,156.8,915.4,883.4,504.2,438.9,280
"Finance & insurance",1292.3,64.5,8.7,7.3,256.2,51.5,48.6,61,16.1,130.8,53.4,57.2,51.4,128.4,70.5,52.2,194.7,31.2,29.4,88.3,717.2,699.9,615.2,1847.8,100.6,54.1,119.9,98.9,0,3998.7,697,432.8,97.7,135.8,210.3
"Realestate",22.2,20.9,1.8,0.9,114.4,33.7,46.7,69.7,3.2,40.9,56.4,28.6,4.6,147,71.4,52.5,180.9,9.9,8.4,119.9,43.6,162.2,2108,315.1,316.5,99.9,79.7,123.5,616.7,0,803.5,841.5,233,284.5,434.5
"Other business services",752.8,183.8,20.5,30,1028.6,130,50.3,119.6,112.3,617.4,78.6,68.5,53.8,164.9,156.2,111.5,471.7,52.1,74.5,323.3,1304.9,3977.8,2312.7,1618.6,382,652.5,512.1,739.3,1016.3,846.8,0,1132.2,728.9,1147,1051.2
"Public admin,  defence",1.9,0.1,0,0.1,1.9,0.3,0.2,0.5,0.7,2.7,0.3,0.3,0.1,0.7,0.9,0.6,5.5,0.2,0.3,0.8,10.7,3.3,13.6,20.6,1.2,2.3,5.1,7.4,19.1,3.8,35.7,0,8.3,61.3,7.6
"Education",0.7,0.2,0,0,1.4,0,0.1,0.2,0.2,2.8,0.2,0.2,0.2,0.5,0.7,0.3,58.3,0.1,0.1,0.6,1.7,1.5,4.5,4.4,0.3,1.3,2.2,3.9,11.9,0.9,35,70.6,0,39.8,8.5
"Healthcare, socialwork",4.3,13.8,7.5,0.2,911.8,45,3,2.7,2.1,2564.8,3.5,4.7,83.3,11.5,85,3.4,25.3,2.3,10.8,18.2,33,11.2,67.2,37.3,191.9,46.2,4.8,2729.6,16.4,8.3,2414.4,42.5,128.5,0,55.6
"Arts, entertainment",17.6,17.7,6.8,5.7,164.3,19.7,4.7,7.1,7.6,23.6,5.3,7.1,48.6,13.4,15.3,6.8,29.9,3.1,26.2,15.6,81.2,21.3,114.9,145.2,86.4,46.2,43.2,56,96.4,121.6,692.5,60.1,55.1,187.1,0
