Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.1,0.1,0,335.7,4.9,250.1,19.3,0,0.2,0.2,0.2,0,0.6,0.2,0.1,0.2,0.2,0.1,12,1.8,2.7,4.8,3.2,16.8,0.2,0.1,0.1,0.4,1.5,3.6,1.9,2,0.9,1.3
"Energy extraction",2.3,0,0.1,0.2,4.3,0.1,0.4,0.3,59.3,14.2,0.1,2.9,0.2,0.4,0.1,0.1,0.1,0.1,0.1,0.5,152.1,0.8,0.8,1.2,2.6,0.1,0.3,0,0,1.7,1.6,0.3,0.2,2,2.5
"Mining (non-energy)",0.2,0.4,0,0,1,0,0.3,0,0,9.4,0.1,27.4,8.1,0.2,0,0.1,0,0,0.1,0.1,1.4,41.1,0.4,0.9,0.1,0,0,0,0,1.4,0.5,1.2,0.1,0.1,0.1
"Mining support",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",36.8,0.2,0.1,0,0,1,2.4,1,0.2,2.4,0.6,0.5,0.1,1.3,1,0.5,0.3,0.3,0.1,1.6,8.8,2.8,21.3,5,54.5,0.5,0.3,0.3,0.8,1.2,4.2,5,2.3,4.6,7.1
"Textiles & apparel",1,0,0,0,1,0,1.6,0.3,0,0.7,1.4,0.1,0,0.3,0.6,0.1,0.2,1.1,0.1,8.3,1.1,1.8,4.4,1.7,0.7,0.1,0.1,0.1,0.2,0.3,1,1.4,0.4,1.3,1
"Wood",7.4,0.4,0.1,0,2,0.5,0,2.2,0.1,0.7,2.9,5,0,2.5,1.5,1.4,0.7,2.9,0.5,60.7,28.5,100,8.9,10.5,1,0.2,0.3,0.3,0.5,8.6,3.1,0.8,0.4,0.5,0.9
"Paper & printing",2.7,0.1,0.4,0,9.1,1.2,6.9,0,0,1.3,0.7,1,0,1.9,1.3,0.6,0.7,0.3,0.1,1.7,1.2,0.5,15.3,3,2.2,45.4,7.8,6.4,6.6,0.4,36.2,3,5.4,1.7,10.4
"Coke & refined petroleum",3.7,0.3,0.4,0,0.6,0.2,0.6,0.2,0,0.4,0.2,0.3,0.1,0.5,0.1,0.1,0.1,0.1,0,0.5,1.7,4.2,1.2,18.4,0.2,0.1,0.1,0.1,0.1,0.2,1.3,0.8,0.5,0.4,0.3
"Chemicals & pharmaceutical",9.6,0.5,0.7,0,3.2,4.6,5.9,3.3,0.4,0,9.1,1.7,0.9,9.1,2.4,4.1,1.3,1.9,0.3,4,3.5,4.9,6.2,1.9,0.5,0.2,0.1,0.1,0.2,2.5,2.8,0.7,1.1,1.7,1.8
