Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0.2,0,34637.8,342.2,1890.8,221,4.2,164.6,402.6,1.9,57.1,1.2,0.3,0.4,2.1,0.8,8.7,3,35.5,492.9,169.2,9.6,3215.3,22.3,1.3,2,8.2,9.2,111.4,250.6,89.7,196.1,172.5
"Energy extraction",0.7,0,0.1,0,0.5,0.1,0,0.2,44.3,5.6,0.4,0.1,0.8,0.1,0,0,0.1,0.1,0.2,0.2,17.2,0.9,1.6,4.1,0.5,0.2,0.2,0.1,0.1,0.4,1.1,0.4,0.1,0.6,0.6
"Mining (non-energy)",45.7,0,0,0,22.4,0,1.9,35.7,1.3,742.3,7.7,982.8,533.6,29.9,2.7,6.4,15.7,0,5.7,35.5,77.8,2302.4,71.1,22.4,0.3,0.5,0.4,0,0.9,94.1,43.8,0,0,2,1.4
"Mining support",0.3,0.1,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
"Food, beverages, tobacco",9092,0,2.5,0,0,108.9,19.8,149.6,65.1,1655.1,41.6,29.2,9.7,18.5,4.9,5.9,10.9,12.3,30.9,47.3,219.1,255.8,2596.7,154.9,15460.3,92.3,12.2,32.3,103.5,143.7,1148.6,1965.3,891.6,2970.9,1982.5
"Textiles & apparel",39,0,1.9,0,25.1,0,8.1,59.8,3.1,149.8,113.8,16.8,5.9,31.8,19.2,16.7,21.8,225.4,86.9,289.3,16.5,173.3,560.9,44.5,69.1,17.1,2,0.6,28.3,6.3,106.4,172.7,2.4,191.2,151.8
"Wood",363.9,0,13.9,0,75.5,19.3,0,294.5,2.5,98.4,70.4,259.4,14.7,104.2,51.6,34.4,73.6,507,125,907.7,79.3,3997.6,274.8,74.6,74.7,290.7,114.6,11.5,4.9,187,139.9,6.3,38.8,14.2,191.8
"Paper & printing",81.4,0.1,23,0,1065.3,89.2,48.6,0,45.5,814.7,232.2,166.9,34.7,68.4,113.8,95.4,79.4,96.5,80.4,195.1,237.7,336.4,1909.6,187.1,348.2,4667.1,449.4,239.9,943.5,216.5,3505.1,786,601.5,260.1,692.7
"Coke & refined petroleum",1366,12.5,229.1,0.3,463.1,82.2,46.2,165.7,0,4804.6,69.5,282.8,928.9,113,46.7,44.7,97.1,173,294.5,178.7,895.4,1846.4,3317.7,9899.6,315.4,341.1,309.5,227.1,250.6,83.8,1827.5,845.2,245.2,225.7,484.2
"Chemicals & pharmaceutical",1880.6,4.2,62.4,0.1,377.2,443.5,65.8,855.9,690.3,0,3585,191.5,585.8,584.8,106,308.7,242.8,605.7,321.4,556,1731.6,1335.1,663,75.4,102.3,316.1,54.5,64.4,14.5,386,594.3,147.8,106.9,622.1,201.8
