Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.3,0.3,0.1,4553.1,111.2,14.2,0.8,0,16.3,19.7,0.3,4,0,1.1,0,2.1,0,0.3,4.5,0.1,10.9,106.9,0,300.9,0.9,0,0,0,1.2,14.3,31.2,4.1,0,15.5
"Energy extraction",6,0,0.3,4.6,12.1,2.5,0.2,5.3,1058.5,263.6,6.7,9.7,98.3,2.6,4.1,1.4,3.1,4.1,1.8,1.7,223.5,2.2,11.5,6,13.7,0.4,0.7,0.1,1.2,3.8,2.7,4.5,4,5.3,9.7
"Mining (non-energy)",10.6,0.7,0,1.4,5.3,1.8,0.2,7.2,4.1,362.9,1.8,212.2,407.1,7.7,8.4,2.3,6.8,0.7,2.4,16.6,6.4,171.1,7.3,2.6,0.1,0,0,0,0.2,15.8,1.7,10.8,0.6,0.1,2.7
"Mining support",177.5,99.1,46.9,0,20.4,0,0.6,7.6,8.9,19.4,14.2,5.6,7.1,0.5,0,0,11.6,0.1,0.1,4.5,44.2,100.3,0.2,4.4,0,0,0,0,0.2,0,3.6,20,5.6,0.2,0.2
"Food, beverages, tobacco",991,0.1,0.2,0.1,0,66.7,0.5,0,0,32.4,0.7,1,2.9,0,0.3,0,0.2,0,6.4,0.7,0,0,271.1,0,1437.8,6.5,0,0,0,5.3,32.4,130,19.3,0,385.2
"Textiles & apparel",31.5,0.8,1.1,0.4,24.4,0,3,41,0.8,126.8,161.5,18.1,7.7,20.2,223,14,17.5,93.7,26.5,272.6,0.1,8.9,139.7,5.9,61.7,3.4,0,0.1,0,0.9,13.3,28.9,5.8,6.5,64.5
"Wood",10.1,0.8,1.1,0.3,8.5,1.8,0,29.4,0.1,2.1,1.7,4.9,5.1,9.9,6.9,4,17.1,5.4,19.4,328.1,0.7,220.7,30.9,1.3,2.3,2.6,0.1,0.1,0,0.1,8.6,2.7,6.1,0.2,19.1
"Paper & printing",25.4,1.2,5.9,0.4,504.9,82.4,10.4,0,2.4,218.9,68.8,69.2,42,72.9,452.7,48.9,46.9,38,14.9,108.3,6.1,42.5,608.6,57.3,264.2,851.9,42.9,48,562.8,25.7,218.6,510.1,267.8,114.9,274.7
"Coke & refined petroleum",798.6,43.9,100.2,25.9,472.9,370.1,42,267.6,0,9373,172.4,662.7,1877.5,313,647.3,138.4,220.8,118.2,86.8,156.6,1553.2,522.2,1134.9,5512.1,193.6,33.4,17,14.4,57.7,117.1,301.9,483.9,122.1,176.2,277.2
"Chemicals & pharmaceutical",808.1,18.5,32.1,6.8,361.6,2538.8,57,646.1,102.6,0,4398.5,383.2,1355.2,734.4,10010.5,339.5,184.9,283.5,187,389.8,199.7,591.5,278.5,20.8,202.9,50.8,0.5,2.5,14,6.4,145.8,315.6,168.9,671.4,290.6
"Rubber & plastic",64.3,4.8,7.7,2.4,399.2,122.3,17,118.7,5.6,162.1,0,15.6,146.7,105.1,1450.4,151.3,305.2,340.7,104,212.2,38,292.2,308.6,50.4,206,9.4,0.4,1.2,0.4,2.1,39.9,74.5,35.3,24.6,50.2
"Other mineral (non-metallic)",3.1,3.3,22.8,2.8,140.1,60.4,0.4,0.9,2.7,203.7,2.9,0,286.5,48.2,498.1,39.9,77.7,116.5,53.4,75.4,34.4,3720.5,127.6,5.3,58.7,2.9,0.2,0,0,0.4,26.8,58.8,77.1,39.7,39.7
"Metal (basic)",3.1,15.8,4.2,16,53.1,5.6,1.6,69.1,21.4,281.2,135.8,202.9,0,6807.4,2493.6,1885.7,5290.2,1351.5,780.1,932.7,256.3,3594.2,120.3,31.1,0,1.4,0.2,0.4,0,5.3,5,54.9,0.9,0,24.9
"Metal (fabricated)",57.3,24,16,7.8,353.9,32.2,10.3,22.1,8.7,125.7,131.5,57.7,1336,0,795.9,247.7,1588.2,433.9,396.5,397.5,30.3,2338.5,272,17.2,98.9,9.9,0.5,4.4,0,3.9,75.5,921.9,69.7,75.2,70.5
"Computer, electronics",0.1,2.7,2.3,1.9,5,2,3.6,58.4,7.5,48.3,12.2,4.4,23.2,17.8,0,473.2,946.7,204.1,104.6,146,198.1,167.3,285,16.2,4.7,55.9,145.3,390.3,11.4,12,203.7,148.2,636.2,562.1,211.9
"Electrical equip.",3.2,4.6,3.8,1.6,8.7,3.2,0.4,1.4,4.4,9.9,10.2,8.5,218.2,39,893.9,0,1139.3,333.5,171.2,115.3,36.1,1688,209,19.9,6.6,11.5,101.6,38.4,2.9,30.7,67.4,172.5,317.2,28.8,104.7
"Machinery & equip.",4.9,3,3.3,1.7,6.1,4.6,0.5,2.1,1.9,7,4.2,8.4,43.5,14.5,85.8,25.4,0,15.7,31.3,13.4,8.3,74.6,21,4,0.6,0.9,0,0.2,2.6,0,5.6,5.8,4.3,7.5,4.9
"Motor vehicles",0.1,0.6,1.6,0.6,1.9,1.2,0.1,0.5,1.3,0.9,4.6,1.3,5.7,0.6,5.7,5.2,7.7,0,20.7,13.8,0.1,0,247,31.3,0.7,1.6,0,0.6,0.3,0.2,19.4,80,5.4,5.2,10.1
