Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,412.8,135.1,2.4,22165.3,181.5,1294.7,38.3,1.3,344.1,160.3,3.8,4.7,11.8,1.5,1,2.2,2.2,1,21,37.8,983,1473.4,117.8,2211.5,15.5,16.3,16.2,28.8,90.5,738.3,478.7,182.6,125.2,211.2
"Energy extraction",381.1,0,1323.5,637.8,321.1,14.7,21.7,179,8394.2,1579.9,123,568,1290.5,69.2,6.3,14.5,27.7,53.1,19.7,20.2,12057.5,1015.7,652,742.6,403.5,27.9,64.2,15.3,40.6,394.6,520.3,237.9,190.3,201.8,610
"Mining (non-energy)",83.9,1233.5,0,128.1,85.1,7.8,14.2,23.7,13.5,485.9,17.8,1474.2,28429.5,34.3,7,7.7,18,12.3,7.6,22.9,137.2,3503.4,344.9,295.5,51.8,18.3,28.8,25.5,27.8,239,209.6,116.2,60.4,32.5,76.1
"Mining support",8.2,10685.2,4973.2,0,12.7,1.4,2.8,4.6,2.4,6.7,2.8,5.1,14.8,4.7,1.1,1.1,2.4,2.1,1.2,1.6,15.1,90.9,81.1,166.1,5.2,3.4,5.9,8.4,5.8,25.6,173.4,22.1,6.4,4.2,9.7
"Food, beverages, tobacco",5323.5,67.5,72.7,7.4,0,38.4,29.3,72.5,24.1,525.6,51,31.4,62.8,30.6,8.3,9.1,17.9,13.2,13.5,25.6,73.7,585.8,1431.6,130.9,9034.3,34.3,17.3,24,49.9,80.2,576.8,1032.5,415.3,602.1,1308.9
"Textiles & apparel",66.9,64.2,70.4,4.3,64.6,0,35,45.3,10.5,86,75.3,22.8,33.7,33,9.1,11,20,51,17.1,132.2,23.7,484.3,346.9,56.5,58.9,16.7,10.4,9.9,9.1,14.6,120.4,134,40.9,59.9,202.9
"Wood",65,267.8,179,10.3,49.8,7,0,115.3,5.6,39.8,32.7,53.9,20.4,64.6,6.5,11.6,25.1,29.9,24.4,393.1,17.8,6134.2,209.9,56.1,40.1,18.2,4.6,5.4,5.8,127.2,178.8,53.3,39.8,13.6,133.6
"Paper & printing",85,121.1,116,9.5,466.1,49.1,70.6,0,9.4,233,96.5,107.7,36.8,64.9,22.7,26.8,42.3,34,11.5,59.5,83.2,616.4,1414.6,361,200.2,1296.7,195.2,272,533.7,123.2,1512.4,783.8,650.3,180.2,531.8
"Coke & refined petroleum",768.5,670.2,1096.9,131,156.5,21.6,49.3,57.8,0,495,53.5,212.6,242.3,91.6,10.2,21.2,42.4,26.3,20.9,34.7,570.8,2831.5,990.7,3670.5,131.4,32.4,68.1,71.6,160.9,221,749.3,589.8,164.2,106.3,272.5
"Chemicals & pharmaceutical",1087.2,545.9,576.8,47.7,281.1,161.5,149.1,342.2,97,0,1169.9,244.6,293.9,207.1,50.8,81.4,80.7,89.3,52.2,108.7,183.5,2002.8,490.9,177.8,111.1,68.3,24.6,25.5,32.3,261.5,655.6,255.7,143,819.1,410.7
"Rubber & plastic",150.4,375.7,330.1,35.5,416.2,45,60,131.7,15.7,263.4,0,107.6,91.8,155.7,64,104.7,151.3,247.5,63.7,120,76.8,4021.1,759.4,351.5,115.4,29.1,8.2,9,7.8,143.6,379.2,141.3,55,73.3,186.7
"Other mineral (non-metallic)",60.8,78.8,189.8,20.6,118.9,3.5,54,18.5,6.6,75.5,47,0,61.5,89.9,27.9,26.6,40.5,44.2,17.5,29.2,47.9,12140.5,195.2,52.7,49.2,5.3,6,6.8,5.7,212.4,130.5,72.7,40.4,25.6,59.9
"Metal (basic)",43.3,152.6,660.1,98.2,77.5,6.3,27.3,119.9,7.3,103.7,77.8,118.5,0,3274.3,147.4,800.6,1067.5,546.9,255.2,429.1,109.6,9362.9,277.3,82.1,22.3,7.2,12.4,13.2,15.3,56.4,118.1,79.1,29.9,26.3,180.2
"Metal (fabricated)",198.5,636.3,518.6,93.8,365.6,28.5,167.6,60.7,23.1,133,139.9,146.1,475.4,0,82.9,168.9,667.9,379.2,178.6,193,188.8,11415.9,622.5,275.1,108,19.2,26,25.7,37.1,306.8,538.8,390.4,95.7,49.9,236.5
"Computer, electronics",25.1,50.2,62.7,9.8,38.1,4.3,7.1,17.1,7.4,23.6,14.2,12.3,28.9,31.8,0,56.7,55,39.4,28.3,19.1,41.2,539.1,203.3,86.3,30.4,37.2,240.1,143.5,55.2,31,252.3,167.5,52.2,65.1,196.3
"Electrical equip.",33.9,113.6,105.6,13.1,42.9,5.1,9.8,11.5,8.2,22.7,18.7,19.3,68.9,67.8,102.7,0,162.3,124,43.1,30.4,153.5,2773.8,259.1,112.9,32.8,16.1,135.5,57.3,15.7,105.3,214,103.8,41.4,28.2,209.4
"Machinery & equip.",144,474.9,473.8,88.6,89.5,16,33.8,38.4,12.6,44.2,41.1,56.4,90.3,134.2,39,55.1,0,142.2,76.8,40.3,107,1881.3,305.4,151.4,45.4,16.2,58.2,37.1,39.5,58,273.1,305,51.8,32.9,160.8
"Motor vehicles",56.6,86.1,86.6,20.6,48.3,6.9,17,6.6,9.6,14.9,9,25.1,35.5,51.9,11.5,33.5,99.9,0,41.9,22.8,38.5,512.4,1055.2,513.5,32.4,11.8,12.4,11.8,20.8,41.9,325.1,187.3,26.8,23,87.8
"Other transport equip",36.2,105.2,20.3,2,16,1.8,3.8,3.8,2.9,6,4.4,3.9,11,12.5,4.1,5.8,10.1,36,0,4.3,11.1,196.9,145.2,992.5,23.7,7.5,14.6,12.8,18.9,48.2,184.3,1537,24.3,11.8,32.9
"Other manufacturing",65,79.5,70.7,11.1,57.5,16.5,60.6,22.5,5.8,26.9,18.2,18.8,41,39.4,8.8,14.2,30.2,21.2,12.6,0,47.4,732.1,118.9,113,36.9,13,31,15.8,21.4,154.2,119,84.5,40.2,64.3,65.1
"Utilities",1289.2,4012.3,5931,295.4,1098,198,307.4,750.4,171.2,1172.4,433.7,999.8,1955.7,582,93.3,119.8,274.8,197.5,91.8,151.8,0,4025.1,3697.1,2057.1,1488.3,286.2,636.9,397.9,782.5,3868.9,2858,3823.3,2594.5,1296.8,2251.6
"Construction",822.9,1428.3,4610.6,242.9,386.8,33.3,150.3,183.8,76.2,194,57.6,266.4,413,125.3,80.5,69.1,157.3,47.1,64.4,128.5,1861.7,0,4146.3,2936.5,706.5,295.9,1069.7,770.2,421.4,20178.4,4919.9,5885.2,1618.6,781.1,1659.7
"Wholesale & retail",6413.3,3376.6,4428.4,388.6,12331.5,957.5,947,1319.7,1322,3029.3,1235.8,1048.3,4110.2,1592.5,798.6,645.4,1073.1,2122.7,766.9,774.7,2915.8,19886,0,6300.8,5948.6,1512.8,1549.3,1608.3,1308.1,1367.1,7342.1,4091.8,1642.9,1839.4,3899.1
"Transportation, storage",1506.4,3691.5,3781.3,555.2,2460.8,242.6,509.3,662.3,383.1,1148.1,427.1,929.5,2153,693.4,189,196.9,407.9,488.5,301.1,287.2,1081.4,7965.1,14856.9,0,1060.4,734.9,1105.6,747,2032.6,705.2,6046.6,3563.8,1061.8,558.4,1686.9
"Accomodation and food services",237,260.2,157.7,136.9,218.1,28.9,60.1,90,6.3,156.4,62.8,85.5,65,139.1,19.9,26,75.2,47.9,54.8,53,295.1,2460.1,2714.5,2231.8,0,274.4,199.1,651.5,1049.6,1283.7,6847.4,2274.7,1383.7,1696.3,1588.2
"Publishing, broadcasting",38.2,51.8,63.6,5.1,182.8,3.9,18.5,204,7.9,107.5,24.2,32.5,10.8,41.9,20.2,13.7,29.8,20,14.1,24.2,108.3,620.8,1568.3,400.6,158.5,0,1059.1,751.7,569.7,186.6,3742.3,875.5,917.5,166.9,1554.5
"Telecoms",180.7,158.9,373.7,59.2,152.6,37,43.8,80.3,13.6,129.5,57.6,81.9,43.6,128.5,53,33.4,88.6,50.3,29.6,50.9,310.6,2062.6,2512.4,1452.6,312.5,807.2,0,1647,2075.7,628.7,3822,2448.8,628.5,453,1175.9
"IT and information services",49.4,565.4,172.7,25.3,190.6,26.8,36,106.5,16.9,219.6,53.3,75.5,72.2,114.9,72.5,45.5,85.2,63.8,23.5,51.5,361,1672.8,2218.3,1357.3,236.3,636.6,1758.1,0,2815.7,532.9,4670.2,2407.7,630.2,381.4,1350.3
"Finance & insurance",1671.7,1919.7,2143.1,257.1,960.4,170.1,264.2,407.3,89.6,762.1,304.2,432.2,846.5,614.3,145.5,155.4,365.4,260.4,227.8,226.7,1345.2,10579.8,8470.9,3976.4,1155.6,532.5,1162.2,1261.5,0,23300,8833.5,4584.7,1366.7,901.2,2397.1
"Realestate",171,150,78.9,19,224.9,59.1,56.9,126.6,13.3,121.9,92.6,86,28.1,178.7,34.9,36.8,74.7,88.6,35.7,81.1,285.4,3711.2,8851.7,1717.1,1793.1,357.1,908.7,770.2,1544.7,0,4573.4,2252.3,1550,849.5,2175.4
