Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.5,13.1,0.3,20485.5,277.4,190.3,37,7.9,123.3,36.2,1.8,1.1,1,3.5,3.3,1,1.9,0.6,22.1,25.5,54.2,796.3,21.9,422.2,6,0.6,1.1,6.5,7.1,53.8,93.5,55.9,25.8,105.7
"Energy extraction",1.3,0,0.2,0.4,2.2,0.2,0.1,0.4,127.7,5.5,0.3,1.1,1.5,0.1,0.1,0.1,0.1,0.4,0.1,0.2,52.6,0.3,2.5,1.5,0.6,0.1,0.2,0,0.2,0.3,0.4,0.3,0.5,0.4,2.2
"Mining (non-energy)",34.3,0.7,0,0.6,2.2,0.8,2.1,4.8,444,75.6,1.7,182.6,2189.6,59.5,20.5,41.4,9.2,2.4,2.4,34.6,180.4,244.8,32.1,13.5,3.9,0,0.1,0,2,1.8,2,5.9,0.6,0,6.5
"Mining support",13.6,1.7,2.7,0,0.8,0,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,2.2,3.7,0,0.2,0,0,0,0,0,0,0.2,0.3,0.2,0,0
"Food, beverages, tobacco",5094.5,0.1,0.5,0.2,0,116,8.6,23.9,10.8,168.1,3.9,6.5,0.7,0.8,5,2.2,1,1.8,2.6,11,24.5,37.8,904,37.1,1880.1,12,2.7,2.4,24.7,11.5,54.8,258.3,169.2,166.5,563.5
"Textiles & apparel",95.9,1.8,19.8,1.5,30.3,0,15.7,14.9,3.9,25.9,21,9.5,1.5,3.4,37.3,12.3,4.5,51.2,33.3,120.7,27,56.9,391.3,67.7,35.1,36,11.1,3.2,64.2,4.7,63.2,138.1,39.8,104.8,235.6
"Wood",7.2,0.1,2.6,0.1,3.3,1.3,0,4.8,0.4,1.7,0.9,2.7,0.1,0.9,3,1.7,0.6,3.5,2.8,48,5.1,93.3,14.5,1.9,1,1,0.3,0.2,0.5,10.5,2.7,1.3,1.7,0.2,7.5
"Paper & printing",17.9,0.1,2.6,0.1,123.4,16.8,8.6,0,2.6,19,6.8,11.4,0.8,1.9,25.7,9.6,2.5,7.4,1.3,15.7,10.6,12.8,208.2,17.6,12.4,147.6,21.8,9.7,79.6,7.9,61.2,46.8,59.7,11.9,81.7
"Coke & refined petroleum",1047.3,12.9,194.6,8.6,225.5,52.6,34.4,30.4,0,351,19.1,128.5,84,13.6,66.3,41.2,13.8,33.3,17.6,72.2,684.1,457.9,948,2572.5,45.5,22.2,50,16.4,141.2,56.7,141.5,222.2,94.8,45.5,207.3
"Chemicals & pharmaceutical",544.6,2.9,41,1.2,118,147.7,45.1,70.8,111.3,0,229,61.9,34.2,15.5,148.5,72.6,11,48.6,24.6,67.2,53.1,114.8,121.5,25.5,8.9,15.7,1.9,1.2,10,21.8,43.9,29.9,30.2,132.6,116.4
