Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,5.6,22.4,0.7,24681.3,2526,759.3,238.3,86,419.9,94.7,27.8,49.3,11.1,3.8,17.7,18.2,27,2.8,35.5,36.1,424,1323.9,106.6,1865.3,5.4,4.3,1.2,9.2,22.9,181.7,202.8,52,136.6,81.5
"Energy extraction",5.4,0,2.5,1.2,5.9,4.5,0.7,4.1,1021,24.2,0.7,29.4,221.2,0.3,0.1,0.3,2.3,3.4,0.2,0.3,1019.7,7.2,6,3.5,3.2,0.1,0.5,0.1,0.7,1.6,2.1,1.9,1.1,2,2.7
"Mining (non-energy)",36.9,11.3,0,1.6,15.6,10.7,2.5,19.5,320.1,206.3,8,1200.6,2710.7,76.1,2.1,27.1,21.1,7.2,1.7,67.7,119.5,1707.2,45.6,9.9,4.2,0.8,3.1,0.3,1.7,18.1,12.6,16.7,1.2,10.6,2.5
"Mining support",32.8,59.6,51.6,0,5,0,0.7,2.3,7.5,1.2,5.2,3.7,0.6,0.1,0,0,2.3,0.1,0,1.7,65.2,117,0.1,3.9,0,0,0,0,0,0,1.6,3.3,0.6,0,0
"Food, beverages, tobacco",6805.1,3.5,14.3,0.3,0,367.5,24.3,88.6,81.8,369.4,66.9,50.1,33.1,18.9,5.3,22,17.2,30.5,4.4,63.3,180.8,255.1,1103.6,185.3,6759,12.8,11.2,5.7,26.7,28.5,200.6,452.1,119.8,357.1,441.9
"Textiles & apparel",130.4,10.6,32.7,1.4,150,0,65.9,127,43.6,149.7,374.6,108.1,41.3,57.5,25.6,76.1,65.7,588.2,29.5,1120.2,73.1,578.6,882.2,318.9,111.9,16.7,14.3,2.9,28.6,13.7,136.6,202.6,31.9,184.7,197.1
"Wood",37,2.1,16,0.3,22.7,34,0,83.4,12.4,27.3,37.2,66.6,10.4,35.5,5.8,29.7,24.8,85.6,9.9,877.5,6.4,2219,114.7,46.5,15.8,4.9,2.9,2.5,2.9,89.1,31.2,11.8,6.1,6.8,13.3
"Paper & printing",90.4,7.9,32.2,0.4,587.8,348.8,79,0,54.7,166.8,219.9,250,39.5,66.9,35.9,140.4,86,157,4.9,243.3,144.3,280.6,973.9,241.9,128.8,438.1,49,56,191.6,41.5,436.7,205.7,102.6,94.4,127.1
"Coke & refined petroleum",497.6,66.3,171.8,5.1,116.9,159,33.3,47.9,0,372.3,76.8,300.7,371,54.4,11.4,67.8,53.8,97,8.2,67.1,1559.8,1102.8,697.8,6206,61,8.3,23.8,14.4,57.8,46.9,147.1,166.6,28.9,50.4,74.5
"Chemicals & pharmaceutical",1275.7,70,114.4,2.5,370.1,1882.7,165.5,419.7,941.5,0,2471.3,515.7,503.1,223.8,88.3,418.2,165.2,457.4,34.7,441.1,427.8,1121.3,456.7,338.4,74,30.4,12.2,8.3,25.1,70,211.4,169.5,44.6,1519.4,180.4
