Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,79.8,0.9,1.6,8399.2,1200.7,735.6,929,6.5,299.4,109.8,12.9,9.9,12.9,3,20,22,18.4,0.1,34.6,4.5,1.4,3.7,1.7,297.1,3.8,1.6,4.2,0,32.1,105,47.4,13.8,69.7,22
"Energy extraction",107.7,0,170.9,31.9,38.1,4,22.5,34.7,1507.1,291.1,16.6,560.3,1106.6,32.4,6.2,25.3,39.6,35.6,0.4,9.6,840.9,441.5,32.3,70.5,6.1,0.6,3.3,0.2,8.4,26,18.4,87.4,25.6,22.3,14.7
"Mining (non-energy)",218.7,110.7,0,9.1,52.3,6.1,56.2,18.8,2144.1,416,35.3,1285.5,9504.6,1012.5,237.2,987.8,632.9,995.2,2.5,43.3,52.7,1154.9,54.4,145.7,15.5,5.5,29.5,3.5,7.7,118.7,53,138.1,55.9,33.7,17
"Mining support",135,459.4,823,0,19.8,0,3.1,16,6.5,11,8.6,7,2.4,0.6,0,0,7.1,0.2,0.1,3,73.7,247.7,0.4,9,0,0,0,0,0.5,0,19.7,46.6,3.3,0.6,0.1
"Food, beverages, tobacco",1830.4,6.1,109.7,0.9,0,9.3,1.6,69,0.8,456.7,9.7,1.9,31.7,9.1,0.4,2.1,4.9,8,2.1,12.5,1041.1,13.2,262.9,545.1,1347.5,8.9,6.6,169.9,0.1,69.8,268.4,674.7,158.8,511.7,139.1
"Textiles & apparel",176,21.7,93.7,3.2,19.1,0,9.2,99.5,1.6,103.4,79.8,1.7,2.4,5.2,13.1,8,16.3,525.4,10.1,153.4,6.6,326.1,68.4,82.5,37.4,12,11.7,1.3,0.5,13.7,87.6,84.8,36.2,158.7,109.1
"Wood",85.8,92.1,106.8,2.3,277.5,24.3,0,163.7,32.3,64.1,12.3,70.8,35.2,84.8,16.4,11.9,23,113,6,468.9,30.6,561.2,229.5,142.6,9.6,7.8,7.4,0.5,0.1,350.8,59.5,77.3,41.1,8.5,37.8
"Paper & printing",12.3,24.8,39.6,1.6,460,39.8,41.7,0,6.1,190.4,34.5,43.8,11.6,20.2,14.6,32,29.8,125,9.6,64.1,26.6,159.9,2755.6,223.9,48,402.2,119.1,311.1,40.4,98,638.2,247.8,174.5,113.6,76.2
"Coke & refined petroleum",1076.2,221.9,583.9,31.3,71.4,33.5,14.3,128.9,0,1279.5,157.9,29.9,827.9,19.1,5.4,154.4,16.9,41.7,22.2,59.8,158.4,1451,1007.3,2934.1,37.8,17.6,86.5,221.8,26.7,207,425.7,424,67,134.7,87.7
"Chemicals & pharmaceutical",1866.3,284.8,1245.6,17.9,387.7,410.9,143.3,1016.4,136,0,1678.9,151.6,829,223.1,59.2,267,162.9,434.5,46.3,203.7,155.4,746.4,329.3,294.6,37.5,46.5,14,87.4,13,247,329,794.1,221.9,1489,106.3
