Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,11.4,15,3.6,74944.3,1831.7,1715.7,1568,3710.2,172,741.1,97.6,308.1,9.4,0.7,1.5,1.8,30.2,5.2,27.1,18.9,504.4,1132.7,10.7,2187.1,1.3,14.6,2.6,33.5,53,109,540.5,414.5,214.9,258.6
"Energy extraction",37.8,0,78.3,140.6,414.8,65.2,16.2,243.3,50826.7,735,43.2,233.7,682.1,156.7,1.9,13.4,65.7,169.8,17.3,22.3,3486.2,540.5,273.7,243,9.9,2.3,38.6,5.8,59.5,115.7,102,156.3,16,178.2,162.5
"Mining (non-energy)",193.5,118.2,0,16.7,189,7.4,1.1,10.2,62.2,1585.8,19.4,2151.1,10424.2,11.3,1.6,46.1,7.6,53.3,8.2,26.1,37.1,2810.4,75.9,18.6,10.7,0.4,1.1,0.5,11.1,34.3,18.4,118.8,10.3,10.6,30.6
"Mining support",327.7,2565.1,513.3,0,79.7,0,2.5,19.1,54.6,22.2,26.7,14.2,4.8,0.7,0,0,14.3,0.5,0.1,6.4,131.4,441.7,0.6,12.8,0.1,0,0,0,0.1,0,10.8,50.5,13.6,0.3,0.4
"Food, beverages, tobacco",7260.4,109.9,67.7,5.3,0,982.4,44.3,518.4,1458.3,4314.7,739,175.6,134,160.1,45.3,154.4,122.6,169.8,44.1,182.7,91.1,400.4,1450.2,133.6,18976.9,24.5,44.5,18.1,121.9,44.1,261.5,1621.6,1628.5,1226.4,683.5
"Textiles & apparel",274,45.4,14.1,6.8,259.5,0,2.7,132.7,24.4,148,214.6,19.9,8.8,89.9,7.3,13.3,16.9,760.8,93,540.2,179.2,312,936.1,169,187.3,51.6,21.3,5.6,162.2,9.6,204.2,498.1,207.4,546.2,446.2
"Wood",321.1,1,21.1,5.1,236.3,21,0,187.1,1.6,33.1,7.6,20.5,9.4,126.8,1.8,3.4,183.7,209.3,65.7,2774.2,171,2472.9,354.5,48.1,6.1,58.7,3.9,1.7,34,310,108.6,128.6,17.6,32.9,185.5
"Paper & printing",228.1,23.3,99,3.8,3323.1,727.4,266.7,0,65.1,1137.5,789.2,771.6,51.4,563.6,651.9,192.6,134.4,693.5,44.4,422.7,227.7,265.8,2365.6,356.6,378.8,1848.9,535.1,565.6,1265.1,99.9,2031.9,1739.7,631.2,610.8,939.4
"Coke & refined petroleum",5293.5,649.7,1740.8,91.5,3005.7,376.9,106.8,678.1,0,9600.1,1208.3,1594.6,1676.2,251.8,77.7,399.2,234.7,773.8,138.3,293.5,1649.8,3698.9,2450.3,25281.2,547.3,41,54.7,45.3,557.8,160.6,940.9,2118.2,227.5,617.5,603.2
"Chemicals & pharmaceutical",15820.8,870.9,428.4,28,2525.3,2431.8,377,2459.3,5644.8,0,6652.9,1548.1,1090.7,1158,234.5,1300.5,247.6,1280.7,215.6,1203.2,262.3,2892.7,1346.2,750.7,124.8,104,88.2,24.2,209.1,166.2,588,686.9,391.4,2187.9,641.6
"Rubber & plastic",310.3,60.6,255.1,19.3,4344.6,467.4,69.6,619.7,49.6,1503.5,0,785.6,198.8,322.2,525,815.5,971,7164.3,313.4,1246.8,156.8,4023.8,1757.7,2615.3,122.5,12.4,14.2,9.2,152,83.9,482.7,406.7,98.8,348.5,265
"Other mineral (non-metallic)",1935.4,66.2,165,16.5,1360.9,31.8,2.4,91,64.7,610.4,221,0,156.2,87.6,6.8,146.1,158.4,1336.3,82.7,287.1,566.5,23876.1,503.6,99.5,225.9,3.6,8.4,3.8,73.3,178,124.4,285.6,81.6,170.4,155.2
"Metal (basic)",243.4,743,97.8,84.1,382.7,23.4,6.6,192.5,41.1,237.5,347.1,344.3,0,8155.7,97.2,3776.9,4339.4,10040.8,1318.4,1938.7,232.3,8222.1,502.9,102.9,44.3,6.6,23.5,12.9,85.8,40.8,184.8,139.2,51.5,81.5,141.8
"Metal (fabricated)",352.5,309,374.7,38.4,2690,101.5,147.4,67.5,87.4,821.5,90.9,95.5,872.7,0,400,917.6,2397.1,3373.4,546.9,1447,827.2,9058.5,818.9,203,488.4,9.6,24.1,8.9,129.3,138.1,290.5,852.5,58.6,143,230
"Computer, electronics",28.5,61.8,28.4,6,48.9,14.5,3,121.1,15.4,44.7,12.3,11.6,34.7,13.9,0,202.7,269.8,278,102.5,212.6,103.6,260.6,428.3,83.9,9.9,91.9,140.1,404.3,293.4,19,365.6,710.2,273.8,537,360
"Electrical equip.",62.7,59.3,37.4,7.9,128.9,32.1,10.5,32.1,15.6,82.7,45.6,58.4,92.9,74.5,818,0,1203.6,1160.6,252.7,771.9,1439.1,3584.2,579.7,500.6,29.9,21.7,288.5,13.8,93.2,72.1,343.8,344.3,37.6,131.7,287.9
"Machinery & equip.",109.3,881.7,1151.3,73.9,134.8,16.4,28.2,28.1,21,65.7,62.1,28.1,104.9,141.6,131.6,326.1,0,1025.2,439,2407,158.4,1659.8,561.9,223.5,23.4,7.4,36.6,10.1,115,45.5,197.2,1116.7,15.1,109.7,160.5
"Motor vehicles",41.5,26.8,66.2,9.2,77.6,14,3.1,8.2,4.1,61.9,26.3,44,46,68.5,49.3,97.7,231.3,0,147.6,87.9,103.3,328.3,3540.4,2992.1,13.7,2.9,14.3,4.3,103.1,20.8,172.4,412.4,96.1,70.8,101.8
"Other transport equip",25.2,42.2,12.4,0.5,17.3,2.9,1.2,3.9,8.9,9.7,4,3.4,10.8,15.8,8.2,28.5,121.8,52.1,0,19.6,9.6,141.4,152.8,612,3.4,1.3,3.2,1.9,10,3.1,141,1851.5,4.2,11.9,28.4
