Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,39,6.1,0.6,31394.8,789.3,2189.9,127.9,0.7,61.9,552.4,4.4,116.1,9.9,4.1,4.1,14.9,58.8,8.8,148.4,22.7,173,15.3,44.2,1509.4,2.2,3.7,4.3,7.8,148.3,441.9,854.4,58.8,474.8,111.5
"Energy extraction",21.5,0,6.8,2.1,30.5,10.1,9.6,48.7,421,186.3,22.6,132,1763.5,26.3,6.8,11.3,78.8,35.7,4.7,11.5,2153.3,47.9,101.1,57.6,12.1,5.2,11.6,8,28.5,55.4,49.7,50.3,31.6,41.7,17.4
"Mining (non-energy)",14.7,17.6,0,1.1,18,3.2,8.7,33.1,112.4,542.1,15.2,774,2608.4,108.3,9.3,33.5,84.6,38.2,5.3,49.4,361.1,872.4,61,34.3,4.5,1.8,5.9,4.9,13,45.9,35.1,41.5,6.2,8.3,7.9
"Mining support",4.6,3.2,4.8,0,1.5,0,0.3,1.5,1.5,1.5,2.9,1,0.8,0.1,0,0,3.5,0.1,0,0.6,13.1,22.3,0,1.3,0,0,0,0,0,0,1.8,2.7,0.7,0,0
"Food, beverages, tobacco",8115.2,5.8,6.7,0.9,0,243,112.2,529.2,346.9,4283.1,266.8,140.7,161,173.7,105.3,134.1,306.9,310.1,71.2,272,736,732.6,4196.8,472,14373.4,147.9,77.3,92.1,291.2,443.7,1686.1,3503.4,1315.7,3782.2,2167.6
"Textiles & apparel",22,2.8,1.1,0.2,74.1,0,32.3,47.7,22.5,103.3,133.6,21.2,22.5,44.1,32.9,50.5,88.3,470.2,35.2,362.7,51.3,128.6,315.8,69.2,30.7,15.5,9.2,13.3,24.4,22.7,91.6,124.9,28,112.4,51.6
"Wood",53.5,50.1,21.5,1,119.5,46.5,0,361,27.7,258.3,80.4,112.8,68.7,301.9,116.6,107.8,380.2,374.3,119.4,2231.5,177.2,4409.1,279.5,82.5,61.5,10.5,31.2,7.1,29.1,935,292.6,141.4,115.1,59.6,486.5
"Paper & printing",72.7,16.2,24.1,0.7,1577,257.8,173.7,0,72.3,2186.7,639.4,398.1,169,553.5,700.7,787.9,848.6,921.9,102.6,906,366.4,633.1,5247.1,722.8,320.8,5355.2,678.3,264,1718,636.6,3332.5,1357.9,504.4,419,492.3
"Coke & refined petroleum",1452.8,124.4,246.9,15.5,745.4,240.5,113.3,256.3,0,6243.7,433.7,975.3,2990.7,249.2,151.4,363.5,458.7,534.6,294.2,287.1,2357.2,3090.3,3662.6,15483.2,280,228.5,116.6,182,157.1,921.6,1252.7,2418,326,360.1,568.8
"Chemicals & pharmaceutical",1283.9,87.6,99.8,5.1,1254.9,1158.7,639.4,1863.9,1030.7,0,8277.8,1118.9,2516.4,996.4,676,703,1516.8,2546.6,402.4,784.1,641,2623.1,1554.6,731.6,378,154.2,143,343.8,457.3,752.8,1436.3,779.4,198.8,1500,835
