Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.2,0.4,0,3225.1,133.7,409.3,568.1,2.5,134.5,59.2,1.9,5.6,2.5,0.9,1.5,1.8,9.3,0.4,6,6.2,13.7,60.2,8.2,241.2,3.2,3,2.2,2.3,1.6,32.9,24.4,3.5,45.6,19.5
"Energy extraction",0,0,0,0,1,0,0,0,184.2,4.9,0,0,0.5,0,0,0,0,0,0,0,18.2,0,0,0,0.5,0,0,0,0,0.1,0.1,0,0,0.4,0.2
"Mining (non-energy)",3.5,0.1,0,0,2.7,0.3,0.1,3.7,0.1,33.5,0.1,100.5,243.9,14,0.1,0.2,0.7,0.3,0.1,2.8,0.8,92.2,3.5,1.7,0.9,0.1,0.2,0.1,0.1,3,1.4,3.1,0.3,0.4,0.2
"Mining support",0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",782.3,0.4,1,0,0,105.7,5.8,23.3,12.5,73.8,8.5,7.4,3.1,6.1,2.3,4,2.7,5.2,0.8,7.7,26.3,27.9,173.9,35.6,1649.9,7,9,7.6,13.4,6.4,73.5,108,42.4,198.7,103.9
"Textiles & apparel",11.8,0.2,0.5,0,19.1,0,4.5,4.6,2.6,18.3,26.3,6.5,2,6.3,1.3,5.3,1.8,35.1,1.3,50.1,6.6,23.3,79.2,11,19.8,3.3,3.7,3.3,2.8,1.6,21.6,19.8,4.7,31,10.2
"Wood",38.7,0.3,0.2,0,22.4,13.1,0,38.8,1.6,8.6,8,30.7,5.6,13.4,0.8,13.5,4.4,4.2,2.5,255.5,32.2,401.5,51.5,8.8,16.3,0.9,1.6,1.2,1.2,7.5,16.6,8.5,2.3,5.5,4.8
"Paper & printing",24.5,0.4,4.2,0,216.7,64.8,20.4,0,4.6,60.9,21.6,42.7,6.3,17.3,6.4,10,8.5,15,1.1,25.8,98.9,21.3,240.8,39.9,72.9,206.9,16.2,29.2,42.3,49.2,234.2,39.6,68.6,81.6,53.6
"Coke & refined petroleum",350.4,4.2,54.6,0.5,98.5,67.4,31.9,70.1,0,251.4,63.2,152.3,96.8,51.4,6.1,23.4,16.4,14.2,3.3,53.8,342.8,445.1,483,2057.8,62.5,8.6,9.4,9.4,47.8,7.3,141.3,157.9,37.5,218.1,48.8
"Chemicals & pharmaceutical",127.3,1.2,11.1,0.1,75.2,192,35.6,91.9,150.2,0,404.8,74.7,40.4,49.6,8.6,79,18.5,77.4,3.3,37.3,28.1,90.7,106.4,19.4,22.6,9.6,5.9,8.2,5.2,18.7,46.4,15.3,15.7,263.2,40
"Rubber & plastic",15,0.7,0.3,0.1,154.6,71.1,14,11.2,2.6,48.5,0,47.7,12.5,40.9,25.7,54.3,32.7,109.9,5.3,78.8,8.2,169.2,270,18.5,27,6,1.8,4.7,1.3,8.3,59.1,6.4,2,15.7,6.5
"Other mineral (non-metallic)",53.6,0.7,10.3,0.1,102,15.9,9.8,10.4,3.4,50,10.6,0,24.9,61.9,4.7,23.2,10.6,50.5,2.6,25.1,28.6,1293.2,82.3,22.8,28.6,3.1,4.2,3.7,3.5,45.6,27.8,23.5,4,12.2,6.2
"Metal (basic)",2,0.7,1.4,0.1,4.4,1.3,1.5,3.1,2.6,2.7,6.9,14.5,0,266.3,7.3,62.6,69.4,116,8.6,44.2,25.5,262.1,18.5,4.8,0.9,0.4,0.9,0.6,0.5,0.7,4.3,2.7,0.7,1.7,1.1
