Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.1,0.5,0,3474.8,38.9,1157.3,435.5,0.4,100.3,15.4,2.2,17.1,2.5,0.5,0.9,2.3,4.2,0.3,10.6,57.9,48.2,33.5,13.4,333.9,2,0.7,2.3,4.5,15.6,32.1,15.9,7.5,19.6,8.8
"Energy extraction",1.6,0,0.7,0.2,8.3,0.8,2.2,2.8,264.9,35.8,1.3,6.9,32,2.2,0.6,1.5,9.3,4.4,0.5,3.6,199.5,9.7,21.1,50.8,4.9,0.8,0.7,0.3,0.6,4.4,4.7,1.8,1.2,3.8,2.8
"Mining (non-energy)",4.3,0.6,0,0.1,5.5,0.4,2.9,8.2,6.3,81.6,2.2,149.8,280.4,11.4,0.6,1.9,7.9,1.4,0.2,14.3,21.2,222.7,13.8,10,1.5,0.5,0.3,0.3,0.8,17.1,4.1,5.2,1.3,1.6,1.3
"Mining support",2.7,4.7,2.4,0,0.6,0,0.2,0.4,0.3,0.3,0.4,0.2,0.1,0,0,0,0.5,0,0,0.2,4.3,7.1,0,0.2,0,0,0,0,0,0,0.4,0.4,0.2,0,0
"Food, beverages, tobacco",463.3,1.2,1.5,0.1,0,23.6,21.1,33.8,10.9,152.7,15.5,14,21,23.1,9.3,14,39.1,15.1,4.2,50.1,67.5,66.4,335.6,59,2335.9,21,11.6,21.5,56.5,51.4,188,114,54.6,175.1,170.4
"Textiles & apparel",3.4,0.2,0.3,0,9.6,0,15.7,10,1.4,15,10.3,3.4,5.3,7.1,3.4,5.6,11.8,28.1,2.7,103.4,13.6,17.5,62,8.2,9.4,2.5,1.7,6.2,7.5,6.8,21.1,10.8,3.9,13.6,8.6
"Wood",43.8,2.2,5.2,0.1,47.6,7.2,0,74.6,1.8,25.9,44.5,35.9,47,83,13.8,22.7,51.2,30.5,5.5,393.1,232.3,1259.2,125.9,22.2,32.3,3.3,3.4,9.8,15.5,130.9,56.1,44.5,7,22.4,10.8
"Paper & printing",13,0.7,5.1,0.1,284.9,18.8,127.5,0,3.3,163.6,55.8,34.5,18.1,35.3,15.9,22.7,51.7,19.6,4.9,39.4,29.1,47.3,282.6,45.5,89.4,773,17.3,77.3,109.9,24.2,476.9,170.7,51.3,54.1,121.6
"Coke & refined petroleum",156,11.1,28.5,0.7,68,15.2,26.9,22.6,0,213.5,39.3,56.3,202.7,18.8,11.6,27,16.6,16.5,8.6,24.1,135.5,243.7,195,791.8,47.7,7.5,5.3,20.2,17.7,44.2,121.5,119.6,101.2,165.7,72.2
"Chemicals & pharmaceutical",124.3,7.3,13.1,0.3,146.2,81.1,96.7,186.1,98.1,0,443.8,94.8,192.1,94.7,131.9,90.1,84.8,73.4,14.1,111.5,71,195.6,293.7,75.6,60.4,17.5,17.7,30.9,41.5,36.7,223.4,39.3,18.8,161.7,58.4
"Rubber & plastic",36,4.4,7.5,0.2,217.4,24.9,46.8,70.7,6,95.7,0,88.7,58.1,75.5,31.3,89.1,173.8,186.5,38.6,130.3,29.4,542.1,261.1,55.4,45.5,18.1,6.4,13.8,42.2,19.5,132,26,12.7,125.2,28
"Other mineral (non-metallic)",29.7,3.5,21.8,0.3,156.4,9.6,76,9,3.9,54.9,99.8,0,110.9,101,31.3,88.3,67.3,55.2,8.9,77,44.8,2347.8,136.8,56.5,49.8,7.7,7.2,23.4,27,96.7,100.7,69.9,7.1,31.4,14.7
"Metal (basic)",21,7.4,4,0.6,46.1,7,18.2,30.1,6.4,80.3,39.5,43.1,0,1271.7,56.7,436.6,941.8,378.9,65.8,336.2,180.7,906.7,123.2,32.4,14,4.9,5.8,7.9,19.3,40,65.7,17.5,8.5,18.9,12.4
"Metal (fabricated)",83.7,20.6,15.9,0.8,274.7,18.7,115.1,15,6.3,48.9,92.6,64,523.4,0,81.1,340.1,1352.6,436.5,70.5,416.8,58.9,1270.9,439.2,78.4,55.6,12.7,12.5,32.4,52,52.3,150,89.3,44.5,56.3,33.8
"Computer, electronics",9.8,1.8,1,0.1,15.7,2.4,4.4,7.1,2.5,10,4.3,5.6,17.3,14.7,0,35.7,32,21.1,3.1,46.6,27.9,40.1,66.2,25.1,11.3,6.4,41.4,32.5,25.8,5.3,89.1,10.6,3.8,17.8,9.8
"Electrical equip.",40.4,7.1,5.2,0.1,45.7,6.1,10.5,20.4,7.2,23,12.1,8.5,100.9,58.9,69,0,335.8,152,39,312.2,147.3,443.5,176.7,81.2,27.3,5.7,32.1,19.2,20,15.5,111.4,32.7,8.5,34.3,32.6
"Machinery & equip.",51.5,37.2,32,1.2,92.4,20.9,29.5,39.4,11.4,44,23.5,21,188.5,131.6,37.3,117.3,0,912,42.4,228.1,127.6,382.9,320.8,105.9,31.2,8.9,26.4,39.3,36.9,19.7,260.1,36.6,9.1,39.4,23.8
"Motor vehicles",3.9,2.6,2.1,0.1,10.3,2.8,3.1,3.4,0.7,4.9,3.1,2.9,13,11,3.6,24.1,145.7,0,19.5,21.7,16.2,41.3,205,63.2,5.2,1.5,2.4,15.7,9.2,6.8,53.5,9,2,7.4,7.6
"Other transport equip",2.1,0.4,0.2,0,4.4,0.7,1.4,1.5,0.9,3.3,1,1.1,3.5,2.6,1.4,3.7,11.7,3.7,0,6.5,6.2,10,24.7,26.6,2.3,1,1.5,3.9,4.4,2.1,20.4,17.5,0.8,2.8,2.9
"Other manufacturing",219.8,16.4,13.2,0.8,145.3,25.9,56,63.6,25.8,83.9,23.9,36.4,406.1,217,91.8,249.1,403.9,95.3,23.8,0,498.4,264.6,253.5,407,72.1,17.1,114.1,50.6,35,30.1,215.9,90.6,21.7,341.8,34.8
"Utilities",288.3,86.6,122.5,2.7,752.4,148.7,490.6,1246.5,11.3,1358.9,374,643,2491.6,398.2,111.5,171.2,267,181.1,48,245.8,0,428.5,954.2,1592.6,807.3,72.7,161.5,93.4,306.9,3499.8,780.8,650.8,709.8,1020.8,423.4
"Construction",198.7,21.4,42.9,1.2,93.6,20.5,275.4,169.7,93.3,256.3,120.8,284.8,133.9,287,79.6,133.4,294.7,153.6,10.2,343.5,716,0,1070.8,1318.8,185.3,69.9,70.2,125.1,295.9,4278.6,536.3,616.9,510.3,551.5,325.9
"Wholesale & retail",808.2,44.3,79.3,3.1,2771.1,486.9,619.5,656.8,362.1,2008.1,492.5,428.5,890.7,778.4,386.7,606.1,1470.6,1209.7,145,1928.6,2003.7,1878.1,0,2064.2,1401.7,369.3,331.8,480.3,552.9,347,2453.5,663.8,269.5,857.4,1094.2
"Transportation, storage",82,11.2,60.9,1.8,435.9,59.7,232.1,266.8,77.1,331.1,134.9,252.5,297.9,241,61.4,105.1,326.5,143.2,23.1,194.5,653.7,575.6,1649.2,0,196.2,127,52.8,107,425.3,215.2,979.6,302.7,116.6,227.3,223.9
"Accomodation and food services",48,4.6,5.7,0.7,98.3,15.1,42.1,41.5,7,71.1,29.9,35,57.5,75,17,34.9,101.7,48.9,17.3,88.1,214.3,250.8,600.5,570.6,0,73.8,28.9,159.3,286.9,364.5,1532.1,310,228.7,749.7,247.4
