Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.9,2.2,0,979.1,17.5,139.1,0.6,2.4,37.6,1,1,4.1,1.1,0.2,0.9,0.9,0.5,0.2,3.4,16.4,15.1,92.3,13,49.8,0.8,2.9,4.6,1.5,3.1,22.1,4.4,1.2,4.2,6.8
"Energy extraction",6.3,0,0.2,0.2,3.5,0.3,0.1,0.3,81.2,7.1,0.3,13,43.9,0.2,0,0.2,0.4,0.1,0,0.3,320,4.7,1.8,4.4,0.3,0.1,0.2,0.1,0.1,1,0.9,1.2,1,0.9,0.8
"Mining (non-energy)",4,0.1,0,0,2.3,0.7,0.1,0.1,2.3,12.8,0.4,37,361.6,7.9,0.1,1.1,1.9,0.5,0.1,0.8,2.3,51,5.7,4,0.7,0.2,0.8,0.8,0.3,3,1.8,0.3,0.2,0.6,0.5
"Mining support",1.3,1,1.4,0,0.2,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,1.2,2,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0
"Food, beverages, tobacco",233.8,0.7,1.6,0,0,9.2,0.9,2.9,7.3,15.6,3,2.2,7.3,2.3,0.4,2,2.4,1.4,0.9,2.5,10.6,21.7,48.2,16.3,315.1,2.2,2.2,2.7,6.5,5.5,20.5,20.8,6.2,15.9,49.1
"Textiles & apparel",4.2,0.1,0.4,0,5.6,0,0.3,0.6,2.7,2.2,2.1,0.5,2.9,0.9,0.2,0.7,0.9,0.3,0.4,2.5,5,7.8,18.1,4.9,4.1,2.7,1.3,0.7,0.8,1.5,8.3,9.7,0.3,10.4,5.4
"Wood",10.2,0.1,0.2,0,5.1,0.4,0,0.8,0.8,12,0.5,0.7,1.5,1.9,0.1,1.9,0.8,0.2,0.3,65.3,3,23.6,20.4,25.8,1.8,4.4,0.1,0.2,0.3,10.9,2.5,0.4,0.5,0.3,2.2
"Paper & printing",2.9,0.5,0.8,0,59.6,12.1,0.3,0,0.9,15.3,1.8,4.2,1.8,0.9,0.7,0.8,1.8,0.4,0.3,8.5,2,3.3,100.9,13.9,4.4,40.7,0.9,4.5,25,0.6,49.2,97,23.4,5.2,18
"Coke & refined petroleum",210.1,9,33,0.3,30.6,17.4,17.9,23.3,0,26,8.5,54.4,40.9,16,0.8,5,10,2.7,1.4,21.1,106,335.3,236.6,872.5,6.8,1.1,7.8,2.4,1.2,7.7,31.7,0.6,2.8,9.1,8.1
"Chemicals & pharmaceutical",74.4,2.2,5,0,25.4,25.6,3,7.6,74.9,0,15.6,3.8,14.8,6.7,0.2,3.7,1.1,1.1,0.6,15.4,7.7,12.4,25,10.5,5,2,1.4,1.6,1.4,1.3,10.6,4.8,1.4,8.6,5.5
