Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,1.7,0,0,11345.6,105.7,170.8,32.5,0,136.9,18.7,1.3,4.9,1.7,0,0.1,0.3,0.6,0.1,14.9,7.2,407.1,314.2,0.9,869,4.9,2.9,1.3,4,10.2,62.4,144.7,2.3,59.9,35.9
"Energy extraction",17.3,0,6.8,0.1,60.9,12.2,1.8,12.2,8817.3,185,6.9,27.1,60.4,3.8,0.2,1.8,2.6,4.1,1.8,3.6,812.4,34.4,66.4,39.6,61.7,4.3,11.6,1.4,5.7,7.6,19.5,16.6,3.9,35.3,27.5
"Mining (non-energy)",4,32.7,0,0,5.7,0.2,0,1.9,0,200.2,0.4,276.7,2323.6,80.4,0.3,1.2,5.3,0.9,0,8.1,0,1335,24.2,1.1,8.9,0.1,0.2,0.1,0.9,6.7,5.2,0,0,0.4,2
"Mining support",5.4,94.4,5.8,0,0.8,0,0,0.2,1.6,0.4,0.3,0.8,0.2,0,0,0,0.1,0,0,0.1,3.4,13,0.1,0.1,0,0,0,0,0,0,0.3,0.7,0.3,0,0
"Food, beverages, tobacco",2187.4,20.9,7.3,0.2,0,116.6,11.6,56.5,86.5,309.8,63.4,25.5,18,8.2,0.4,6.5,7.7,4.6,3.3,12.3,95.7,76.4,270.5,27.7,3791.3,15.1,14.4,4.3,17.8,13.9,81.2,434.6,7.5,328.1,217.4
"Textiles & apparel",146.2,8.6,3.8,0.2,31.2,0,77.3,73.8,7.3,90.1,65.4,6.4,5.6,7.7,0.7,7,4.7,29.6,5.5,135.3,26.3,68.9,215.4,13.2,70.7,11,7.3,3.4,16.8,3.8,39.1,318.3,119.8,107.7,37.3
"Wood",35.6,1.1,27.1,0,2.5,0.9,0,0.6,0.5,17.1,5.1,4.7,2.4,9.7,0.3,5.6,7,7.4,1.3,178.5,8.1,703.9,50.5,0.8,16.7,6.1,4.1,1.7,2.2,45,24.2,5.2,0.4,4.7,12.6
"Paper & printing",62.6,24.6,6.9,0.3,496,98.8,11.8,0,44.5,148,96.2,98.3,8.5,13.9,1.5,22.1,34.6,12,3.4,37.8,86.9,61.5,385,61,139.8,388.8,96.5,38.5,147.2,19.1,233.7,259.8,316.6,130.9,78.2
"Coke & refined petroleum",332.8,248,250.3,10.8,196.2,81.6,6.2,57.9,0,761.9,71.9,742.1,148.6,31.4,1.3,29.5,20.9,15.9,13.3,37.8,182.7,569.5,805.6,5740.5,170.3,31.3,125.7,30.2,129.9,56.4,266.8,1198.7,73.2,191.6,90.8
"Chemicals & pharmaceutical",807.9,253.2,65.1,0.2,300.9,190.8,22.7,167.6,1013.5,0,734.5,180.8,70,40.9,3.2,58.2,31.4,28.8,11.3,63.8,168.4,563,153,49.8,92.6,30.7,16.7,5,14.9,25.2,92.1,47.9,16.6,355.4,50.8
"Rubber & plastic",103.3,15.5,24.6,0.1,546.8,112.2,12.2,113.9,41.3,130.5,0,34.2,19.6,30.4,3.9,69.5,53.6,74.9,16.6,67.2,58.9,1107,223.3,334,67.7,27.3,53.5,6.9,18.7,14,71.6,55.2,18.1,73.8,22.5
"Other mineral (non-metallic)",45.9,11.2,14.1,0.1,197.6,13,1.5,9.5,21.4,91.6,24.6,0,34.2,27.3,3,29.8,29.6,22.9,4.9,21.9,84.2,7864.8,117.2,13.8,53,4.5,17.2,2.4,8.1,36.3,38.5,44.6,3.1,43.3,15.6
"Metal (basic)",11.3,129.7,8.8,2.6,25.9,8.3,1.4,10.4,18.4,14,19.4,42.5,0,286.5,2.3,123.3,168.6,69.4,31,77.3,62.9,1524.4,25.4,13,5.4,1.4,4.9,0.5,1.2,1.7,7.6,9.6,5,9.2,2.8
"Metal (fabricated)",27.9,0.6,4.9,0,74,11,3.9,2.8,35.5,17.9,16.8,1.9,22.2,0,1.1,23,54.5,24.5,6.5,20.6,20.5,639.8,35.3,2.8,12.5,2,5.9,1.8,2.9,6.4,20.3,35.6,1.2,8.5,4.9
"Computer, electronics",0.1,0.1,0,0,0.3,0.1,0,0,0.2,0.2,0.1,0.1,0.1,0.1,0,0.3,0.2,0.1,0,0.1,0.2,1.7,0.3,0.1,0.1,0.1,0.9,0.1,0.1,0,0.2,0.3,0.1,0.3,0.1
"Electrical equip.",8,9.5,0.9,0.1,13.6,4.7,0.6,2.3,9.3,11,6.1,3.5,6.1,6.7,0.8,0,10.8,6.2,2,4.6,17.5,123.4,13.8,6.6,5.4,1.3,13,1.3,1.2,1.5,5.6,7.6,3.5,6.2,2.5
"Machinery & equip.",23.4,21.9,24.1,3.7,60.1,20.1,1.8,11,18.3,25.7,16.5,25.8,22.7,24.2,1.4,28.3,0,42.5,15.6,22.1,5.7,296.3,115.2,44.9,14.3,5.2,20.9,4.5,7.5,5.3,39.6,125.2,2.8,18.8,9
"Motor vehicles",12.9,15.9,5.2,0.3,2.6,1.5,0.6,1.1,6.1,2.6,4.3,5,0.5,2.6,0.1,7,13.3,0,4.7,3.8,19.1,35.3,100.8,89,3.4,1.6,6.6,1.1,3.3,1.5,19.1,30.9,4.6,4,3.5
"Other transport equip",1,3.6,0.1,0,0.4,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0.1,3,0.2,0,0.1,0.2,1.4,5.2,36.8,0.2,0.1,0.2,0.1,0.1,0.2,3.2,90,0.4,0.5,0.6
"Other manufacturing",29.5,25.4,5.5,0.2,41.9,43.3,3.9,7.5,15.5,23.7,13.7,6.5,8.9,6.9,0.9,10.6,5.4,12.5,2.3,0,18.7,290.4,70.9,28.2,27.3,10.8,27.6,5.1,22.2,20.8,50.2,92,103.2,283.1,34.1
"Utilities",120.6,43.7,124.9,6,672.7,189.9,25,768.7,168.4,468.6,232.2,494.6,475.3,95.3,3.7,40,141,38.3,12,50.2,0,153.4,774.5,517.5,516.8,86.3,327.4,54.5,208.7,385.2,359.7,1234.5,292.9,746.1,263.6
"Construction",76.1,236,0.7,2.5,4.9,2.6,0.3,0.4,1,42.6,0.8,9.4,14.5,14.9,0.7,10.5,1.5,6.3,1.8,15.5,788.6,0,287.6,94,91,22.4,245.9,15.7,117.1,705.5,332.9,972.2,311.4,181.5,92.5
"Wholesale & retail",1173,347.9,172,4.7,3927.6,757.4,117,413,1142.2,1012.4,463.4,394.6,188.5,125.9,8.8,125.6,158,199.6,105.9,228.1,439.5,2339.6,0,1542.7,1600.4,202,326.5,78.7,167.3,90.3,460,988.8,385.2,553.3,261.5
"Transportation, storage",451.7,3257.5,132.4,8.8,1126.3,258.2,55.4,204.5,386.6,324.4,228.9,437.8,118.7,68.1,4.1,56.9,104.9,52.1,12.8,75.5,269.5,1466.2,2449.2,0,94.5,123.6,259.4,55.6,232.6,30.3,364.1,903.7,304.3,210,122.9
"Accomodation and food services",71.5,130.8,18.1,3,105.6,34.8,4.9,24.2,43.6,57.7,25.8,38,13.4,17.8,0.8,12.1,19.9,9.7,8.6,17.7,205.6,412.6,569.3,380.3,0,80.4,99.1,90,273.1,99.7,734.4,669.5,574.5,866.1,189
"Publishing, broadcasting",7.9,4.7,1,0,45.1,7.9,1.1,51.8,11.4,14.7,6.5,6.9,1.3,1.6,0.2,2.4,2.9,1.3,1,3.6,11.3,24.5,68.7,13.9,19.5,0,117.4,13.5,23.3,3.7,149.3,46.3,59.9,17.9,59.1
"Telecoms",32.1,51,9.4,0.5,42.4,22.1,1.8,29,32.3,20.7,11.3,17.6,13.2,7.4,0.6,5,10.9,4,1.8,6.4,63.9,106.6,237.9,97.7,56.7,80.7,0,55,169.8,28.4,154,245.1,95.1,94.6,54.2
"IT and information services",4.4,41.5,2.9,0.1,22,8.1,0.6,6.2,26.3,16.6,4.4,6.8,2.5,3,0.6,4.3,4.5,2.8,1.2,3.7,47.3,58.3,108.6,49.9,19.3,39.5,178.5,0,152.7,10.3,113.1,152,55,47.8,31.8
"Finance & insurance",685.5,1055.5,119.1,5.1,324.5,155.8,17.7,87.4,460.3,187.3,87.7,138.1,87,53.9,4.1,48.6,64.3,37.1,21.1,53.9,623.6,1280.6,1304.1,726.8,297.7,108.2,425,102.5,0,1020,631.7,910.1,425.9,497.7,179.5
"Realestate",100.5,287.5,15.9,0.5,171.1,126.5,6.4,44.7,130.2,58.5,48.6,49.7,8.8,29.7,1.9,21.9,25.1,24.5,9.2,36.6,249.9,848.8,2151.1,386,931.4,139.9,674.9,130.1,509.7,0,699.8,893,865.5,613.2,321.3
"Other business services",391.1,1883.5,132.5,10.1,1116.8,183,27.9,150,624.9,516.8,164.1,269.1,65.9,114.8,14.5,119.2,133.4,91.7,43.2,138.1,1176.9,4695.1,2902.8,1015,794,435.6,1555.8,422.8,1171.6,382.4,0,1835.9,1134.6,1048.9,611
"Public admin,  defence",13.1,32.4,9.4,0.5,19.2,6.9,0.7,17.9,30.2,20.6,6.3,12.9,9.3,4.6,0.3,2.3,4.6,2.9,1,3.7,24.9,59.6,176.4,103.1,35.4,14.8,44.2,8.7,42.3,23.5,62.9,0,30.9,70.5,24
"Education",0,0,0.2,0,0,0,0,0,0,3.2,0,0,0.3,0.7,0.1,0,0,0.6,0.1,0.2,7.6,0,14.1,1.4,1.1,3.8,11.7,4.8,17.2,1.2,22,39.6,0,19.4,6.7
