Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,13.1,0.9,0.1,13037.3,80.9,56.9,23,15.3,86.5,97.7,8.8,24.9,16.2,34.5,10.5,11.7,2.6,9.1,23.3,77.5,179.2,241.8,78.3,329,2.7,5.8,6.8,8.1,122.3,118.6,191.6,9.8,202.7,83.1
"Energy extraction",200.3,0,110.1,18.8,86,0.9,2.7,32.4,7205.4,777.9,8.1,43.9,36.9,14.6,6.1,3.7,7.8,4.9,4.3,6.2,764,13,120.4,51.3,65.9,1.8,5.1,1.8,23.3,34,46.9,45,76.5,53.1,81.6
"Mining (non-energy)",13.9,0,0,0.1,4,0.2,0,1.8,0,53,0.6,146.6,49.6,0,0,0.3,0,0,2.4,6.6,0.8,374.6,3.1,0,0,0,0,0,0,20.4,1.6,20.8,0.3,0,0
"Mining support",0,28,2.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",4253.6,8.5,0.5,0.1,0,25.5,3.1,83.5,321.7,903.1,55.2,9.1,11.9,50.8,82.8,10.6,70.5,10.4,18.8,41.5,529.5,171,475.3,81.6,2863.7,14.8,17.6,33.1,112.4,149.6,466.3,218.4,79.8,813.4,464.8
"Textiles & apparel",20.7,0,0.3,0,13.4,0,0,102.7,0,20.7,84.1,21.1,1.4,34.3,1.3,5.1,21.5,20.7,28.1,174.9,3.6,136.2,24.6,7.1,17.6,1.3,0,0,4.1,6.5,24.5,16.7,3.3,58.5,22
"Wood",26.4,1.6,0.4,0,37.5,3.4,0,17.8,3.7,31.4,13.6,14.4,6.6,39.4,10.1,6.1,26.3,7.3,31.5,208.7,19.6,896.9,40.4,35.9,7.8,3.4,3.8,4.6,2.6,198.2,40.2,18.8,8.2,10.4,21.5
"Paper & printing",22.1,4.2,1.7,0,642,22.1,13.5,0,18,138.6,63.7,32.4,10.9,102.3,74.4,15.2,129.6,24,17,89.1,86.7,179.1,636.8,165.2,87.5,764.8,67.6,231.9,178.8,224.8,950.8,265,234.1,382.8,126.8
"Coke & refined petroleum",641.8,7.8,28.8,1.4,78.4,33.1,9.3,26,0,4812.4,62.1,95.3,400.2,107.8,14,237.4,44.6,32.5,84.6,117.2,669.4,2214,829.9,7699.5,53.9,4,7.1,116.5,66.4,622.9,1150.4,265.3,164,66.5,236.6
"Chemicals & pharmaceutical",644.9,15.4,13.6,0.5,352.6,216.1,58.1,373.3,1021.9,0,1740,275.9,311.9,191.8,165,135.4,69,58.2,201,234.6,290.9,1335,420.7,723.3,41.2,22.1,13.1,33.1,88.4,420.3,726.1,154.2,96.4,343.9,221.7
