Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0.6,1.1,30074.1,1422.6,483.5,184.6,0,666,650.1,2.3,0,1,0,0,0,0,1.2,151.2,0,111.8,0,3.5,2262.1,3.5,1.1,3.3,9.1,29.2,76.1,0,155.9,98.1,86.7
"Energy extraction",0,0,0,61.1,23.2,10.5,0,27.8,10204.5,1253.2,0,167.3,667.1,0,0,0,0,0,0,8.5,3487.7,0,0,11,0,5.6,10.1,1.1,0,92.7,26.9,0,0,67.3,0
"Mining (non-energy)",12.8,4.4,0,1.5,4.3,1.6,0,8.6,0,160.4,5.1,422.6,217.2,3.4,2,1.9,4.2,1.5,1.3,30.6,0,224.4,0,4.4,0,0,0,0.1,0,11.4,1.3,0,0,0.1,0
"Mining support",177.2,473.9,30,0,11.5,0,1.7,5.8,5.3,5.6,25.5,7,0.8,0.2,0,0,4.7,0.2,0,4.8,34.5,85.6,0.2,5.6,0,0,0,0,0.1,0,2.1,57.5,4.6,0.1,0.1
"Food, beverages, tobacco",6243.1,0,0,0.4,0,439.3,0,77,17.5,643.1,48,26.2,0,0,0,2.5,0,0,0,47.8,0,0,1494.7,80.1,9663.3,20,3.7,21.3,84.7,56,103.8,0,335.2,486.2,135.7
"Textiles & apparel",170,0,0,6.6,87.5,0,0,135.5,0,273.4,831.3,98.1,8.2,0,136.3,50.6,63.2,632.4,108.1,1422.5,37.9,144.9,1996.5,284.2,413.1,61,21.4,13.9,184.6,40.9,207.4,0,147.8,542.4,684
"Wood",13.8,0,0.6,0.2,8.9,5.7,0,27.6,0,11.9,20.7,17.9,0.5,7.7,8.2,4.8,6.9,27.7,7.3,380.7,0.8,244.6,52,0.1,7.2,3,0.6,0.8,1.3,41.7,5.6,0,0,1,22.3
"Paper & printing",39.2,2.4,0.7,0.4,411.1,115.9,46.9,0,7.7,176.2,235.3,117.8,6.2,24.3,100.1,40.8,42.2,83,5.4,158.9,16.9,43.3,907.7,61,134.2,1229.7,32.8,38.3,212.9,53.6,134.1,404.1,200.8,67.6,186.8
"Coke & refined petroleum",2171.6,547.3,155.6,39.8,498.8,334.2,135.9,183.6,0,2796.9,494.7,962.9,547.8,138.1,205.6,131.9,178.3,296.5,45,404.1,1259.7,1344,4018.6,12800.5,360.6,94.1,98.6,67.9,403.2,409.8,496.2,0,354.8,230,496.4
"Chemicals & pharmaceutical",769.8,54.6,18,3.7,179.4,779.2,115.2,269.2,213.5,0,3840.1,300.8,135.9,101.7,297.3,150.4,91.3,279.2,51.5,335,79.2,215.4,324.7,70.3,57.1,63.2,2.4,3.2,14.9,62.2,64.2,0,66.1,160.3,235.2
