Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,2.4,1.5,0.7,1634.2,120.4,79,46.3,1.1,56,12,1,2.6,0.6,0.6,2,0.8,0.6,0.3,12.4,3.3,18.5,59.6,5.5,198.9,1.4,0.2,0.1,0.5,1.4,5,99.5,6.8,52.5,10.1
"Energy extraction",7.2,0,0.8,22.6,6.3,2.5,0.2,4.4,605.6,88.8,2.9,9.9,14.1,0.8,0.6,2.8,1.1,3.7,0.5,1,111,3,7.8,12.7,12.2,0.5,1.7,0,0.5,1.7,1.2,13.3,2,36.7,8.5
"Mining (non-energy)",8.7,7.6,0,4.6,1.9,2.2,0.2,4.3,1.7,89.6,0.6,170.5,53.8,1.8,1,3.4,2,0.4,0.5,7.1,4,162.3,3.4,2.8,0.1,0,0.1,0,0.1,3.2,0.5,22.3,0.2,0.7,1
"Mining support",27.6,250.6,25,0,1.5,0,0.1,1,0.8,1.1,1,1,0.2,0,0,0,0.7,0,0,0.4,4.6,20.8,0,1,0,0,0,0,0,0,0.2,9,0.4,0.1,0
"Food, beverages, tobacco",568.6,0.1,0.3,0.2,0,55.9,0.7,6.3,1.3,55.6,1,1.8,0.3,0.3,0.6,0.9,0.5,0.4,0.3,2,3.8,6.3,40.8,5.3,769.1,2.4,0.6,0.2,1.4,1.3,4.1,224.3,15.5,316.4,43.4
"Textiles & apparel",8.7,4.1,1,0.8,3.2,0,1.4,6.1,0.4,11.5,7.9,3,0.4,1.3,4.5,6.1,2.1,15.3,2,32.8,2.5,10.9,21.4,7,11,2.8,0.9,0.2,2.2,0.3,2.9,68.8,2.6,112.8,13.5
"Wood",4.5,2.4,1,0.4,1.8,2.8,0,7.8,0.2,3.7,1.3,4.1,0.3,1.9,2.1,4.4,1.7,4.4,1.5,54.5,1.8,97.4,5.4,1.8,2.3,1.1,0.4,0.1,0.2,7.8,1.1,6.3,0.9,2.1,3.5
"Paper & printing",0,0,0,0,0.3,0.2,0,0,0,0.2,0,0.1,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.3,0.1,0.1,0.7,0.1,0,0.1,0,0.1,0.9,0.1,0.7,0.1
"Coke & refined petroleum",55.6,31.6,16,5.8,8.8,10.3,1.5,4.8,0,74.2,2.6,18.4,17.3,2.8,4.4,10.2,3.8,4,1,4.6,22.9,44.7,33.1,222.2,9.7,2.3,5.7,0.8,5,3.5,7.1,102.4,4.5,51.3,8.7
"Chemicals & pharmaceutical",24.1,4.9,2,0.6,3.9,21.3,1.4,8.1,4.9,0,22.1,6.3,4.8,2.2,7,12.8,2.1,4.1,0.9,4.3,2,7.9,3.1,1.6,1.4,1.2,0.2,0,0.2,1.1,1.2,10.9,1.1,159.2,3.3
"Rubber & plastic",1.7,2,0.8,0.3,5.8,5.4,0.4,2.2,0.3,5.1,0,1.9,0.8,1.3,7.6,13.2,3.6,10.3,0.8,3.9,0.9,14.8,5.3,4,1.7,0.4,1.2,0.1,0.3,0.5,0.7,4.7,0.3,8.6,1.1
"Other mineral (non-metallic)",7.9,7.6,11.5,2,16,4.7,2.8,1.2,0.5,13.1,4.4,0,8.3,6.2,31.5,29.2,7.2,16,2.1,6.8,3.8,495.2,11.3,4.6,7.3,0.6,1.7,0.1,0.7,7.3,1.9,23.8,2.3,29,3.6
"Metal (basic)",0.8,15.1,0.6,4.5,0.4,0.2,0.2,0.8,0.3,0.9,1.9,6.6,0,73.4,15.7,81.8,56.2,49.6,10.1,22.9,3.4,129.3,2.2,1.4,0,0.1,0.2,0,0,0.1,0.3,2,0.1,0.9,0.8
"Metal (fabricated)",2.5,7.4,1.1,0.7,4.6,2.4,0.8,0.8,0.5,2.7,1.4,2.2,5.1,0,7.6,16.7,13.8,12.7,2,4.9,1.7,35.8,3.1,2,1.2,0.3,0.5,0.1,0.2,0.8,0.8,11.9,0.4,3,1
"Computer, electronics",0.3,1,0.2,0.2,0.2,0.5,0.1,0.7,0.1,0.7,0.3,0.4,0.1,0.6,0,22.4,4.1,4.9,0.6,2.1,0.9,4.4,4,1.8,1,1.9,21.6,1.7,1.5,0.2,1.7,23.1,1.1,39.7,4.4
"Electrical equip.",1,3.1,0.6,0.3,0.8,1,0.1,0.5,0.2,1.6,0.6,1,1.9,1.8,42.1,0,13.5,17.3,2,3.3,4.2,37.4,5.4,3.8,1.5,0.8,9.2,0.5,0.5,1.2,1.3,11.7,0.8,8.6,4.2
"Machinery & equip.",6.4,17,4,2.9,1.7,3.9,0.5,2,0.7,2.3,1.1,2.9,3.1,2.5,6.3,12,0,14.5,3,3.1,2.4,16.9,4.3,3.7,0.5,0.5,1.2,0.2,0.4,0.4,1.3,32,0.6,4.7,1.4
"Motor vehicles",1.5,1.2,0.8,0.4,0.2,0.6,0.2,0.2,0.1,0.6,0.5,0.7,0.2,0.6,1.3,6.5,4.2,0,0.7,1.2,1.4,2.5,13.6,13.4,0.5,0.3,0.8,0.1,0.4,0.2,1.5,13.4,0.2,2.6,1
"Other transport equip",0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.3,0.1,4.8,0,0,0,0,0,0,0.2,15.8,0,0,0
"Other manufacturing",2.8,3.3,0.4,0.4,1.1,1.6,0.2,0.9,0.3,1.2,0.3,1,2.1,0.6,2.1,2.9,1.6,1.4,0.3,0,1.3,3.3,1.5,4.9,0.9,0.5,1.9,0.1,0.4,1.8,0.6,8.4,0.6,24.1,1
"Utilities",14.3,21.6,5.4,2.1,11,15.8,1.7,14.1,3.6,23.6,4.8,13.9,30.2,5.1,7.5,9.9,5,5.5,0.8,3.5,0,11.8,20.8,15.8,17.7,3.7,8,0.9,4.8,15.1,4.7,142.2,11.3,127.2,13.1
