Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,44.6,0,10.2,56300,2255,3524.8,1392.3,0,448,645,3.8,0,13,2.7,0,0,0,6,149.7,10,501.4,1121.7,55.5,5171.8,12,1.9,3.5,4.3,10.8,56.5,195,92.6,89.4,331.3
"Energy extraction",0,0,75.3,630.7,402.3,171.8,37.9,337.2,25883.4,914.3,153.2,239.8,2034.9,68.4,17.9,0,0,0,0,7.6,4104.8,0,259.9,51.6,19.1,6,12.6,1.6,8.9,12.6,27.4,0,0,108.5,258.8
"Mining (non-energy)",0,0,0,572.8,534.5,0,0,0,0,5742.4,28.6,4653.1,6872.3,813.4,58.8,0,140,0,2.9,1.8,223.9,0,619.9,1.1,0,0.3,4.8,2.9,0.7,184.6,52.8,0,25.9,8.4,36.9
"Mining support",938.5,4073.5,250.3,0,59.8,0,4.8,25.1,49,9,73.9,3.3,3.5,1,0,0,23,0.2,0.3,4.3,59.7,895.6,0.4,14.3,0.1,0,0,0,0.2,0,3.4,22.1,6.7,0.4,0.3
"Food, beverages, tobacco",5683.2,0,0,1.5,0,429.9,10.9,62.1,0,308.2,27.7,2.4,0,3.8,4.9,1.1,0,0,0,9,13.1,111.1,574.4,52.4,13132.5,16.1,4.2,3.8,30.8,6,28.1,271.5,0,249.8,1390.9
"Textiles & apparel",244.4,11.8,9.2,25.1,47.7,0,45,148,0,163.8,661.5,9.4,0,60.7,93.9,21.5,54.6,223.3,65.6,346,31.5,384.6,615,161.4,374.5,9.2,21.8,8,24.5,4.9,66.1,283.7,58.9,294.1,1826.9
"Wood",126.4,0,0,7.5,83.2,67.4,0,233.2,0,35,128.4,17.8,0,89.1,66.6,22.2,71.4,83.8,52,726.3,5.8,5475.3,150.7,28.6,65.2,15.1,5.8,3.7,1.6,67.7,20.5,20.3,17.9,5.4,287.9
"Paper & printing",125.7,45.7,9.1,3.7,1499.3,283.8,75.4,0,0,213.1,380.1,30.3,5.5,74.4,215.9,49.6,115.5,56.1,24.5,82.2,70.3,265,702.6,112.4,355.8,3089,100.4,55.5,380,18.4,117.4,225.5,185.3,93.2,618.1
"Coke & refined petroleum",7999,3894.2,1349.7,511.9,1896.9,1132.2,307.2,670,0,3382.3,1115.9,348.3,721.9,580.2,607.4,223.3,671.9,326.7,589.1,319.3,1525.4,10938.3,4275.7,18611.9,1487.7,336,345.7,122.8,904.9,174.5,579.3,1425.5,400,422.9,3296.9
"Chemicals & pharmaceutical",1923,444.2,117,32.2,515,1835.8,176.2,698.4,1029.7,0,5846.8,73.3,141.3,288.2,594.9,171.3,233.2,206.8,167.7,162.1,89.2,1200.5,269.3,81.9,109.5,142,5.9,4,26.4,25,60.5,92.6,57.4,650.1,610.9
"Rubber & plastic",253.4,0,0,31.5,1216.4,570.5,81.8,326.2,92.1,307.1,0,37.7,43.4,273.6,1089.3,299.1,677.5,882.8,406.4,249.7,36.5,3806.4,752.1,365,289.1,70.1,74.8,11.4,49.3,19.1,60,67.9,27.2,66.2,744
"Other mineral (non-metallic)",0,0,0,14,216.6,2.9,44.6,0,0,66.5,155.7,0,0,104.6,354.2,51.8,104.3,107.6,36.6,35.4,16.7,9856.3,123.2,15.1,80.8,5.4,8.5,1.7,3.1,22.2,12.3,26.9,16.6,17.2,92.5
"Metal (basic)",0,0,0,47.4,24.8,7.6,2.5,85.5,0,0,0,18.3,0,2623.5,781.4,713.7,1895.4,683.5,667.5,317.2,26.4,4255.6,86.6,0.1,0,2.6,8.9,0.2,0,1.3,4,0,0,2.6,320.8
"Metal (fabricated)",186.3,0,39.5,35.2,424.5,128.3,91.5,62.3,94.5,80.1,324.2,22.8,130.5,0,570.7,198.1,1346.2,569.4,358.8,195.4,62.6,4773.7,238.8,81.5,105.4,22.7,16.1,7.6,21.3,20.1,37.1,90.3,20.3,13.7,382.4
"Computer, electronics",0,15.7,0,5.7,10.7,13.9,4.3,22.4,0,8.5,29.1,2.1,0,22.8,0,139.6,232.9,121.7,83,47.4,15,287.8,161.7,34.5,43.6,67.7,424,79,87.6,2.1,42.8,80,23.6,87.5,917.6
"Electrical equip.",2,39.7,10.3,1.7,11.1,0,2.9,6.1,26,6.4,27.4,1.9,11.6,39.8,544.8,0,786.9,464,119.6,41.1,27.7,1149,46.7,37.6,18.9,2.4,34.3,4.4,5.6,3.3,6.8,19.2,7.4,4.2,1031.9
"Machinery & equip.",55.1,135.3,25.6,23.6,45.3,34.8,5.9,20.5,17.2,12.8,86.2,14,8.6,43.6,60.4,27.9,0,162.8,70.7,26.7,15.2,274,57.9,20.5,0.8,6.2,7.2,2.1,6.5,1.5,10.1,33.8,3.9,3.7,83.4
"Motor vehicles",0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.7,46.4,44.2,0,1942.7,19.1,0,24.3,30.6,7.5,7.3,8.3,86.8,0,0,17.7,259.3
"Other transport equip",4.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0.1,0,15.2,75.2,0,0.2,0.1,0.1,0.1,0.2,3.2,62.5,0,0.3,53.3
"Other manufacturing",39.6,37.8,4.9,3.6,25.6,14.7,4,12.6,10.8,6.5,13,2,7.7,12.1,29.3,6.5,30.1,11.9,4.5,0,9.7,81.5,18.9,41.5,12.3,7,12.2,1.5,7.9,7.9,5.3,11.8,4.7,15.7,37.8
"Utilities",630.1,1051.7,310,58.8,757,594.9,107.5,487,397.2,417.8,607,90,297.1,247.3,343.9,72.2,278,154.9,116.1,76.3,0,589.9,689.7,376.1,853.9,140.7,169.9,31.3,236.8,164.2,90.7,440.2,322.1,265.5,1038.9
"Construction",34.6,38.2,23.2,4.2,8.3,8.6,2.9,7.4,10.5,7.1,11.3,1.8,3.3,9.8,13,2.9,10.2,4.6,3.1,3.8,26.4,0,57.1,39.3,24.9,5,23.5,2.2,29,66,13.3,75.3,19.4,14.3,57.6
"Wholesale & retail",5150.7,1669.8,629.9,264.1,12948.6,5360.9,721.3,1251.9,3630.3,1996.3,2306.3,497.4,826.3,876.9,2066.6,396.3,1040.8,2122.4,679.6,482.6,761.4,7243.3,0,4725.5,3627.4,2152.5,785.7,291.5,629.4,106.2,718.3,724,224.1,522.9,4534.6
"Transportation, storage",1508.8,1705.6,654.2,185.5,3054.8,1387.9,375.1,892.9,1860.9,987.1,1160.8,359.5,439.2,588.6,1116.6,222.8,779.1,606.1,367.1,258.8,396.9,3564.8,6235.1,0,733.1,916.8,384.8,134.6,1055.6,55.7,439.7,934,353,238.6,2297.3
"Accomodation and food services",282.9,150.3,26.9,90.8,469.2,314.3,70.2,214.9,70.1,186.3,323.6,26.9,44.5,219.8,274,62.5,288.2,133.2,262.7,99.8,153.8,1786.6,1869.9,1524.2,0,579.3,167,239.7,1378.3,217,623.1,1024.6,635.8,1172.5,2055.1
"Publishing, broadcasting",22.2,12.6,3.1,0.7,182.1,11.2,5.9,169.6,33.1,30.1,34.1,3.2,0.6,20.3,88.8,11.8,34.6,17.9,6.7,13.1,22.5,109.7,498.1,73.6,83.4,0,371.2,106.5,254.9,13.6,205.9,168.9,191.4,52.1,1003.4
"Telecoms",244.6,113,49.2,27.7,234.5,238.7,33.3,115.4,96,89,174.4,15.5,15.2,123,349.2,43.3,196.4,85.3,97.6,57.6,102.5,751.5,1239.9,575.5,416.9,915.5,0,278.5,1476.6,68.2,290.2,672.7,175.8,218.8,1654.5
"IT and information services",3.3,19.3,1.4,0.6,20.2,10.6,1.6,9.5,7.5,9.5,9.6,0.9,1.5,6.5,37.2,3.9,11.6,6.9,6,4,7.7,45.2,66.8,34.8,18.6,64.9,56.7,0,135.3,4,22.8,41.6,10.9,11.9,176.8
"Finance & insurance",1585.5,1465.6,222.4,84.9,1110.5,860.8,160.2,442,496.8,388,706.9,62.6,188.1,436.2,859.8,160.4,592.1,340.5,382.4,192.7,352.9,3692.1,2972,1682,958,533.3,479.4,176.2,0,1245.9,552.3,948.4,310.2,408.2,1988
"Realestate",73.5,101.9,5.6,2.8,128.8,138.2,16.1,71.6,36.3,32,104.4,6.1,4.2,63.5,106.6,19.4,62.7,58.6,47,36,41.2,640.9,1364.6,257,930.7,195.2,208.7,59.2,431.1,0,140.7,238.1,166.6,155.6,1276.7
"Other business services",87.2,226.3,16.6,19.2,206.1,71.2,17.5,63.8,47.9,86.9,103.6,9.1,10.3,61.4,266.9,29.3,93.5,58,62.4,36.8,47.9,682.3,438.1,223.4,209.8,164.7,109,51.4,296.3,27.8,0,111.9,46.5,60.8,453.5
"Public admin,  defence",3.5,0,0,0.4,3.5,2.8,0.5,1.8,0,1.8,2.7,0.2,0,0,0,0,0,0,1.1,0.8,0.8,0,9.8,8.6,3.4,3.9,3.4,0.8,6.3,2.4,3.6,0,4,3.1,12.4
"Education",0,0,0,0.1,3.4,2.6,0,1.7,0,1.8,2.4,0.2,0.1,0,5.6,0.7,2.2,1.4,0,0.3,0.9,6.3,9.4,5.9,1.1,2.9,3.7,2.2,13.8,0.4,4.8,15.8,0,4.9,8.8
"Healthcare, socialwork",13.1,1.9,0.1,0,22.2,1.2,1.6,5.1,2.8,14.6,8.5,0.6,0.3,4.7,8.1,1.9,6,3.8,1.5,3.3,5,25.8,36.4,29.3,11.4,12.5,9.3,4.4,48.9,1.5,10.8,304.7,38.8,0,72.7
"Arts, entertainment",132.3,484,96.3,32.4,238.5,80.4,13.4,39,34.3,26,47.5,6.1,49.1,26.4,141.8,16.2,42.3,45.7,68,33.2,59.5,815.5,691.6,306.6,241,276.5,234.9,115.3,332.1,26.9,161.9,286.1,167.2,466,0
