Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0,0,1083.3,1,0.1,0,0,1.9,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,5.1,2.1,52.5,1.8,0,0.1,0.1,0.2,1.2,3.1,3.9,4.1,4.2
"Energy extraction",0.1,0,0,0,0.8,0,0,0,0,0.2,0,0.1,1.1,0,0,0,0,0,0,0,6.9,0.1,0.3,0.2,0.4,0,0,0,0,0.1,0.1,0.1,0.3,0.5,0.3
"Mining (non-energy)",0,0,0,0,0,0,0,0,0,0,0,0.1,37.8,0.1,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mining support",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",51.3,0,0,0,0,0.4,0,0.1,0,2.9,0.1,0.1,0.2,0,0,0,0.1,0,0,0.2,0.6,1.1,14.7,3.6,123.3,0.5,0,0.3,0.6,0.3,2.3,7.3,9.5,17.6,9.2
"Textiles & apparel",6.2,0,0,0,2.1,0,0.2,0.9,0,2,0.9,0.3,0.3,0.2,0,0.2,0.3,0.1,0.1,5.3,0.5,3.2,5.5,1.3,2.6,0.3,0,0.2,0.5,0.1,1.4,2.6,2.7,5.1,1.5
"Wood",0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.1,3.1,0.2,0,0.1,0,0,0,0,0.8,0.1,0,0.1,0,0.1
"Paper & printing",0.2,0,0,0,1.7,0,0,0,0,0.3,0.1,0.1,0.2,0.1,0,0,0.1,0,0,0.2,0.3,0.5,3.8,1.1,0.7,7.7,0.8,1.1,2.1,0.6,4.9,2.7,8,2.2,2.3
"Coke & refined petroleum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Chemicals & pharmaceutical",4.6,0,0.1,0,3.5,1,0.2,1.6,0,0,2.3,0.7,8.2,0.4,0,0.4,0.3,0,0,0.8,0.7,2.5,1,0.7,0.4,0.4,0,0.1,0.1,1.1,1.2,0.7,1.5,18.3,0.9
"Rubber & plastic",1,0,0.1,0,9.4,0.2,0.1,0.8,0,0.6,0,0.4,2.5,0.4,0,0.7,0.9,0.1,0.1,1.3,0.5,8,3,1.7,0.9,0.2,0.3,0.2,0.2,0.7,1.2,0.5,0.7,1.9,0.4
"Other mineral (non-metallic)",0.9,0,0.1,0,4.6,0.1,0.2,0.1,0,0.6,0.2,0,5.3,0.5,0.1,0.5,0.6,0,0,0.8,0.7,79.5,1.8,0.7,1.1,0.1,0.1,0.1,0.2,3.9,1,0.8,1.7,1.9,0.6
"Metal (basic)",0.8,0.3,0.3,0,2.1,0,0.1,1.6,0,0.2,0.7,2.8,0,46.6,0.2,11.2,32.9,0.8,1.6,18.3,5.6,150,3.5,1.2,0,0.1,0.1,0,0,0.6,1.1,0.5,0.8,0.5,0.2
