Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,5.2,24,2.3,5204.1,48.4,162,98.2,1.9,100.6,31.9,7.5,7.4,1.6,1.1,3.5,0.3,1.2,1.9,27.4,29,47,154.7,10.2,280.4,3.1,3.4,2.3,4.1,13,43.8,91.2,67.2,33.2,15
"Energy extraction",45.6,0,8.8,46.5,31.6,2,0.2,3.2,1402.7,142.1,6.8,25.4,22.9,1.1,0.7,2,0.3,3.2,0.9,1.5,504.3,4.3,25.1,19.2,21.5,1,5.9,0.4,2.9,9.9,11.1,14.3,17.3,17,9.8
"Mining (non-energy)",2.5,12,0,19.2,22.9,1.3,2.7,0.1,0.1,320.3,0.2,427.7,667.2,195,0.8,285,3.2,1,2.3,2.4,2.9,792.6,31.7,12.4,3.6,0.4,1.2,0.6,1.2,25.4,10.9,364.3,4.1,1.1,3
"Mining support",200.4,280.5,237.7,0,12.9,0,0.2,1.2,3.2,3.2,3.9,3.5,0.2,0.1,0,0,0.3,0,0,0.6,22.6,47.9,0.1,2.9,0,0,0,0,0.1,0,3.5,15.2,5.8,0.2,0
"Food, beverages, tobacco",584,0.7,4.2,0.5,0,11.6,1.1,2.4,1.1,42.5,3.1,4,1.9,1.7,1.9,3.2,0.4,2.1,1,2.2,2.6,13.4,75.2,11.7,766.4,4.5,7.3,4.4,10.4,3.9,23.4,79.9,33.4,47.8,49.8
"Textiles & apparel",13.9,0.9,4,0.4,9.4,0,0.9,2.1,0.2,25.8,15.3,0.9,0.4,0.6,0.2,1.6,1,1.2,1.9,33.2,0.4,2.9,35,4.3,8.9,1.4,1.3,1.2,3.5,0.7,7.8,39.3,8.8,13.1,5.1
"Wood",1.2,1.6,0.2,0.6,6.5,1.6,0,4.3,0,5.8,2.5,3.7,0.2,6.3,0.1,2.1,0.3,1.7,2.3,41.1,0.2,145,14.3,2.4,3.4,1.8,1.3,1,0.9,22.3,8.2,0.1,5.8,1.3,2.9
"Paper & printing",16.6,0.6,7.8,0.3,113.2,10.6,0.2,0,0.2,31.4,5.1,11.8,0.5,1,6.1,4.1,1.1,1.7,0.4,3.4,3.7,1.1,46.3,6.8,15.3,25.2,7.5,8.8,22.4,4.1,30.3,25.4,32.2,15.5,4.9
"Coke & refined petroleum",313.5,21.3,144.1,11.8,42.2,8.4,0.3,4.7,0,118.6,4.5,106,13.4,6.9,4.6,2.7,1.4,13.7,1.9,8.3,67.1,103.3,110.2,323.4,17.5,4.3,20.9,8.7,25.9,17.2,56,294.9,35.6,22.7,9.7
"Chemicals & pharmaceutical",117.6,2.8,13,1.1,59.4,18.6,1.4,11.5,8.5,0,39,14.2,4.9,4,8.3,10.1,0.9,5,1.9,5.2,4.6,21.2,51,7.6,9.4,5.5,8.2,4.1,4.9,3.9,20.5,24.2,12.4,152,4.4
"Rubber & plastic",3.2,3.2,73.9,1.6,64.5,39.5,0.2,2,1.9,28.1,0,2.1,2,1.9,0.3,19.7,7.8,18.5,3.5,8.8,2.2,22.3,44.3,13.1,7.7,1.9,10.2,2,3.6,4.3,14.4,22.5,7.1,11.5,2.8
"Other mineral (non-metallic)",3.8,7.4,25.5,6,111.7,5.6,1,3.1,0.1,51.8,8.2,0,14.2,41.7,45.6,7.8,0.7,63.3,5.9,7.1,3,2410.5,60.1,10.8,19.1,2.6,9.8,2.7,5.9,35.9,25.1,28.8,26.3,16.9,6.2
"Metal (basic)",13.4,29.2,15.7,26.8,8.8,0.8,0.4,2.8,2.1,5.9,13.7,43.1,0,299.2,49.9,179.4,39.9,130.1,56.7,75.8,24.4,528.5,34.1,6.4,0.5,0.9,2.2,0.4,0.6,1.9,8.1,6.6,4.1,1.5,1.7
"Metal (fabricated)",1.9,6.1,3.3,3.2,21.2,3.9,1,0.8,0.2,6.2,2.2,12.6,19.3,0,10.5,14.7,5.3,14.1,7.3,12.7,4.1,99.1,14.1,3.5,2.4,0.6,2.1,1,1.2,3.7,7.1,2.1,3.6,1.8,1.1
"Computer, electronics",4.3,0.7,6,0.4,11.7,2.4,0.2,0.4,0.2,4.2,2.6,1.4,0.7,1,0,12.2,1.2,4.4,1.1,2.9,1.7,7.7,19.7,4,2.5,2.8,50.6,11.4,5.1,1.1,11.7,16.7,6.3,10.5,2.7
"Electrical equip.",1.6,0.6,0.8,0.2,4.1,0.7,0.1,0.1,0,1.9,0.2,3.2,0.7,1.2,12.8,0,0.5,11.9,1.1,2,3.5,28.9,8,1.8,1.1,0.6,8.5,1.5,0.8,1.4,3.4,0.7,1.8,1.3,0.9
"Machinery & equip.",2.2,0.4,0.9,0.2,2.1,0.4,0.1,0.1,0.1,0.6,0.1,0.4,0.3,0.3,0.4,0.4,0,0.5,0.3,0.4,0.3,1.3,3,0.5,0.3,0.2,0.6,0.2,0.2,0.1,0.8,0.4,0.3,0.2,0.1
"Motor vehicles",2.8,0.1,0.5,0.1,4.5,0.9,0.1,0.1,0.1,1.1,0.2,0.6,0.3,0.5,0.3,0.5,0.1,0,0.2,0.4,0.3,1.9,8.3,1.5,0.6,0.3,1.2,0.5,0.4,0.3,1.5,1.2,0.4,0.5,0.2
"Other transport equip",1.7,0.2,0.1,0,0.5,0.1,0,0,0,0.1,0,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0,0.1,0,0.9,0.8,8.6,0.1,0,0.1,0,0,0,1.8,16.6,0.1,0,0
"Other manufacturing",15.2,2.5,3.9,1,8.4,10.2,2,0.8,0.7,4.8,1.2,2.4,1.9,1.2,1.8,2.2,0.5,1.2,1.3,0,4.4,11.1,12.1,9.5,3.2,1.7,9,1.9,4.7,10.5,10.5,6.4,13.9,28.6,3
"Utilities",219.3,50.6,84.7,12.1,143.1,35,3.4,19.8,26.3,140,30,91.4,38.1,13.8,23.2,21.4,3.3,14.7,5,13.8,0,26.4,166,66.8,94.5,18.1,94.1,19,57.7,134.8,88.7,256.2,251,122,38.7
"Construction",9.1,1.1,2.1,0.4,9.4,1.9,0.2,0.5,0.5,3.8,0.7,2.4,1.1,0.6,0.9,1.1,0.1,0.9,0.2,0.8,7.5,0,13.8,3.3,2.7,0.9,4.9,1.2,2.5,11.1,4.9,6.8,6.4,3.6,1.3
"Wholesale & retail",650.9,22.4,124.7,12.8,984.9,188.7,24.6,32.2,16.6,229,45.6,127.3,79.4,64.8,68.8,102.1,11.7,69.2,20.8,57.5,68.6,412.6,0,214.5,149.9,70.6,229.9,100.1,74.8,42.9,229.6,218.3,71.8,97.2,45.6
"Transportation, storage",73.7,27.4,85.2,4.1,84.6,14.3,2.6,7.6,23.8,57.1,9.7,41.8,25.6,13.5,13.3,20.6,2.2,9.9,4,8.9,18.1,59.2,324.6,0,15.7,23.4,93.6,18.1,102.8,11.2,94.5,155.1,53.4,26.3,15.2
"Accomodation and food services",31,3.4,8.2,4.8,32.4,6,0.6,1.6,1.1,16.7,3.8,6.7,1.9,3.2,4.4,4.6,0.8,3.2,2.6,4.7,13.8,22.7,115.3,76.1,0,15.8,23.6,34.9,76.3,49.7,188.6,159.1,123,155.2,31.2
"Publishing, broadcasting",1.7,0.1,0.4,0,3.5,0.6,0.1,0.3,0.1,1.4,0.2,0.4,0.2,0.2,0.4,0.4,0,0.2,0.1,0.2,0.4,1.2,7.7,1.3,1,0,17.9,2.4,2.2,0.8,14.8,4.1,4.2,1.1,3.7
"Telecoms",4.2,0.3,1.3,0.2,4.4,1.1,0.1,0.2,0.3,2.2,0.4,0.9,0.3,0.4,1,0.8,0.1,0.4,0.2,0.5,1.4,2.2,17.2,13.2,2.4,4.8,0,5.4,17.6,2.3,12,19.2,5.9,4.3,2.2
"IT and information services",0.7,0.6,0.6,0.1,2.4,0.6,0,0.2,0.3,2.3,0.3,0.6,0.2,0.3,1.7,0.8,0.1,0.4,0.1,0.5,1.5,1.5,10.3,4.7,1.4,3.5,20.2,0,21.1,2.4,15.6,17.6,5.8,3.9,2.1
"Finance & insurance",299.9,41.8,67.7,8.9,104.2,31.3,2.6,7.8,15.2,69.3,17.4,31.3,16,12.9,29.2,24,3.6,16.4,7.7,17.9,57.2,92.3,351.9,142.1,54.8,28.1,130.6,55.9,0,525.3,262.2,302.5,122.2,98.4,37.6
"Realestate",14.6,4,3,0.3,15.1,7,0.3,1.1,1.3,6.6,3,3.5,0.5,2.1,4.2,3.3,0.4,3.2,0.9,4,6.5,18.4,197.5,29,56,11.1,65.1,21.6,59.6,0,81.9,88,77.3,43.9,18.1
"Other business services",113.4,39.7,39.4,12.2,138.4,18.2,1.8,6.4,9.3,105.3,15.4,28.6,4.9,11.1,53.7,25.7,3.4,16.4,7,23.8,43.2,110,360.9,135,75.4,57.2,208,105.8,224.5,88.1,0,251.3,133.9,99.9,47.6
"Public admin,  defence",75.1,0.9,0.9,0.3,107.7,1.3,2.9,1.9,0.2,5.9,0.9,0.5,0.2,0.2,0.5,0.4,0.1,0.2,0.2,1,1.4,1.7,17.4,12.4,6.6,3.2,17.9,3.4,17.9,7.5,17.1,0,14.1,16.2,3.5
"Education",5.6,1.4,2.1,0.1,8.3,1.8,0.2,0.4,0.4,3.3,0.6,1.3,0.6,0.6,1.5,1.2,0.1,0.8,0.2,0.8,1.4,3.5,14.8,4.4,1.2,2,7,4.5,10.1,1.4,15.7,28.2,0,7.1,2.4
"Healthcare, socialwork",24.4,0.6,1,0.1,27.5,1.4,0.4,1,1,31.1,2.4,3.5,0.7,1.7,3.3,3.5,0.4,2.2,0.3,3.6,6.3,8.6,51.5,30.3,7.8,7.1,27.7,15.3,82.1,7.6,62.3,98.9,9.2,0,21
"Arts, entertainment",10.9,2.7,9.8,0.8,7,2,0.2,0.4,0.8,3,0.8,1.8,1.4,0.6,2.4,1.4,0.2,1,0.6,1.4,2.7,5.3,22.9,9.5,11.6,8.9,16.9,9.2,15,3.8,25.2,28.4,18.7,25.6,0
