Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,9.6,22.1,8.1,29693,433.6,528.5,352.4,36.1,542.1,146.5,8.5,23.1,9.8,7.7,6.9,6.9,24.4,0.4,137.3,34.2,191.4,690.4,37.4,1038.2,11.4,1.1,1,13,39.6,145.4,305.2,79.8,101.4,55.5
"Energy extraction",78.7,0,24.9,521.5,234.4,14.8,4.2,76.1,34036.2,1306.4,64.3,180.2,497.1,24.1,15.6,17.8,20.6,266.9,8,24.1,3293.2,60.7,158.9,365.8,141,8.2,14.2,0.4,25,84.5,57.8,77.1,46.1,108.2,87.6
"Mining (non-energy)",53.7,23.1,0,60.6,40.6,6.8,2.5,46.9,902.4,832.5,10,1669.9,7340.5,225.2,30.9,47.6,39.5,31.4,0.9,140.7,100.2,1935.9,52.7,54.2,4.4,0.5,0.4,0.1,3,82.3,14.4,73.7,2.9,1.4,7.2
"Mining support",690.5,3985.6,1030.2,0,202,0.3,8.2,65.2,175.7,65.2,83.9,59.7,31.7,3.3,0.6,0.3,45.4,6,0.9,39.4,443.5,1550,11.9,52.5,2.3,0.5,1,0.2,6.5,5.4,40.4,192.1,36.8,3.8,1.7
"Food, beverages, tobacco",3076,4.5,7.3,5.1,0,349.8,9,73.5,70.3,847.1,30,33.6,35.5,21.4,42,18.7,16.8,96.5,8.9,39.5,28.8,151,771.8,86.7,3244.7,23.7,9.7,2.8,38.9,43.6,134.6,638.8,178.3,515.1,167.7
"Textiles & apparel",51.6,13.7,18,14.7,73.8,0,11.8,75.7,18.4,266.1,129,37.9,13.3,30.4,75.2,30.4,26.6,776.2,26.4,461.4,27.2,170.7,336.6,105.5,126.4,46.3,9.3,2.1,80.9,16.5,143.1,275.2,40.2,250.3,85.1
"Wood",30.2,10.8,23.3,6.5,49.7,16.3,0,100.8,10.6,49.7,22.6,50.3,6.4,43.1,39.8,21.9,22.3,248.9,10.1,991.8,30.2,1439,93.2,33.4,19.6,14.1,3,1.1,7.9,267.7,41.2,27.6,14.7,5.8,27.4
"Paper & printing",64.1,10,28.9,7.3,1193.7,205.5,40.9,0,57.5,543.2,145.6,177.5,32.9,76.5,279.2,104,75.7,466,26,232.5,55.9,168.5,955.3,216.1,205.9,477.8,106.1,34.3,693.8,129.6,516.2,639.4,325,236.9,168
"Coke & refined petroleum",1763.8,476.8,889.1,455.9,1059.5,205.6,82.2,254.9,0,3784.9,205.1,1005,1481.8,284.3,369.2,225.6,210.2,998.8,191.6,360.7,1710.6,2989,2420.1,17026.2,366.5,117.6,169.7,36.6,794.4,574.6,920.4,1922.9,335.2,508.5,303.5
"Chemicals & pharmaceutical",1875.5,179.8,294.1,110.7,1033.7,1062,172.8,920.3,2203.6,0,3799.8,795.9,1020.4,522,1344,637.8,274.4,2356.2,177.6,804.8,330.3,1272.9,566.1,455.3,161.6,111.8,20.3,6.3,106.5,386,404.2,403.9,171.2,1924.4,296.1
"Rubber & plastic",79.5,42.7,68.1,34.9,952,215.2,28.6,145.8,73.4,466.2,0,136.4,115,176.8,804.9,364.2,261.4,3244.2,154.8,402.3,60.8,1267.3,536.1,509.9,75.6,23,47.6,4.7,56.9,95.5,127.4,122.5,31.1,106.7,43.9
"Other mineral (non-metallic)",71.5,29.3,112.1,40.1,626.8,25.1,39.5,18.4,29,262.7,90.2,0,179.7,164.3,680.7,168,104.9,1051.5,43.4,145.4,68.5,8597.8,211.9,98.4,68,7.7,14.1,1.7,28.2,295.7,72.8,117.8,44.8,70.8,32.8
"Metal (basic)",45.5,97.4,88.9,151.7,220.2,11.2,8.2,82,85.5,152.9,91.3,191.4,0,4320.4,1514.1,2283.9,1978.8,7214.6,698.3,1390.4,117.1,4056.7,120.6,180.9,8.3,3.5,17.6,0.9,15.7,25.8,28.6,44.3,9.4,17.9,17.1
"Metal (fabricated)",102,125.6,83,70.3,753.5,77.6,50.9,61,123.5,222.2,135.6,147.2,643.4,0,768.2,463.4,902.9,3751.3,233.5,456.3,118.7,2786.9,293.4,184.7,54.1,14.3,26.1,6,48,158.1,137.6,264.7,39,42.8,38.9
"Computer, electronics",27.1,13,16.6,12.8,102.2,107.6,5.6,44.1,37.2,123.2,69.6,49.1,52.5,72.7,0,392.4,152.9,967.6,54.9,136.2,50.8,477.3,175.8,94.1,32.9,43.3,258.6,25,86.3,38.1,92.6,172.3,44.9,134.4,49
"Electrical equip.",16.5,14.8,16.3,9.9,63.5,29.4,4.7,21.9,35.2,52.2,29.9,31.1,82.5,91.5,747.4,0,182.7,988.8,59.1,104.9,82,784.1,133.5,88.9,21,12.7,194,6.3,22.9,53.3,44.8,62.4,17.9,28.2,38.5
"Machinery & equip.",49.5,37.9,66.6,34.6,88.7,21.9,7.5,26.5,34.1,58.2,26.9,32.1,72,105.4,123.8,66,0,677.7,47.3,54,40.3,288.8,89.6,59.4,10.5,7.3,12.2,7.3,25.8,23.8,38.7,125.3,11.4,18.5,12.5
"Motor vehicles",42.7,22.3,29.9,19.9,128.3,82.8,10.6,32.3,28.4,82.2,89.1,46.7,99.5,151.3,497,250.7,204.3,0,99.6,123.2,41.3,491.9,459,548.3,20.5,13.4,58.9,7.1,43.7,47.5,89.8,143.4,17.6,34,27.2
"Other transport equip",3.6,2.9,3.9,1.8,10.9,1.8,0.8,1.7,2.4,5.3,2.4,13.1,34.2,26.2,35.1,33.8,25.8,94.1,0,12.5,3.6,86,9.3,22.9,1.2,0.6,4,0.4,1.7,4.1,7.5,76,1.1,1.7,1.6
"Other manufacturing",40.6,20.8,18.3,12.9,111.8,156.2,20.8,50,34.3,97.9,46.6,46.1,91.2,66.7,131.9,65.1,60.1,355.3,19.1,0,38.2,279,87.2,123.4,23.3,14,26.7,2.9,31.5,93.5,42.8,63,13,36.5,15.7
"Utilities",218,196.5,340.6,78.9,601.7,154,44.8,295.7,374.4,749.9,169.8,412.5,838.9,180.2,315.6,111.9,133.8,724.4,56.2,137.4,0,237.4,839.2,570.6,385.4,86.3,132.7,13.8,313.4,746.4,264.5,827,395.4,461.9,200.6
"Construction",81,273.4,133.2,185,36,8.3,4.1,16,37.8,46.9,14.7,27.3,26.3,22,42.4,13.1,17.7,65.1,4.8,24.8,156.3,0,190.2,189.4,43.3,16.4,51.9,3.5,117.5,1154.6,121.3,457,74.2,77.9,38.9
"Wholesale & retail",4441.3,532.6,749.8,400.9,20066.2,2462.9,490.3,2396.1,5660.4,10134.1,2890.3,2089.3,3782.3,2461.9,6483.3,2498.2,2014.9,10544.6,833.2,2245.3,1607.4,9738.2,0,7389,2402.9,1215.5,1587.7,351.9,1974.1,1175.9,3463.2,2450.6,622.2,2164.4,1113.5
"Transportation, storage",1208.4,208.5,349.8,200.3,4656.5,565.5,134.7,579.2,2109.2,2499.4,650.5,869.1,1800.7,765.8,1462,653.1,577.9,5743.3,238.2,620.9,521.3,3044.3,1918.2,0,551.3,161.6,204.8,29.7,711.7,316.1,630.8,1044.4,206.5,433.5,207.8
"Accomodation and food services",7.5,3.6,2.6,5.6,31.4,6.7,1.6,6,6.9,21.6,5.9,7,8.6,9.3,17.2,6.1,7.5,41.7,6.1,9.8,11.9,44.3,113.1,92.9,0,14.7,9.9,5.1,80.8,54.4,173.5,97.5,37.8,103.3,27.5
"Publishing, broadcasting",11,8.4,4.6,5.3,128.1,8.2,2.1,29.8,16.8,80.9,8.3,11.8,5.4,11.8,69.2,11.5,12.1,66.4,9.6,19.4,18.6,59.1,268.8,95.9,39.2,0,119.4,17.6,159.8,35.6,275.1,127.3,75.1,40,96.9
"Telecoms",44.6,13,26,19.8,113.2,42.7,7.1,28.5,44.9,89.4,25.4,36.3,26.9,48.1,175.2,35.2,48.9,209.9,24.4,52.9,81.2,167.3,588.5,409.3,107.2,316.1,0,65.2,908.3,172.1,514.8,716.5,116.5,210.5,130.4
"IT and information services",0.6,1.3,0.5,0.4,7,1.1,0.3,1.5,2,6.5,1,1.4,1.3,1.9,11.5,2.1,1.9,11.6,1.1,2.4,3.7,8.8,20.4,14.4,3.3,6.2,11.8,0,45,5.8,23.8,23.4,4.3,7.2,4.5
"Finance & insurance",200.6,107.6,77.3,39,316.9,94.5,22.2,82.1,154.8,265.1,67.5,97.3,241.7,115.9,284.4,88.4,102.2,567.8,75.9,120.9,195.6,543.9,1014.2,698.9,160.1,88,130.2,28.6,0,2759.2,588.5,708.1,133.4,238.9,133.6
"Realestate",111.6,106.5,24.5,16.6,493.7,215,27.8,132.5,135.4,255.1,120.6,114.4,65.5,199.4,412.9,125.7,126.1,1145.7,96,257.6,236.5,1132.8,7474.4,1435.2,1386.9,348.4,651.5,112.3,2235.5,0,1878.3,2055.9,891.8,1213.7,690.1
"Other business services",596.8,657.6,179.1,280.1,3796.4,287.1,146.9,537.4,606,2416.7,529.7,752.3,419.5,953.7,4216.4,857.8,855.8,5435,486.6,1251.8,1222.5,4468.1,6993.7,4675.3,1716.3,1080,1593,449.3,6074.8,2218.7,0,3769.2,1269.3,2451.1,1244.3
"Public admin,  defence",6,4.4,3.8,2.4,9.5,5.3,1,4,10.4,15,3.3,4.5,1.2,5.8,12.4,3.9,4.4,24.3,2.8,5.8,17.8,28.4,46.1,61.1,6.9,10.9,11.4,1.7,39.1,49.4,46,0,22.9,25.2,12.4
"Education",2.9,9,5.7,0.8,12.6,4.2,0.8,4.6,7.3,17.6,3.3,4.4,2.6,5.5,25.4,5.4,5.2,32.9,1.5,5.8,9.6,13.6,46.7,39.3,2.6,12.9,13.8,5.1,96.8,10.5,80.7,160.2,0,46.1,18.2
"Healthcare, socialwork",29.3,3.1,0.6,0.3,133.2,3.6,4.6,18,18.7,205.2,17.1,17.9,8,25,53.7,21.5,20.7,126.1,5.6,40.2,43.3,80.6,253.4,265,43.2,38.5,49.7,14.2,590.2,52.1,245.5,538.9,72.4,0,132.2
"Arts, entertainment",8.5,9.6,12.8,4.6,30.6,6.5,1.7,6,9.1,20.5,4.6,7.5,15.8,6.2,30.6,6.2,5.7,42.1,4.6,10.2,9.9,45.3,88.8,62.5,44,47.5,20.2,5.3,61.4,19.2,66,72.6,25.7,73.4,0
