Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,2.6,23.4,0.2,7457.5,68.9,231.3,0.2,0.1,37.9,18.1,1.4,0.1,0.1,0,0.2,0.1,0.2,0.3,0.6,1,38,84.8,7.1,550.2,1.2,0.3,0,0.5,1.7,31.6,45.8,0.2,12.4,13.9
"Energy extraction",8,0,121.6,28.1,16,0.9,1.1,0.9,4637.1,5,0.6,149.3,477.1,0.4,0.1,0.9,0.2,1.7,0.5,1.8,1053.1,15.3,58.3,111.8,82.8,1.7,2.5,0.2,3.3,4.7,27.4,9.2,2.1,35.5,33.6
"Mining (non-energy)",24.4,5.1,0,2.6,37,0.6,0.8,55.6,0.7,158.5,15.9,418.5,1520.1,344.5,11,168,139.3,27.3,10.6,290.7,22.1,656.7,48,21.1,9.3,0.4,2.3,0.1,1.1,11.7,11.3,8.7,1.3,5.4,5.5
"Mining support",1.4,703.6,201.3,0,0,0,0,0,7.5,0,0,0,0.8,0,0,0,0,0,0,0,2.8,0,0.1,2.8,0,0,0,0,0,0,3.3,0,0,0.1,0.1
"Food, beverages, tobacco",478.6,13.6,18.7,0.5,0,25.3,1.8,21.4,9.5,67.1,25.2,6.2,3.3,3.4,0.5,1.2,2.5,1,0.5,8,5.3,28.6,85.5,41.9,1855.2,6,13.5,1.5,13.5,3.5,45.3,94.6,8.4,46.7,58
"Textiles & apparel",22.1,2.8,17.8,0.3,15.4,0,5.3,4.5,0.2,1.5,32.2,4.7,0.5,0.2,0.4,1.1,0.1,4.7,1.3,113.8,2.8,7.6,62.1,15.5,31.2,2.3,0.9,0.1,2.3,0.5,16.1,55.5,2.8,24.7,17.8
"Wood",18.2,3.8,44.9,0.3,20.8,1,0,1.9,0,8.7,0,15.7,0.4,7.8,0.3,1.4,0,2.3,2.2,300.3,1,480.8,29.7,11.9,21.2,2.7,0,0,0.3,28,20.3,12.4,10.5,2,16.3
"Paper & printing",14.1,1.5,20.4,0.2,283.6,46,8.3,0,0.1,46.4,28,24.8,0.5,4.4,1,3.2,5,2.1,0.4,30.2,12.4,32.1,235.7,57.2,101.2,287.2,100.4,9.8,125.7,8.7,227.5,257,211.2,45.6,93.6
"Coke & refined petroleum",455,184.1,452.8,8.6,220.7,54.1,12.9,45.3,0,292.9,43.2,102.2,63.8,17.7,0.9,5.2,9.3,3.3,1.8,36.3,123.1,323.2,299.3,1845.3,137.9,9,50.8,4.1,55.6,16.7,143,290.2,81.5,52.2,63.7
"Chemicals & pharmaceutical",287.1,40.9,107.2,1.4,112,149.9,17.7,106,122.1,0,368.7,55.9,41.1,31.4,2.2,11.5,11.2,5.7,3.2,58.8,12.1,109.7,49.7,21.4,22.7,6.8,2.4,0.4,4.4,8.9,49.9,31.7,25.2,58,43.4
"Rubber & plastic",56.3,7,110.6,1.8,479.3,80.8,12.1,71.7,16.7,85.7,0,40.5,11.5,31,5.4,24.1,33.2,29.6,5.3,116.9,11.6,404.1,200.1,169,95.9,5.6,0.7,1.4,9.1,8.8,61.4,50.7,19.8,28.7,30.3
"Other mineral (non-metallic)",51.9,4.3,162.2,2.5,200,1.3,0.3,2.3,1.1,68.6,39.5,0,42.1,29.3,4.6,10.9,13.8,9.6,3.4,41.1,12.6,2792.7,88.9,43.8,80.8,2.1,1.4,0.1,6.1,30.6,40.9,53.5,31.2,19.7,18.9
"Metal (basic)",9.4,83.2,139.1,6.8,19.7,1.2,0.3,31.2,6.4,19.7,10.1,41,0,657,8.3,119.5,213,54.8,25.7,335,25.3,1117.2,72,17.8,1.5,0.5,0.5,0,0.6,1.8,8.1,9.2,3.6,3.9,1.7
