Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,118.9,27.8,13.8,222790.2,2912.1,8290.1,3889.9,14.5,5203.4,220.5,19.7,156.3,36.7,2.6,3.4,21.9,15.4,14.7,883.3,118.8,1592.5,4159,58,1934.4,22.2,12.3,68,55.1,292.4,3858.6,2713.4,688.7,1666.6,1311.1
"Energy extraction",3172.5,0,6433.3,10820.6,9161.5,75.3,73,493.8,253277.9,21710.9,158,753.7,10650.8,98.4,18.6,31.9,214.9,62.1,341.9,232.6,34340.8,1017.1,695.6,5982.7,249.3,80.4,322.1,102.4,327.3,226.4,6154.4,14973.7,402.4,2243.3,2579.5
"Mining (non-energy)",592.1,2274.6,0,879.2,730.9,34.3,32,433.2,1663.6,6993.7,141.7,5768.4,17518.1,921.1,46.8,86,222.1,67,40.3,579.9,456.3,8564.5,605.9,305.9,52.4,6.4,8.1,7.6,11.3,1376.2,606.5,1225.8,33.9,135.5,177.7
"Mining support",3718.8,47439.8,9955.4,0,10986.8,4.4,8.9,19,728.7,4871.9,22.4,9.6,1265.2,86.6,15.6,17.1,61.5,79.6,128.9,18.2,587.6,143.8,37.3,36,25.7,5.9,10.8,9.9,7.8,81.7,6139.3,112.8,5.8,21.6,162.4
"Food, beverages, tobacco",31829.9,51.4,19.8,21.7,0,630.4,240.2,1818.8,529.7,9337,1743.4,230.8,294.6,359.7,197,151.4,377.2,613,368.2,483.1,455.1,1130.4,12873.6,785.1,90048.5,355.3,142.4,181.9,456.7,1203.9,3677.7,14444.3,2574.1,18572.7,5701.7
"Textiles & apparel",184.9,26.6,11.2,9.3,347.4,0,251.4,1171.5,41.5,1248.5,1022.5,140.1,56.9,74.3,56.6,31.5,355.1,1479,376.2,2129.1,105.3,648.4,2658.7,367,441,86.1,41.1,68.9,110.3,103.6,923.2,1646.3,129.7,1901,921.9
"Wood",563.8,160.3,65.1,29.3,705.7,101.5,0,4089.9,4.1,1075.4,1146.4,265.1,145.8,436.8,155.5,218.3,690.8,2037.7,654.7,13550.6,546.6,19337.9,2961.1,580.9,2855.1,255.4,108,175.9,105.3,3768.3,3598.5,2594.7,205.4,729.5,1578.7
"Paper & printing",701.2,74.8,63.7,34.9,11484.3,1794.8,571.1,0,91.2,6010.7,5256,1126.8,863.3,2661.1,645.6,870.8,1938.9,3336.9,1242.5,2468.1,1632.9,3461.8,12729.8,2943.7,6323.1,10277.5,2230.6,3177.7,5066.9,676.3,16481.5,12430.5,2547.3,9103.8,5790.7
"Coke & refined petroleum",17945.1,884.4,841.5,967,5338.1,454,906.4,5390.3,0,30877.3,1986.7,1208.9,7298.6,1454.4,242.4,1055.5,1781.5,852.2,2813.3,1551.2,10317.2,36208.5,7924.5,112376.5,3761.4,704.9,1978.6,1912,3293.7,4695.9,14833.3,100811.9,3030.5,9530.4,5790.7
"Chemicals & pharmaceutical",16756.3,999.5,351.6,321,6809.9,5590.1,2467.4,9801.7,8761.7,0,36578.6,3082.6,6743.7,6796.9,3650,2667.5,4966.7,8008.1,4590.5,4798.7,2154.7,10338.5,10093.9,4103.6,2705.6,2139.6,1035.8,681.3,861.8,5969.2,12001.7,10816.2,2552.3,58465.1,7055.5
"Rubber & plastic",1622.7,307.8,174.8,157.4,9998.2,866.2,643.6,2944.8,73,6686.8,0,857.5,1875.4,2916.5,1089,1226.6,6727.1,16908,5944.1,4434,1061.3,15850.5,12631.7,5943.6,5913.7,551.6,1369.4,608.9,828.6,2001.9,6506.9,7511.2,2374.3,9400.1,2010.4
"Other mineral (non-metallic)",125.9,122.3,180.6,170.5,3505.6,280.9,1055.9,515.1,219.8,2674.4,1785.9,0,1482.6,1197.6,266.6,905.3,1655.2,4801.1,1194.2,1132.8,610.3,34852.7,1314.6,879.8,3767.3,70.3,272,152.3,192.6,1022,2669,2932.5,493.6,3927.7,1083.7
"Metal (basic)",168.1,463.6,114,414.7,758,39.5,132.5,1200.9,171,1295.4,1118.6,941.5,0,49158,4384.9,9781.9,22147.2,21123,15033.8,9387,1461.5,26139.6,3580.5,454.6,49.3,57,259.1,20.9,33.1,367.9,605.8,540.3,88.5,326,344.5
"Metal (fabricated)",2777.5,943.4,293.3,298,9492,830.5,2713.6,5857.4,131.8,5077.4,7150.6,2432.9,10729.6,0,5310,6660.8,24406.3,31675.6,12380.8,6111.9,2597.2,54114.5,4676.5,4757,7652.2,915.4,805.4,930.5,482,2285.6,9767.6,14956.7,1374.3,2575.9,2347
"Computer, electronics",340,117.3,62.6,85.2,944.4,537.8,624,3110.6,108.1,1396,2003.5,819.1,1051.5,4093.4,0,2493.4,5796.8,10843.1,3740.8,1831.3,1035.6,6005,6472.6,1354.2,907.8,3141.9,17219.3,7589.8,2926.4,758,11505.8,20640.1,1661.1,4153.5,3915.7
