Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.7,1.8,0,23513.9,938.7,638.1,92.7,0.9,144.5,112.5,2.9,0.4,0.9,0.2,0.4,0.1,0.1,0.1,55.9,0.2,43.7,215.6,3.2,760.2,0,0,0.3,2.2,4.2,14.2,23.4,22.1,1.3,3
"Energy extraction",173.9,0,23.2,29.2,113.9,36.7,3.7,47.2,5949.3,260.2,28.3,172.2,851.5,9,1.1,3.3,2.1,6.7,2,17.2,1616.9,20.7,34.6,23.9,26,0,0,0,0,3.8,1.1,0,5.3,3.9,12.4
"Mining (non-energy)",141,0.1,0,0,35.1,0,0,29.9,0.2,343.7,8.3,965.6,764.3,49.7,0,0,0,0,0,101.3,13.1,814.2,18.5,8,0,0,0,0,0,16.1,0,0,0,0,1.3
"Mining support",453.6,90.7,64,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,2.2,0,0,0,0
"Food, beverages, tobacco",6801.8,4.1,0.5,0,0,2.7,1.7,33.9,16.7,156.4,11.3,9.1,0.5,3,0.9,1.1,0.7,0.8,0.5,20.8,2,8.9,261.1,8,3406.4,0.7,3.3,0.8,17,8.8,9.9,18.1,68.8,49.7,9.3
"Textiles & apparel",201,87.1,10.4,0,38.7,0,32,30.5,7,23.8,82.8,16.1,2.4,13.8,7.4,12.8,3.5,37.5,17.6,257.1,14.5,56.5,132.1,62,53.4,8.5,6.8,0,36.2,2.7,16.9,50.8,19.1,51.6,60.9
"Wood",83.4,0,4.1,0,22.1,42.5,0,57.1,0,15.1,20.7,24.7,1,19.4,4,10.6,7.5,0,9.6,747.6,0,521.8,29.1,9.2,10,0,1.1,0,1.6,44.5,3.4,2.7,4.9,0,7.5
"Paper & printing",151.3,34.9,10.2,1,712.5,334.7,102.2,0,0.3,110.7,126.7,80.8,6.8,33.2,26.8,47.5,19.8,28.2,9.1,154.3,31.5,58.8,331.8,68.9,86.9,198,54.8,17.2,205.3,20,167.3,74.3,127.8,23.7,90.6
"Coke & refined petroleum",2298.4,801.9,231.9,38.9,348.2,234.2,105.9,67.6,0,641.4,87.6,235,195.5,61.3,17.6,51.7,34.2,31,35.1,127.2,377.4,506.9,391.3,2315.4,90,6.6,33,7.6,94.1,36.6,85.4,93,53.6,23.1,60.3
"Chemicals & pharmaceutical",1330.9,206,44,5.7,267.5,897.3,147.7,156.6,275.7,0,1104.4,118.5,78,73.2,40.5,93.8,27.9,46.4,27.6,186.8,30.6,132,67.9,19.5,13.9,5,1.4,0.6,7.3,18.6,37.8,35.7,27.1,396.5,39.6
