Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,9.5,12.5,1.3,23256.9,63.2,4633.8,1284.3,5.7,333.5,3.5,12.9,4.8,3.1,1,1,3.6,5.5,1.6,168.9,5.8,552.5,816.4,58.6,1132.4,3.4,3.4,4.6,11.2,14.9,25,466,7.4,10.9,52
"Energy extraction",333.1,0,339.6,1016.3,320.9,6.9,44.5,247.4,21537.4,2168.7,192.2,318.2,611.9,70.5,9.8,21.3,109.4,201.7,42.7,45.3,2555.6,1009.1,641.5,1148,236,40,58.1,47.8,136,425.1,401.2,373,173.5,214,195.9
"Mining (non-energy)",47.6,134.2,0,33.6,17,0.8,6.7,32.9,22.9,377.5,11,734.2,9853.2,19.1,3.6,3.3,20.8,15.2,5.7,72.3,14.2,1566.4,82.7,108.5,9.3,7.5,9,15.1,52.4,35.8,73.4,91.8,13,13.4,12.6
"Mining support",5.6,11282,1082.4,0,2.8,0.2,1,1.2,0.4,1.8,0.8,0.9,1.5,1.1,0.5,0.4,3.3,2.4,1.1,1.3,42.3,2223.9,20.9,11.3,2.3,3.2,3.4,6.1,10.3,11.1,26,19.6,5.7,6.1,3.8
"Food, beverages, tobacco",10603.8,74.6,20.5,12,0,44,91.2,264.7,69.7,1160.3,88.6,61.8,61.7,50.3,23.7,18.1,64.8,75.7,30.1,78.8,47.4,389.7,1988.2,208.3,11572.2,50.5,64.2,96.7,201.5,266,821.2,298.4,90.9,118.3,702.6
"Textiles & apparel",13.3,1.9,0.5,0.3,9.6,0,6.1,21.7,1.7,12,29.1,5.4,1.3,18,0.6,1.9,6.1,214.6,1.1,424.2,4,115.8,47.2,7,10.6,1.4,0.8,1.2,2.7,2.5,5.7,221.8,6.6,14.7,69.7
"Wood",140.3,15,5.2,2.2,55.4,3.1,0,285.2,13,66,50.3,61.9,17.6,67.5,9.2,14.2,52.1,129.1,24.8,898.6,22.6,3356.9,216.8,81.5,25.1,17,8.7,14.1,28,31.8,69.3,99.2,45.4,15.2,23.6
"Paper & printing",85.9,31.1,26,4.8,652.1,25.6,464.6,0,21.4,276.6,174.4,113.3,44.7,86.6,30.2,33,98.5,142.9,29.3,262.5,36.6,791.9,682.2,93.4,132.8,1681.4,164.4,48.4,457.5,84.2,894.4,1065,481.1,226.6,350.7
"Coke & refined petroleum",1807.3,979.9,651.2,198.3,461.6,19.3,187.6,272.7,0,1892.6,179.2,496.7,844.2,179.1,30.3,54.5,182.2,200.8,140,149.2,459.8,3112.2,2288.1,8017,203.9,106.4,140.9,205.1,410.4,577.2,1182.8,1683.7,360.7,297.3,313.5
"Chemicals & pharmaceutical",1166.9,330.2,188.8,50.4,430.1,87.3,228.1,488.8,433.4,0,1642.5,270.1,454.1,219.7,98.6,99.1,197.6,355.3,107.9,224.1,106,1276.4,801.7,989.6,104.4,84.9,54,66,186.9,137.7,543.4,644.8,153.9,2370.4,245.3
"Rubber & plastic",108.2,99.3,67.3,1.4,448.1,15.2,82.6,194.7,25.2,256.4,0,93.3,75.8,143.9,78.9,115.3,296.5,986.7,156.8,213,15.8,1771.3,749.7,323.9,62.4,17,4.9,6.4,11.4,12.9,165.9,152.5,44,85.2,52.9
"Other mineral (non-metallic)",25.9,76.1,95.2,21,164.6,3.9,89.7,25.7,18.4,125.6,84.2,0,121.9,116.4,54.2,43.2,103.1,220,40.4,61.8,14.4,9238.4,244.8,52.7,48.7,9.2,11.5,17.6,34.8,41.4,80.5,156.5,15,56.8,22.7
"Metal (basic)",37.4,175.2,90.2,54.3,31.7,2.1,21.9,30.9,9.5,114,91.2,97,0,1906.7,67.3,309.9,1152.3,990.8,382.8,363,17.6,3313.8,87.2,47,9.5,8.2,9.7,14.3,35.2,35.2,69.7,52.7,17.3,20.3,21.3
"Metal (fabricated)",112.2,687.6,171,85.6,477.8,12.8,270.7,113.7,68.5,217.1,249.6,185.7,1117.8,0,139.2,258.5,1927.8,2013.6,458.7,381.6,40.9,7301.2,825.6,283.2,78.9,10.5,13.1,20.5,28.7,24.1,200.1,586,101.8,73.8,103.1
"Computer, electronics",29.3,74.4,9.2,14.7,31.4,1.9,10.6,71.8,9.5,20.3,43.4,6.7,24.8,92.6,0,190.8,328.6,402.2,105.7,77.1,17.4,660.5,411.9,108,14.5,261.2,711.2,542.6,93.5,48.9,451.6,662.1,186.6,321.2,142.2
"Electrical equip.",17.3,78.5,4.2,10.9,31.9,2,16.5,5.5,6.1,7.1,32.2,11.4,113,98.1,203.9,0,481.2,625.9,146.6,41.5,71.7,2029.6,190.4,119.2,5.3,8.4,166.9,92.3,13.8,13.9,107.3,28.7,52.8,45.5,69.6
"Machinery & equip.",145.7,725,241.7,129,174.9,11.2,103.4,133.2,27.2,105.5,122.3,120.4,230.8,513.3,160.7,138,0,1107,356.4,119.5,64.9,2501.9,478.7,292.8,37.9,43.2,65.3,68.1,44.8,36.1,195,206.9,42.6,92.9,76.8
"Motor vehicles",47.1,78.3,34.1,5.2,35.8,2.9,36.6,13.4,10.6,23.3,62.6,10.1,27.2,88.3,26.9,58.1,303.5,0,183.9,16,20.2,420.6,296.2,717.4,18.4,19.5,27,38.7,77.9,94.9,159.4,356.3,33.4,34.1,42.1
"Other transport equip",45.3,55.9,13.5,7.9,29.5,1.4,10.4,10.1,7.9,17.5,9.9,8.6,21.6,41.6,7.7,6.5,62.1,49.5,0,15.3,7.7,233.4,165.5,319.8,15.6,15.7,17,31.2,51.2,50.6,135.1,470.3,23.6,29.1,26.7
"Other manufacturing",312.9,277.8,75.1,37.7,87.1,9.1,89.9,32.8,13.2,40,21.5,15.1,122.8,29.5,38.9,14.8,44.2,96.6,32.3,0,27.1,761.3,309.3,480.1,77.1,34.8,26.4,72.7,94,34.2,272.2,374.4,97.7,282.3,88.9
"Utilities",665.2,1128.2,647.7,88,856.3,44.6,310.6,950.8,251,971.1,423.9,585.7,2280.7,407.4,77.7,82.2,353,425.2,124.9,179.4,0,1132.8,2008.9,1054.3,583.4,248.1,310.1,305.3,561.7,2484.6,1172.4,2859.4,1298,937,623.4
"Construction",337.2,381,400.4,61,89.1,5.7,64.8,90.6,46.2,149.8,63.3,118,180,110.4,25.5,25.6,102.4,105.1,31.4,70.6,224.1,0,1178.5,892.7,154.1,116.1,330.1,169.7,509.2,10711.4,1287,3089.6,617.8,361.3,297.6
"Wholesale & retail",6251.4,2200,586.6,314.9,12850.7,679.8,1197.6,1668.6,2555.4,3625.2,1539.4,811.9,1609,1599.4,1176.2,803.1,2361.3,6825.5,1000.6,1842.8,986.3,11705.4,0,3819.7,5326.8,807.7,876.8,976.6,873.8,817.9,2989.1,3583.1,758.3,3706.6,3204.2
"Transportation, storage",1394.6,2128.3,940.9,231.4,2657,98.9,685.5,1048.4,651.1,1112.6,526.3,828.3,736.4,568.5,181.2,184.5,692.8,1325.6,224,475.5,293,4635.3,10529.2,0,675,855.3,639.8,346.5,1327.3,541.5,2194.6,5370.9,953.8,711.9,1129.6
"Accomodation and food services",22.8,28.6,4.9,1.4,336.5,9.7,3,6,2,12.3,4.7,3.1,4,4.2,3.5,2.3,6,28,3.7,5.8,42.2,44.3,58.7,1697.3,0,9.1,9.6,14.4,55.6,36.4,3015.7,3814.1,1697.7,3197.8,335.2
"Publishing, broadcasting",19.2,12.9,5.9,4.2,143.4,3,14.2,318.3,6.3,62.6,20.2,15.9,8.8,14.1,12.7,6.7,19.1,28.3,11.6,21.7,9.4,74.6,587.9,67,49.2,0,244.9,223,243.3,81.3,586.3,337.1,202.1,68.4,154.6
"Telecoms",116.3,69.2,45.3,20.7,118.1,7.9,37.6,58.2,21.9,82.4,47,43,38.1,67.9,28.4,19.3,93.4,93.5,42.4,49.9,46.3,435.3,1187.8,573.1,115.8,540.5,0,752.5,1060.9,428.6,1198.2,1406.7,284.2,269.7,291.3
"IT and information services",26.3,45.5,9.4,4.7,72,2.8,12.9,41.9,19.1,48.2,17.4,13.6,22.5,22.9,19.7,10.1,33.8,42.1,16.6,19.9,18.9,154.9,413.2,157.9,37.7,153,252.8,0,520.1,124.2,399.3,399.6,94.2,82.1,90.5
"Finance & insurance",2713.7,2839.5,744.3,211.7,1693.9,94.3,614.9,937.1,413.5,1274.1,693.3,624.9,1741.7,911,257.3,261.2,1067.6,1385.8,632.7,610.3,616.8,7351.8,10593.8,5044.3,943.7,981,1280.4,1925.6,0,16685.8,7310.2,7931.8,1855.6,1808.2,1793.7
"Realestate",165.5,323.5,28.8,12.4,268,20.3,82,151.3,38.5,132.5,131.1,79.3,43.2,167,41.2,40,143.1,296.8,96.8,139.8,83.7,1627,6388.1,1264.4,1046.7,420.6,687.6,800.9,1585.6,0,2569,2453.5,1277.7,946.1,850.3
"Other business services",1331.8,3101.2,545.5,357.4,2432.5,70.3,590.6,902,336.7,1706.7,653.4,661,840.6,912.2,461.3,297,1111.1,1478.2,716.2,701.1,610.8,13604,13368.1,6016.1,1537.7,2390.7,2571.8,4169.3,7576.3,7891.1,0,9188.6,2890.4,2562,2228.4
"Public admin,  defence",184.1,186,58.5,12.7,236.2,8.5,68,213.5,45.4,179.6,82.3,82.2,597.8,116.9,25.2,19.8,85.9,106.6,32.6,50.5,262.7,662,1006,524,200.5,227.3,141.9,222.8,503.3,1033.7,866.5,0,494.4,747.6,474.8
"Education",46.2,66.4,13.8,5.5,96.6,4.8,12.6,31,11.1,36,17,13.2,28.3,18.6,8.9,6.8,23.2,35.8,12.2,17.5,16.1,291.2,271.1,171.5,64.1,49,47.4,81.2,105.7,157.8,324.7,348.4,0,143.7,90.5
"Healthcare, socialwork",26.7,45.6,17.1,5.3,53,23.2,15.3,21.9,12.8,29.8,12.1,17.8,17.7,13.7,4.6,4.4,15.7,27.7,5.7,11,928.2,121.4,220.2,235.8,25.4,19.8,19.3,29.2,27715.6,95.3,164.6,11286.2,649,0,3179
"Arts, entertainment",347.1,540.5,334.2,38.2,391.6,15,62.3,93.3,15.6,118.9,71.8,32.2,142.8,31.4,44.6,14.5,112.8,88.7,57.2,100,105.7,620.5,676.1,890.4,641.5,1467.2,269.3,493,830.2,405.1,1985,3274.5,1276.3,1734.4,0
