Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,8.6,1.1,0,3084.2,49.8,881.7,136.4,8,25.5,10.3,2.1,12.1,2.8,5.1,2.4,3.9,13.2,0.7,16,113.7,22.8,219.7,13.7,176.1,1.4,0.9,2.3,3.3,23,59.9,3.9,2.6,12.1,36.7
"Energy extraction",14.9,0,2.7,3.8,9.2,1.9,1.3,7.6,40.4,24.3,5.3,35.5,345.6,5.3,4.8,2.1,12.9,7.1,0.6,3,597.6,14.3,20.1,13.4,3.5,0.7,1,1.4,2.4,14,9.6,7.7,6.1,4.9,3
"Mining (non-energy)",6.5,3,0,0.5,3.6,0.2,0.4,3.7,1,43.5,2.7,124.7,153.1,11,1.6,2.9,5.2,2,0.2,5.4,22.3,145.8,3.3,5.8,0.7,0.2,0.1,0.2,0.4,8.2,4,0.9,0.4,0.6,0.5
"Mining support",9.7,50.1,0,0,0.1,0,0,0,5,4,0,0.2,1.8,0,0.1,0,0.1,0.1,0.1,0,62,0.3,0.2,0.3,0,0,0,0,0,0.2,0.2,0,0,0,0
"Food, beverages, tobacco",347.1,2,1.1,0.1,0,11.6,5.7,13,4.1,59.6,54,11.1,13.2,19.3,26.6,15.9,22.7,52.1,4.2,14.3,28.8,21.9,188.7,20.8,510,4.3,2.6,6.4,4.9,20.3,55.6,35.2,13,38.2,68.4
"Textiles & apparel",10.5,1.8,0.2,0,8.3,0,2.9,12.2,0.4,12.8,53.5,5.4,3,11.6,14.4,10.8,12.6,119,3.5,41.4,10,20.9,56.9,14.6,12.1,6.4,0.3,1.7,1.5,6.1,25.2,22.1,4.7,31.7,17.3
"Wood",59.6,14.4,3.4,0,19.1,3.3,0,139,0.4,10.1,32.3,35.3,6.4,28.8,25,9.7,25.6,231,4.1,241.2,47,127.8,55.2,15.4,10.4,8.7,0.4,1.9,1.3,346.5,54.9,2.3,7,3.5,14.7
"Paper & printing",9.7,1.1,1.5,0,91.2,6.5,18.7,0,0.8,38.6,34.6,22.4,7.2,15.4,28.5,22.8,23.7,50.5,3.8,26.3,26.3,17.5,94.8,20.3,22.1,292.5,1.8,6.4,88.1,44.5,545.7,23.8,44.1,24.7,48.4
"Coke & refined petroleum",182.8,14.9,19.2,1.8,32.4,6.2,20.3,6,0,154.2,35.4,23.2,81.3,24.5,6.1,12.1,26.1,63.4,7.5,21.6,115.3,147.6,224.5,688.8,17.7,1.8,4.7,6.5,12.5,60.4,68.5,34,5.2,13.8,10.8
"Chemicals & pharmaceutical",154.1,10.2,6.9,0.6,42.8,45.3,38,50.8,28.5,0,629.4,52.9,63.4,47.3,70.4,108.3,65.6,150.7,8.8,54.7,59.5,34.1,71.9,43,11.2,2.2,1.3,2.1,3.8,24.7,46.8,9.9,6.7,58.2,11
