Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.2,2,0.1,22953,235.1,667.5,305.3,5.1,432.8,111.8,6.6,35,7.1,2.4,4.7,6.6,13.5,4.9,58.1,30.7,189,584.3,39.3,1544.8,15.1,9,9,14.5,26.5,155.4,123.8,46.6,100.3,117.2
"Energy extraction",3.2,0,0.7,0.1,4.7,0.2,0.1,0.3,68.3,16.1,0.2,10.5,113.8,0.3,0.1,0.2,0.2,0.4,0.1,0.5,288.6,6.2,4.5,10.2,1.2,0.2,0.3,0.3,0.7,1,2,1.9,1.2,2,1
"Mining (non-energy)",15.9,0.5,0,0.4,20.8,1.9,0.4,13.7,0.6,324.8,0.9,471.5,1973.5,67,0.4,10.4,1,1.5,1.7,19.5,15.9,668.4,21.6,10.5,4.9,0.9,0.6,1.1,0.7,15.6,8.8,11.2,0.5,1.7,1.1
"Mining support",1.1,0.2,0.7,0,0.4,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0,1.3,2.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0
"Food, beverages, tobacco",6954.8,2.8,20.3,0.5,0,384.2,57,208.4,114.8,1673.5,108.1,99.4,155.8,104.2,32.3,63.7,96.4,133.3,58.2,121.1,561.6,730.2,2479.6,445.9,19914.2,159.5,132.2,187.9,202.9,141.2,1180,957.9,363.3,1579.1,1487.6
"Textiles & apparel",71.7,1.7,5.1,0.3,188.8,0,41,123.7,16.4,217.4,157.2,48.1,39.9,47.2,13.6,32.8,42.2,341.7,55.6,330.1,128.8,311.6,593.7,149.4,141.9,53.5,37.2,52.1,58.2,29.6,280.3,162.5,47.7,240.2,147.7
"Wood",47.7,4.2,15.8,0.2,96.7,20.7,0,149.4,5.6,91.7,37.5,64.7,23.7,77.8,9,28.8,43.2,125.7,29,592.1,67.3,2222.2,229.1,85.2,59.2,24.8,17.5,27.3,21.7,50.4,164.1,43.7,24.3,46,66.2
"Paper & printing",83.7,2.1,19.2,0.2,1236.6,103.8,66.4,0,59,512.8,166.3,171.1,81.8,127.5,42.5,100.2,115,195.3,40.5,157.4,439.9,363.8,1624.1,404.9,339.4,1458.6,220.2,366.2,487.7,76.7,1491.4,477.4,341.5,355.5,440.4
"Coke & refined petroleum",549.7,12.5,132.6,2.4,385.2,79.5,46.4,117.8,0,1758.6,196.6,282.8,508.8,122,20.6,71.8,85.2,137.8,61.8,113.7,1684,1048.4,924.6,3619.4,182.6,39.9,57.4,77.7,120.3,55.7,496.6,257.3,70.3,186.5,139.8
"Chemicals & pharmaceutical",1230.9,16.5,110.1,1.6,1330.7,688.5,201.7,737.7,945.6,0,2588.9,549.6,922.7,546.1,138.7,414.6,327.1,706.9,192.3,400.4,887.1,1674.5,1634.3,543.3,414.3,181.7,122.8,187,179,124.8,1067.9,341.1,157.4,1148.2,391.5
