Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.3,0,0,4480.7,49.6,61.3,6.1,0.3,31.8,21.9,0.5,1.2,0.3,0,0,0,0,0,2.2,0.2,0.2,6.6,17.8,1080.7,0.1,0,0,0.1,0.1,1.4,3.1,2.7,15.7,19.2
"Energy extraction",0,0,0,0.1,2.6,0,0,0,2.5,2.6,0,6.5,27.6,0,0,0,0,0,0,0,105.2,0,0.3,0.2,0.5,0,0,0,0,0.1,0.6,0.2,0,0.9,0.6
"Mining (non-energy)",2.1,0,0,0,1.2,0.1,0,0.9,0.2,17.5,0.2,52.2,776.7,0,0,0,0,0,0,0,1.7,18.9,4.4,3.3,10.3,0.1,0.4,0.1,0.3,2.6,2.2,1.3,0.3,0.6,0.9
"Mining support",13.1,1,3.1,0,1.1,0,0,0.4,2,0.1,0.5,0.2,0.1,0,0,0,0,0,0,0.1,3.7,5,0,1.1,0,0,0,0,0,0,0.9,1.1,0.2,0,0
"Food, beverages, tobacco",444.3,0.4,0.9,0,0,5,1.9,12.3,25.9,30.7,11.3,3.6,4.8,4.8,1.4,2.8,1.8,0.3,0.5,5.8,8.8,21.7,135.9,40.1,1556.2,4.5,7,2.7,4.4,6.2,33,50.1,13.1,40.2,61.8
"Textiles & apparel",3.6,0.1,0.2,0,8.4,0,0.3,1.9,3.6,2.1,4.9,0.8,1.1,1.5,0.3,0.8,0.5,0.1,0.2,1.6,1.2,5.8,11.8,5.5,7.5,0.7,1.2,0.4,0.5,0.8,4,2.1,0.4,3.1,3.1
"Wood",1.9,0,0.3,0,7.2,1.6,0,17.6,3.6,3.1,4,4.9,0.5,3.6,0.3,1,0.7,0.2,0.3,49.7,5.8,123.2,1.2,2.4,14.8,1.5,0.2,0.1,0.1,24.9,5.1,0.3,0.1,1.1,2.7
"Paper & printing",13.8,0.4,1.1,0,108.9,11.4,2.6,0,8.4,25.3,16,10.4,1.9,4.4,0.2,2.9,1.3,0.1,0.3,6.9,5.5,11.4,142.7,32.1,81,177.1,6.8,12.5,30.7,0.8,102.7,71.5,24.9,25.3,108.7
"Coke & refined petroleum",338.4,6.8,37.7,0.7,77.4,15.1,4.8,20.9,0,99.7,17.6,49.3,42.7,12,1.5,4.9,3.2,0.5,1.2,11.6,205.1,130.1,606,1832,138,7.4,33,8.7,31.2,26.5,164.1,147.2,25.8,42.1,87.9
"Chemicals & pharmaceutical",104.2,1.3,3.9,0.1,39.5,20.7,5.2,30.9,109.4,0,106.8,13.6,12.6,9.2,2.2,5.5,2.1,0.5,0.7,10.2,15.2,27.2,61.4,28.1,28.2,2.2,4.2,1.6,2.2,10.1,32,19.9,5.7,100.5,18.2
"Rubber & plastic",30.8,2.8,1.7,0.1,153.4,18.5,4.3,29.4,26.7,36.5,0,18.2,9.4,19.5,7,18.6,9.5,3.5,2.5,26.9,12,139.2,289.7,79.1,82.5,4.8,21,2.6,0.4,14.3,55.6,22.8,0.6,21.9,8
"Other mineral (non-metallic)",3.3,0.1,0.2,0.1,82.5,4.4,4.9,3.9,4.1,21,17.9,0,12,15.7,5.5,8,3.7,1.1,0.9,9.6,1.5,781.5,10.7,19,65.5,1,1.5,0.4,0.6,41,3.4,2.5,0.6,14.2,3.3
"Metal (basic)",21.8,1.4,14.7,0.4,66.9,4.7,3.4,26.4,27.5,19.6,28.9,24.4,0,462.1,21.3,178.8,81.8,8.6,12.2,117.3,54.4,394.7,108.3,40.7,26.5,2,14,1.6,1.8,5.1,17.1,23.3,3.7,8.2,12.1
"Metal (fabricated)",79,5.9,5.4,0.5,203.8,18.6,13.5,21.6,84.7,30.8,51.4,32.7,93.8,0,12.9,46.4,60.4,7.6,8.5,70,74.8,534.6,127.9,121.1,101.6,6,7.2,6,0.9,1.4,29.2,95.8,13.2,16.2,28.4
"Computer, electronics",7.2,0.2,0.7,0,6.8,0.8,0.3,3.5,6.4,1.4,2,1.6,2.2,2.3,0,6.5,2.2,0.5,0.1,4.8,5.8,12.4,30.8,31.6,12.6,3.9,109.2,18,1.4,0.2,37.8,21.7,3.3,13.5,13.2
"Electrical equip.",5.3,1.2,0.5,0,12.8,1.8,0.8,3.4,11.4,5.1,6.3,3.2,8.8,9.2,13.5,0,12,1.5,1.7,13,61,120.4,31.5,46.7,24.9,2.3,62.4,7.7,0.3,0.5,34.9,20.9,4.3,8.1,9
"Machinery & equip.",35.3,2.6,7.9,0,25.5,5.2,2.1,17,38.4,9.5,14.5,10,10.9,18.5,2.8,9.5,0,1.4,2.3,17.4,47.9,73.9,54.1,55.2,17,2.2,6.8,1,0.4,0.7,12.8,56,3.8,3.9,6.6
"Motor vehicles",0.9,0,0.1,0,0.9,0.1,0,0.2,0.6,0.2,0.2,0.2,0.3,0.3,0.1,0.2,0.1,0,0,0.3,0.4,0.9,10.1,5.7,0.8,0.1,0.6,0.1,0,0,0.7,0.9,0.1,0.3,0.2
"Other transport equip",7.8,0.3,0.6,0,4.1,0.6,0.2,1.3,3.9,1,0.8,1.1,1.9,1,1.2,0.7,0.7,0.1,0,1.9,2,3.4,12.5,68.8,3.6,0.4,7,0.8,0.1,0.1,7,26.4,0.5,2.6,1.5
"Other manufacturing",87.6,2.6,7.5,0.3,61.3,11.5,7.1,18.8,50.6,15.5,13,15.7,26.4,21.3,3.4,8.3,8.8,0.9,1.4,0,28.1,68.8,122.2,259.1,54.6,5,54.4,5.2,2.4,2.5,47,57.1,10.3,56,23.3
"Utilities",187.9,26,72.4,0.8,246.4,55.7,12.1,114.9,262.2,124.1,69.3,103.7,278,34.7,5.3,10.9,9,1.5,2.1,19.3,0,47.9,1023.9,380.4,594.8,29.1,142.9,24.9,73.5,370.5,363.1,514.9,175.3,269.1,373.7
"Construction",8.7,0.3,3.6,0,6.6,1,0.4,1.3,7.5,1.5,1.5,1.6,1.6,1.6,0.2,0.6,0.4,0.1,0.1,1,16.7,0,43.5,16.4,13.8,0.7,11.4,1.1,5.3,83.6,32.6,39.1,6.3,7.8,16.5
