Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,1.2,0.1,5.1,5015.2,11.8,258,62.1,0.8,112.9,1.6,3.7,4,4.1,3.5,2.8,4.7,0.7,4.5,7,9,47.1,58.4,55.5,247.5,22.8,2.3,14.3,10.7,3.9,42,41.8,23.6,55.9,10.6
"Energy extraction",87.1,0,26.8,236.5,71.7,4.5,6.4,13.3,471.4,84,2,36.2,112.3,11.5,3.2,7.2,185,2,56.9,49.9,206.1,198.3,200.4,1131.9,22.6,23.5,11.3,16.5,4.9,27.7,133.6,61.5,19.1,41.6,35.6
"Mining (non-energy)",8,5.2,0,35.7,8.1,0.1,1.2,4.2,0.1,46.2,0.7,150.7,215.3,1.7,0.7,0.5,8.6,0.2,5.4,5.6,9.4,399.7,21.2,8.2,1.9,1.5,0.8,1.5,1.5,15.6,12.3,12.3,2,2.3,2.9
"Mining support",1869.5,3806.9,366,0,106.6,0,10.6,22.9,23.2,21.8,17.8,22.3,32,1.2,0,0,35.1,0.1,0,5.2,206,1299.5,1.1,102.4,0.1,0,0,0,0.6,0,112.1,87.5,26,1.6,0.6
"Food, beverages, tobacco",1183.9,17.6,3.3,26.7,0,3.9,28.5,29.2,6.2,438.8,9.1,44.7,25.8,36,25.1,12.1,171.9,3.4,26.8,56,30.1,135.9,269.2,270.5,1584.7,25.3,21.7,23.8,25.7,32.4,163.2,229.6,93.6,241.6,246.9
"Textiles & apparel",4.7,1.6,0.3,2.5,9.7,0,1.4,1.7,0.4,13.8,2.1,1.3,1.8,2,1.1,1.5,3.6,0.6,3.9,5.2,3.3,18.7,19.2,15.1,2.2,2.1,1.1,1.9,0.7,2.5,10.9,4.1,1.8,4.3,2.9
"Wood",6.9,4.9,0.2,10.1,16.6,0.2,0,39,1.1,21.3,0.6,5.2,3.6,5.6,1.5,1.4,6.5,4.4,40.7,33.9,22,1667.2,66.2,14.6,6.1,4.7,1.8,2.9,2,325.7,19.3,3.1,5,4.8,29
"Paper & printing",18.2,2.1,1.4,3.6,91.2,2.5,5.3,0,0.9,57.1,5.2,6.2,3.7,2.6,1.6,3.1,8.1,0.2,2.4,5.2,7.4,31.2,152.9,26.4,12,26.3,2.2,6.1,4.6,11.7,58.9,15.4,6.4,6.7,9.9
"Coke & refined petroleum",29.5,14.9,7.8,34.3,16.7,1.1,1.4,2.9,0,11.3,0.3,9.2,26.3,1.4,0.1,0.4,1,0.2,2.9,2.8,14.9,48.1,49.7,342.9,5.2,5,1.7,1.7,0.3,4.9,11,18.4,5.4,9.9,7.5
"Chemicals & pharmaceutical",82.2,19.9,6,31.8,92.4,8.7,13.9,25.9,12.6,0,30,21.4,50.4,19.8,9.6,13.2,131.4,3.7,35,43.3,12.1,136.5,212.6,170.7,20.8,17.9,9,17.5,9.5,43.9,107.4,32.7,20.2,455.8,25.5
"Rubber & plastic",20.9,7.7,2.4,15.5,77.2,3.1,4.4,7.1,2.1,50.7,0,3.9,14.5,14.1,3,10.9,13,1.3,24,20.5,32.9,154.6,62.1,77.1,7,7,2.2,4.5,2.2,21.9,33.3,7.2,8.2,8.2,7.3
"Other mineral (non-metallic)",12.2,10.7,12.2,31.2,67,0.4,49.7,2.1,1.9,70.1,10.3,0,31.2,27.6,6.7,9.1,15.7,5.5,32,21.9,9.1,1226.8,73.4,438,11.4,6.4,2.2,4.7,1.5,161.1,20.7,23.9,21.9,11.1,5.6
"Metal (basic)",3.5,4.9,1.8,12.3,15.2,0.5,4.5,8.1,0.8,17.2,3.1,17,0,145.1,31.4,124.6,155,8.9,47.7,42.3,11.9,213.5,15.6,35.4,1.9,1.2,2.8,1.7,1.3,9.3,8.8,3.5,2.2,2.7,2.5
"Metal (fabricated)",30.2,45.5,6.9,56.2,87.5,2.8,30.3,11.3,6.2,40.9,6.1,28.5,114.3,0,114.5,19.9,221.2,5.4,130.9,105.5,33,401.1,103.1,564.5,9.8,17.1,11,14.5,8.2,19.2,92.1,38.5,11.7,24.1,31.2
"Computer, electronics",4.7,7.7,0.9,8.5,8.4,0.5,4.2,3.2,0.7,11.6,1.2,7.8,5.2,11.4,0,11.5,49,0.7,11.1,21.3,5.2,35.5,49.7,49.2,2.3,10.1,5.2,7,8.7,6.3,99.2,17.8,7.8,27.9,9
"Electrical equip.",7,8.7,1.7,11.9,15,0.5,7.3,4.4,0.8,13.4,2.5,11.4,18.4,15.5,31.4,0,64.9,12.6,27.5,60.6,6.3,274.9,64,171.8,3.3,6.4,5.4,5.1,5.7,10.3,41.7,16.8,7.3,9.8,23.8
"Machinery & equip.",50.9,92.1,21.4,159.6,69.5,6.2,49.4,35.3,5.5,55,13.2,95.9,84.8,105.5,59.4,27.6,0,8.7,136.7,227.9,31,287.2,167.4,819.7,9.7,19.7,32.9,29.6,20.9,34.4,214,33,12.6,21.3,39.9
"Motor vehicles",1.5,0.5,0.1,1.4,1.3,0.1,0.3,0.2,0.1,1.2,0.2,0.3,0.4,0.4,0.3,0.4,2.3,0,27.6,0.7,0.2,2.7,28.6,30.1,0.2,0.3,0.3,0.3,0.1,0.3,3.1,5,0.2,0.3,0.3
"Other transport equip",58,15.9,1.8,15,14.2,0.7,14.4,10.7,1.8,13.6,4,26.7,15.5,23.3,17.6,23.5,132.2,3.3,0,39.2,7.1,97.7,23.9,1186,2.6,4.1,10.2,4.9,6.3,6.7,88.3,198.7,3.6,5.1,11.1
"Other manufacturing",65.2,56,8.7,78.9,85.3,4.4,86.1,64.2,9.2,72.2,23.6,159,84.9,134.5,90.8,41.5,675.8,12,153.4,0,40.1,257.4,100.6,846.3,14.6,22.5,59.2,27.9,35.1,37.6,135.3,56.7,17,27.4,55.5
"Utilities",119,191.8,57.6,214.6,369.6,31.4,59.2,162,59.2,461.9,25.1,100,813.4,68.1,28.3,27.2,141.8,11.9,79.9,89.8,0,301.1,454.3,395.7,157.3,41.8,26.7,45.4,40.6,502.1,233.7,492.9,245.4,173.1,135.7
"Construction",350.5,99.1,40,174.2,67.4,4.7,32.7,25.6,18.2,105.5,11.4,59.7,104.6,54.2,31.5,14.5,165.2,7.2,36.3,73.6,261.3,0,247.2,400.1,72,24,464.2,31.5,135.4,2301.5,137.7,3155.5,238.6,310.5,165.8
"Wholesale & retail",563.8,159,81.8,605,2829.5,73.4,200.7,143.5,58.8,908.9,70.6,153.4,316.1,202,229.1,213.8,414.6,43.6,409.6,388.2,335.4,3098.7,0,2807.5,579.3,568.5,278.5,752.1,113.8,744.1,2551.7,775.2,321.2,593.8,470.4
"Transportation, storage",157.9,194.4,87.4,515.9,711.8,22.8,98.6,114.6,62.1,428.9,47.3,158.2,154,96.7,63.9,76.5,191.8,21.1,107.1,162.1,264.4,1470.6,1622,0,139,618.2,94.9,260.8,210.7,519.4,2136.3,715.5,303.3,298.1,269.4
"Accomodation and food services",17.1,9,2.5,56.4,38.2,2.4,7.8,8.5,1.6,53.7,3.6,9,12.1,13.4,6.4,6.8,20.3,2,22.4,22,34.2,126.4,233.2,366.5,0,32,12,55.2,102.5,145.6,610,185.8,112,313.3,113
"Publishing, broadcasting",12.2,10.1,1.2,6.8,63.8,1.4,6.7,8.3,4,76.9,3.7,10.3,3.5,11,8.8,9,19.9,2,7.8,20.9,53,120.5,855.8,264.5,20.3,0,173.2,927.5,159.8,142.7,1030.4,205.1,292.3,65.7,239.5
"Telecoms",29.8,15.8,7.5,51.9,58.9,6.4,9.4,8.5,7,78.6,4.6,10.2,15.7,15.9,14.4,13.5,32.3,3.2,23.6,30,104.3,128.4,410.1,743.9,43,67,0,78.8,131.5,208.2,621.5,185.6,59.3,64,79.1
"IT and information services",16.3,38.8,4.3,23.7,78.3,5,14.9,14.7,9.4,167.7,7.6,18,28.4,26.6,22.8,23.2,48.3,5.2,11.1,49.3,233.9,198,604.7,478.3,33.1,128.4,227.4,0,1102.6,294,1122.4,547.1,117.2,482.9,139.6
"Finance & insurance",158.8,237.2,30.1,198.1,311,26.8,58.2,68.2,46.8,407.9,34.8,77.4,276.3,115.1,103.7,89.6,239.7,24.9,139.5,199.1,294.5,709,491.8,902.5,129.3,161.6,82.1,174.9,0,3730,691.4,1145.4,163,193.1,294.5
