Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.2,2.8,0.1,2184.6,10.2,2572.8,1368.7,0.9,62,17.1,2.5,56.8,3.8,1,1,10.3,3.1,1.3,63.2,28,139,85.6,28.8,167.1,2.2,2.7,8,3.4,47.5,57.3,54.2,28.3,29.3,17.3
"Energy extraction",0.3,0,0.2,0.1,1.4,0,0.2,1.2,184.4,8.9,0,1.3,20.3,0,0,0,0,0.1,0.1,0.1,24.9,0.4,0.6,0.2,0.4,0,0.1,0,0,0.8,0.4,0.1,0,0.7,0.4
"Mining (non-energy)",5.1,0.2,0,0.2,3.5,0.2,1.3,17.8,2.3,57.7,1.3,148.4,1146.8,48,0.8,1.5,14,2.8,0.4,7.7,21.6,214.7,7.1,14.5,1.5,0.3,0.3,0.8,0.2,22.4,5.1,6.3,1.3,1,1.4
"Mining support",0.6,0.1,0.7,0,0.1,0,0,0.2,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0.5,1.3,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0
"Food, beverages, tobacco",461.3,0.2,3.5,0.1,0,4.3,12.6,55.6,15.2,131.1,10.3,8.5,17.4,14.9,5.9,8.6,23.5,40.6,5,13.3,23.8,52.2,157.2,86.3,1469.8,19.2,11.3,31,14.1,44.8,119.8,125.4,99,197.4,250.8
"Textiles & apparel",2.1,0,0.3,0,4.2,0,3.2,19,0.5,17.3,14.5,2.8,2.6,4,3.7,2.2,9.4,22.3,3.6,44.5,0.8,12.5,15.2,5.5,3.9,1.1,0.6,2,0.9,2.4,7.2,6.5,4.2,8.2,3.3
"Wood",44.5,1.4,27.6,0.2,27.4,2.1,0,396.4,3.8,32.2,24.5,49.9,27.9,75.2,13.7,23.4,68.4,108.3,12.4,499.1,63.7,1585.1,102.4,86.2,27.1,17.8,3.3,22.7,3.5,694.3,116.3,29.9,43.9,18.2,45.7
"Paper & printing",30.4,0.5,10.7,0.1,124.4,4.8,107.7,0,11,103.5,35,36,28.4,38.8,23.2,26.6,52.8,55.9,6.3,34,81.3,109.1,240,139.6,51.2,608.8,56.3,152.9,81.8,128.5,423.7,148.9,236.4,112,104
"Coke & refined petroleum",165.7,2.7,86.7,1.3,58.6,3.7,37.1,84.4,0,258.7,20.7,90,197.5,52.6,11.8,22.8,64.7,43.4,11.9,30.3,290.5,332.3,236.1,1678,42.2,15,25.9,52.6,32.6,138.5,212.9,151.5,87.1,89.5,56.8
"Chemicals & pharmaceutical",65.4,0.8,14.7,0.2,76.1,12.4,39.3,147.1,62.8,0,158.3,37.4,73.9,54.5,28.7,37.9,68.1,94.5,11.2,32.9,42.3,153.7,107.6,109.6,38.1,24.7,17.3,51.5,13.9,76.7,172.4,43.5,36.2,195.6,36.3
"Rubber & plastic",14.9,0.6,12.9,0.2,86.5,4.1,27.5,85.4,10.3,65.2,0,24,32.8,59.9,44.7,66.6,143.4,244.9,19.4,47.4,27.1,254.6,106.3,110.5,22.6,10.7,15,18.8,6.4,55.7,74.6,22.2,17.6,37.6,16.1
"Other mineral (non-metallic)",17,0.3,23.1,0.3,50.4,2.3,35.6,22.3,6.6,47.3,20.8,0,112.5,63.6,40.4,34.6,69.9,95.9,8.2,23.1,31.8,1687.4,75,85.7,23.6,7.7,4.8,14.2,3.9,167.8,58,28.3,29.9,33.7,14.8
"Metal (basic)",11.1,0.8,16.6,0.7,23.9,1.9,12.9,54.6,11.1,31.4,21.7,32.2,0,1053.6,67.5,295,826.8,432.7,70.4,122.9,99.5,664.8,65.4,68.5,11.6,9.4,14.1,32.3,13.2,93.6,88,34.1,19.5,30.6,15.7
"Metal (fabricated)",47.9,2.2,40.2,1,132.6,5.2,109.5,76.3,36.4,81.3,63.3,64.4,330.4,0,105.3,193.6,1158.3,685.9,75.1,189.5,114,1378.9,169.3,182.2,40.2,19.6,22.2,54.4,16.7,258.6,218.2,111.1,55.5,47.7,39.5
"Computer, electronics",14.5,0.5,5.9,0.1,41.6,3.4,9.5,24.1,13.1,27.3,10.4,9,23.5,24.1,0,23.7,45.9,56.8,14,17,27,119.1,93.6,94.9,23.2,26.3,33.1,156.7,27.9,66,164.3,48.3,26.9,42.1,26
"Electrical equip.",13.8,0.6,8.1,0.2,21.5,1.4,10,26.2,8.7,19.9,6.9,10.1,40,30.2,44,0,163,126.1,11.2,30.1,44.9,197.1,56.7,95.1,12.1,12,28.9,50,11.3,121.4,149.6,36.1,20.2,32.6,18.7
"Machinery & equip.",42.8,1.6,31.5,1.3,72.3,5.9,26.5,78.8,26.9,46,20.3,26.5,95.4,85.6,30.7,49.2,0,199.3,29.5,60.9,72.8,215.8,150.2,184,37.9,28.7,35.5,69.7,28.3,173.6,224,82,37.8,58.2,35.3
"Motor vehicles",69.4,1.1,20.4,0.5,200.6,17.2,37.5,92.9,59.8,89.1,35.3,31.9,103.5,108,43.4,69.5,254.6,0,49.3,75.6,117.1,279.9,564.3,501.5,115.4,70.1,56.9,139.7,43.4,171.3,388.6,136.5,80,122.8,81.6
"Other transport equip",10.7,0.7,5.9,0.2,12.8,0.9,6.2,16.5,6,13.4,4.1,6.8,24.8,18.3,9.2,9.8,73.9,31.5,0,15.8,25.3,121.8,52.5,235.4,5.8,7.7,14.3,24.6,5.9,89.9,150.6,217.8,11.2,22.1,12.6
"Other manufacturing",60.1,1.7,23,0.6,62.3,4.8,41.6,86.6,25.4,49.4,19.4,35.8,158,78.3,39.1,48.7,188.9,117.3,19.9,0,109.4,199.9,94.6,301,29.5,27,62,56.2,21.7,487.7,179.1,91.3,69.1,219.4,47.6
"Utilities",88.1,5.8,165.5,1.4,196.4,15.7,119,759.8,118.1,301.5,103.6,185.1,1006.1,247.5,58.3,62.8,234.3,166.7,19.2,64.9,0,327,468.8,614.8,209.9,77,117.5,195.9,97.2,1967,596.8,628.3,627.1,628.4,284.9
